Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,4
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Doucet","","Stéphane","Communist","Communiste",N,N,1
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,17
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Michel","","Marjorie","Liberal","Libéral",N,Y,109
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Ricardo","","Niall","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,13
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Rivera","","Julio","Conservative","Conservateur",N,N,32
24054,"Papineau","Papineau"," 1","Montréal",N,N,"",1,429,"Watso","","Xavier","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,0
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,0
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Doucet","","Stéphane","Communist","Communiste",N,N,2
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,35
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Michel","","Marjorie","Liberal","Libéral",N,Y,104
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Ricardo","","Niall","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Rivera","","Julio","Conservative","Conservateur",N,N,33
24054,"Papineau","Papineau"," 2","Montréal",N,N,"",1,451,"Watso","","Xavier","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,5
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,7
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Doucet","","Stéphane","Communist","Communiste",N,N,0
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,11
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Michel","","Marjorie","Liberal","Libéral",N,Y,121
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Ricardo","","Niall","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Rivera","","Julio","Conservative","Conservateur",N,N,35
24054,"Papineau","Papineau"," 3","Montréal",N,N,"",3,473,"Watso","","Xavier","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,2
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,7
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,1
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Doucet","","Stéphane","Communist","Communiste",N,N,1
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,55
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Michel","","Marjorie","Liberal","Libéral",N,Y,134
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Ricardo","","Niall","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,31
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Rivera","","Julio","Conservative","Conservateur",N,N,24
24054,"Papineau","Papineau"," 4","Montréal",N,N,"",4,538,"Watso","","Xavier","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,3
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,2
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Doucet","","Stéphane","Communist","Communiste",N,N,0
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,25
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Michel","","Marjorie","Liberal","Libéral",N,Y,127
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Ricardo","","Niall","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,24
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Rivera","","Julio","Conservative","Conservateur",N,N,38
24054,"Papineau","Papineau"," 5","Montréal",N,N,"",3,520,"Watso","","Xavier","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,3
24054,"Papineau","Papineau"," 6","Montréal",N,N,"",3,416,"Cherney","","Noah","People's Party - PPC","Parti populaire - PPC",N,N,2
24054,"Papineau","Papineau"," 6","Montréal",N,N,"",3,416,"Colly","","Garnet","Marxist-Leninist","Marxiste-Léniniste",N,N,2
24054,"Papineau","Papineau"," 6","Montréal",N,N,"",3,416,"Doucet","","Stéphane","Communist","Communiste",N,N,1
24054,"Papineau","Papineau"," 6","Montréal",N,N,"",3,416,"Forget Bélec","","Sophy","Bloc Québécois","Bloc Québécois",N,N,28
24054,"Papineau","Papineau"," 6","Montréal",N,N,"",3,416,"Michel","","Marjorie","Liberal","Libéral",N,Y,75
