Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Colbourne,Larry Flemming,Michelene Gray,Yvonne Jones,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 1","Nain",5,15,69,73,4,166,272
10004,"Labrador/Labrador"," 2","Nain",2,19,106,72,6,205,464
10004,"Labrador/Labrador"," 3","Makkovik",6,26,40,40,2,114,286
10004,"Labrador/Labrador"," 4","Natuashish",2,114,17,17,5,155,531
10004,"Labrador/Labrador"," 5","Postville",2,23,29,33,0,87,143
10004,"Labrador/Labrador"," 6","Rigolet",0,24,72,37,5,138,236
10004,"Labrador/Labrador"," 7","Black Tickle",0,3,8,15,0,26,90
10004,"Labrador/Labrador"," 8","Hopedale",1,16,61,63,34,175,427
10004,"Labrador/Labrador"," 9","Norman's Bay",Results combined with No./Résultats combinés au n°11,,,,,,14
10004,"Labrador/Labrador"," 10","Pinsent Arm",0,0,1,34,0,35,39
10004,"Labrador/Labrador"," 11","Charlottetown",1,12,3,100,0,116,276
10004,"Labrador/Labrador"," 12","St. Lewis",0,13,4,68,4,89,168
10004,"Labrador/Labrador"," 13A","North West River",2,30,22,35,1,90,225
10004,"Labrador/Labrador"," 13B","North West River",2,32,46,60,2,142,255
10004,"Labrador/Labrador"," 14","Cartwright",1,27,14,93,1,136,379
10004,"Labrador/Labrador"," 15","Port Hope Simpson",0,14,4,88,3,109,346
10004,"Labrador/Labrador"," 16","Mary's Harbour",2,14,6,98,1,121,309
10004,"Labrador/Labrador"," 17","Lodge Bay",0,6,0,26,0,32,54
10004,"Labrador/Labrador"," 18","Sheshatshiu",0,77,17,5,0,99,454
10004,"Labrador/Labrador"," 19","Sheshatshiu",1,110,28,9,0,148,464
10004,"Labrador/Labrador"," 20","Red Bay",4,27,4,44,0,79,145
10004,"Labrador/Labrador"," 21A","Happy Valley-Goose Bay",4,72,27,60,0,163,299
10004,"Labrador/Labrador"," 21B","Happy Valley-Goose Bay",0,48,37,48,0,133,284
10004,"Labrador/Labrador"," 22A","Happy Valley-Goose Bay",1,29,36,73,0,139,249
10004,"Labrador/Labrador"," 22B","Happy Valley-Goose Bay",3,31,22,53,0,109,253
10004,"Labrador/Labrador"," 23","Happy Valley-Goose Bay",4,40,43,59,0,146,352
10004,"Labrador/Labrador"," 24","Happy Valley-Goose Bay",4,59,38,68,0,169,384
10004,"Labrador/Labrador"," 25","Happy Valley-Goose Bay",7,52,45,80,1,185,380
10004,"Labrador/Labrador"," 26","Happy Valley-Goose Bay",4,71,39,74,0,188,418
10004,"Labrador/Labrador"," 27","Happy Valley-Goose Bay",5,37,33,93,0,168,403
10004,"Labrador/Labrador"," 28","Happy Valley-Goose Bay",4,91,45,94,1,235,444
10004,"Labrador/Labrador"," 29A","Happy Valley-Goose Bay",1,40,31,44,0,116,276
10004,"Labrador/Labrador"," 29B","Happy Valley-Goose Bay",2,26,24,47,0,99,234
10004,"Labrador/Labrador"," 30","Happy Valley-Goose Bay",5,54,42,72,0,173,383
10004,"Labrador/Labrador"," 31","Happy Valley-Goose Bay",4,64,33,92,0,193,382
10004,"Labrador/Labrador"," 32","Happy Valley-Goose Bay",4,64,49,95,1,213,443
10004,"Labrador/Labrador"," 33","Happy Valley-Goose Bay",5,42,32,94,0,173,388
10004,"Labrador/Labrador"," 34","Happy Valley-Goose Bay",5,48,40,64,5,162,405
10004,"Labrador/Labrador"," 35","West St. Modeste",0,24,2,33,2,61,154
10004,"Labrador/Labrador"," 36","Pinware",2,7,8,28,3,48,69
10004,"Labrador/Labrador"," 37","L'Anse-au-Loup",3,94,9,87,0,193,463
10004,"Labrador/Labrador"," 38","Forteau",1,37,9,113,0,160,325
10004,"Labrador/Labrador"," 39","L'Anse-au-Clair",2,24,3,54,0,83,176
10004,"Labrador/Labrador"," 40","Mud Lake",3,4,1,7,1,16,32
10004,"Labrador/Labrador"," 41","Churchill Falls",3,74,13,29,0,119,177
10004,"Labrador/Labrador"," 42","Churchill Falls",2,88,19,32,1,142,250
10004,"Labrador/Labrador"," 43","Wabush",2,66,57,59,4,188,383
10004,"Labrador/Labrador"," 44","Labrador City",7,74,50,95,0,226,389
10004,"Labrador/Labrador"," 45","Labrador City",1,48,44,41,0,134,301
10004,"Labrador/Labrador"," 46","Labrador City",0,77,58,94,0,229,373
10004,"Labrador/Labrador"," 47","Labrador City",7,78,67,82,2,236,376
10004,"Labrador/Labrador"," 48","Labrador City",6,88,46,80,1,221,383
10004,"Labrador/Labrador"," 49A","Labrador City",2,54,42,45,0,143,270
