Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jack Harris,David Peters,Joedy Wall,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 1","Pouch Cove",41,2,76,17,9,145,237
10006,"St. John's East/St. John's-Est"," 2","Pouch Cove",53,5,83,30,1,172,346
10006,"St. John's East/St. John's-Est"," 3","Pouch Cove",45,3,89,22,1,160,297
10006,"St. John's East/St. John's-Est"," 4","Pouch Cove",46,5,137,37,5,230,438
10006,"St. John's East/St. John's-Est"," 5","Pouch Cove",26,2,91,25,0,144,325
10006,"St. John's East/St. John's-Est"," 6","Flatrock",94,2,117,42,2,257,414
10006,"St. John's East/St. John's-Est"," 7","Flatrock",45,7,59,24,6,141,234
10006,"St. John's East/St. John's-Est"," 8","Flatrock",71,2,92,39,3,207,325
10006,"St. John's East/St. John's-Est"," 9","Flatrock",75,5,142,48,3,273,481
10006,"St. John's East/St. John's-Est"," 10","Logy Bay-Middle Cove-Outer Cove",74,2,46,62,4,188,343
10006,"St. John's East/St. John's-Est"," 11","Logy Bay-Middle Cove-Outer Cove",126,5,49,83,6,269,442
10006,"St. John's East/St. John's-Est"," 12","Logy Bay-Middle Cove-Outer Cove",85,3,67,53,3,211,431
10006,"St. John's East/St. John's-Est"," 13","Logy Bay-Middle Cove-Outer Cove",119,3,67,77,5,271,429
10006,"St. John's East/St. John's-Est"," 14","Logy Bay-Middle Cove-Outer Cove",100,4,48,77,0,229,427
10006,"St. John's East/St. John's-Est"," 15","Torbay",102,2,77,59,7,247,461
10006,"St. John's East/St. John's-Est"," 16","Torbay",69,3,71,69,4,216,431
10006,"St. John's East/St. John's-Est"," 17","Torbay",65,4,75,56,8,208,446
10006,"St. John's East/St. John's-Est"," 18","Torbay",90,3,77,64,4,238,502
10006,"St. John's East/St. John's-Est"," 19","Torbay",108,6,39,64,2,219,463
10006,"St. John's East/St. John's-Est"," 20","Torbay",92,2,66,84,2,246,459
10006,"St. John's East/St. John's-Est"," 21","Torbay",87,4,46,77,7,221,493
10006,"St. John's East/St. John's-Est"," 22","Torbay",87,2,70,76,2,237,478
10006,"St. John's East/St. John's-Est"," 23","Torbay",102,5,70,68,2,247,487
10006,"St. John's East/St. John's-Est"," 24","Torbay",104,2,75,38,3,222,456
10006,"St. John's East/St. John's-Est"," 25","Torbay",104,1,57,59,5,226,453
10006,"St. John's East/St. John's-Est"," 26","Torbay",74,2,49,53,2,180,409
10006,"St. John's East/St. John's-Est"," 27","Torbay",90,3,82,71,0,246,505
10006,"St. John's East/St. John's-Est"," 28","Bauline",45,2,54,33,6,140,217
10006,"St. John's East/St. John's-Est"," 29","Bauline",72,4,35,47,1,159,362
10006,"St. John's East/St. John's-Est"," 30","St. John's",118,2,55,126,0,301,546
10006,"St. John's East/St. John's-Est"," 31","St. John's",83,3,66,100,0,252,479
10006,"St. John's East/St. John's-Est"," 32","St. John's",84,4,31,83,0,202,348
10006,"St. John's East/St. John's-Est"," 33","St. John's",142,3,53,156,4,358,596
10006,"St. John's East/St. John's-Est"," 34","St. John's",65,4,27,72,1,169,331
10006,"St. John's East/St. John's-Est"," 35","St. John's",109,0,27,86,4,226,438
10006,"St. John's East/St. John's-Est"," 36","St. John's",84,3,20,79,0,186,421
10006,"St. John's East/St. John's-Est"," 37","St. John's",92,1,32,52,2,179,467
10006,"St. John's East/St. John's-Est"," 38","St. John's",98,5,40,95,0,238,496
10006,"St. John's East/St. John's-Est"," 39","St. John's",89,5,24,83,4,205,336
