Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glen Beaton,Lawrence MacAulay,Wayne Phelan,Christene Squires,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",13,98,48,3,6,0,168,298
11001,"Cardigan/Cardigan"," 2","Red Point",24,95,50,3,8,4,184,325
11001,"Cardigan/Cardigan"," 3","New Zealand",11,77,46,1,11,0,146,308
11001,"Cardigan/Cardigan"," 4","St. Charles",29,88,37,2,8,4,168,341
11001,"Cardigan/Cardigan"," 5A","Chepstow",14,78,44,2,12,5,155,368
11001,"Cardigan/Cardigan"," 5B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,15
11001,"Cardigan/Cardigan"," 6","Souris River",18,81,37,1,6,0,143,304
11001,"Cardigan/Cardigan"," 7","Souris",11,54,17,0,11,3,96,273
11001,"Cardigan/Cardigan"," 8","Souris East",17,68,34,2,7,2,130,320
11001,"Cardigan/Cardigan"," 9","Souris West",26,97,35,6,10,3,177,330
11001,"Cardigan/Cardigan"," 10","Cable Head",23,138,48,12,10,7,238,396
11001,"Cardigan/Cardigan"," 11","Five Houses",15,109,55,4,9,0,192,369
11001,"Cardigan/Cardigan"," 12","Milburn",8,71,72,5,9,1,166,338
11001,"Cardigan/Cardigan"," 13","Fortune",23,95,61,2,13,2,196,344
11001,"Cardigan/Cardigan"," 14","Morell",29,91,67,6,11,6,210,379
11001,"Cardigan/Cardigan"," 15","Green Meadows",15,75,44,4,18,1,157,352
11001,"Cardigan/Cardigan"," 16","Dundas",17,126,44,0,7,2,196,358
11001,"Cardigan/Cardigan"," 17","Savage Harbour",31,105,73,7,28,4,248,444
11001,"Cardigan/Cardigan"," 18","Mount Stewart",14,100,38,0,12,3,167,396
11001,"Cardigan/Cardigan"," 19","Mount Stewart",21,45,2,0,16,0,84,171
11001,"Cardigan/Cardigan"," 20","Glenfanning",11,89,67,0,5,0,172,318
11001,"Cardigan/Cardigan"," 21","Launching",36,110,73,4,11,5,239,399
11001,"Cardigan/Cardigan"," 22","Head of Cardigan",28,87,50,3,15,2,185,410
11001,"Cardigan/Cardigan"," 23","New Perth",16,62,59,0,9,4,150,419
11001,"Cardigan/Cardigan"," 24","Tracadie Cross",38,94,39,1,15,2,189,339
11001,"Cardigan/Cardigan"," 25","Peakes",23,86,56,4,10,1,180,331
11001,"Cardigan/Cardigan"," 26","Grand Tracadie",53,143,74,1,25,3,299,480
