Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Clark,Sharon Dunn,Logan McLellan,Bobby Morrissey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 1","Seacow Pond",4,2,52,101,0,159,357
11003,"Egmont/Egmont"," 2","Nail Pond",12,5,62,70,0,149,382
11003,"Egmont/Egmont"," 3","Judes Point",6,5,43,48,2,104,302
11003,"Egmont/Egmont"," 4","Tignish Corner",3,5,46,51,1,106,345
11003,"Egmont/Egmont"," 5","Profits Corner",11,6,61,46,1,125,305
11003,"Egmont/Egmont"," 6","Skinners Pond",15,5,70,59,3,152,335
11003,"Egmont/Egmont"," 7","St. Louis",20,6,66,68,3,163,317
11003,"Egmont/Egmont"," 8","St. Felix",14,3,71,78,6,172,384
11003,"Egmont/Egmont"," 9","Montrose",19,11,105,78,6,219,420
11003,"Egmont/Egmont"," 10","Alberton East",20,3,81,62,6,172,444
11003,"Egmont/Egmont"," 11","Alberton West",12,10,51,46,3,122,336
11003,"Egmont/Egmont"," 12","Northport",19,6,69,71,5,170,433
11003,"Egmont/Egmont"," 13","Ebbsfleet",22,5,72,80,3,182,338
11003,"Egmont/Egmont"," 14","St. Lawrence",24,22,96,64,3,209,312
11003,"Egmont/Egmont"," 15","Alma",18,10,85,81,1,195,390
11003,"Egmont/Egmont"," 16","Brockton",21,7,86,49,4,167,314
11003,"Egmont/Egmont"," 17","Mill River",22,16,114,62,0,214,474
11003,"Egmont/Egmont"," 18","Rosebank",9,9,67,19,4,108,275
11003,"Egmont/Egmont"," 19","Cascumpec",19,12,98,51,2,182,419
11003,"Egmont/Egmont"," 20","Conway",28,27,80,86,5,226,425
11003,"Egmont/Egmont"," 21","Lennox Island",22,27,11,67,1,128,250
11003,"Egmont/Egmont"," 22","East Bideford",34,22,67,85,7,215,411
11003,"Egmont/Egmont"," 23","Howlan",23,10,73,49,0,155,343
11003,"Egmont/Egmont"," 24","Glengarry",17,16,88,67,0,188,385
11003,"Egmont/Egmont"," 25","O'Leary North",14,14,89,70,2,189,395
11003,"Egmont/Egmont"," 26","Coleman",13,8,73,29,2,125,284
11003,"Egmont/Egmont"," 27","O'Leary South",16,9,64,49,0,138,308
11003,"Egmont/Egmont"," 28","Portage",10,21,75,55,1,162,363
11003,"Egmont/Egmont"," 29","Port Hill",40,12,71,98,0,221,483
11003,"Egmont/Egmont"," 30","Enmore",18,21,61,78,3,181,442
11003,"Egmont/Egmont"," 31","Birch Hill",36,8,45,62,5,156,250
11003,"Egmont/Egmont"," 32","Cross River",16,8,48,66,1,139,280
11003,"Egmont/Egmont"," 33","Hebron",5,12,48,22,0,87,248
11003,"Egmont/Egmont"," 34","West Cape",13,10,92,62,3,180,314
11003,"Egmont/Egmont"," 35","Central Lot 16",44,20,65,80,6,215,341
11003,"Egmont/Egmont"," 36","Slemon Park",51,18,48,36,0,153,305
11003,"Egmont/Egmont"," 37","Slemon Park",17,14,40,33,0,104,214
11003,"Egmont/Egmont"," 38","Sherbrooke",42,11,45,49,1,148,368
11003,"Egmont/Egmont"," 39","Summerside",41,13,31,61,0,146,425
11003,"Egmont/Egmont"," 40","Summerside",36,10,23,37,0,106,351
11003,"Egmont/Egmont"," 41","Summerside",42,9,52,71,2,176,454
11003,"Egmont/Egmont"," 42","Summerside",45,13,65,60,2,185,382
11003,"Egmont/Egmont"," 43","Summerside",32,9,37,35,1,114,280
11003,"Egmont/Egmont"," 44","Summerside",31,7,39,44,0,121,359
11003,"Egmont/Egmont"," 45","Summerside",70,15,71,65,6,227,426
11003,"Egmont/Egmont"," 46","Summerside",44,6,51,62,1,164,369
11003,"Egmont/Egmont"," 47","Summerside",45,13,49,65,6,178,351
11003,"Egmont/Egmont"," 48","Summerside",55,9,36,80,5,185,378
11003,"Egmont/Egmont"," 49","Summerside",60,14,46,104,1,225,406
11003,"Egmont/Egmont"," 50","Summerside",48,8,32,65,2,155,378
11003,"Egmont/Egmont"," 51","Summerside",39,7,57,63,9,175,348
11003,"Egmont/Egmont"," 52","Summerside",42,9,41,55,4,151,333
11003,"Egmont/Egmont"," 53","Summerside",29,9,27,44,0,109,419
11003,"Egmont/Egmont"," 54","Summerside",40,7,45,42,0,134,428
11003,"Egmont/Egmont"," 55","Summerside",39,9,54,49,0,151,411
11003,"Egmont/Egmont"," 56","Summerside",46,4,44,52,0,146,513
11003,"Egmont/Egmont"," 57","Summerside",35,9,43,42,0,129,355
11003,"Egmont/Egmont"," 58","Summerside",38,12,30,44,1,125,337
11003,"Egmont/Egmont"," 59","Summerside",67,15,47,59,0,188,413
11003,"Egmont/Egmont"," 60","Summerside",41,11,35,63,0,150,366
11003,"Egmont/Egmont"," 61","Miscouche North",55,11,68,83,5,222,468
11003,"Egmont/Egmont"," 62","Miscouche South",54,11,72,66,0,203,409
