Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Archer,Scott Armstrong,Jason Blanch,Larry Duchesne,Stephen J Garvey,Jody O'Blenis,Matthew V. Rushton,Lenore Zann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 1","Wallace Bridge",4,72,35,16,0,0,0,73,6,206,354
12003,"Cumberland--Colchester/Cumberland--Colchester"," 2","Wallace",4,79,32,23,1,2,3,69,2,215,419
12003,"Cumberland--Colchester/Cumberland--Colchester"," 3","Pugwash",1,50,20,10,0,1,0,62,0,144,315
12003,"Cumberland--Colchester/Cumberland--Colchester"," 4","Pugwash",0,20,10,6,0,0,1,22,0,59,175
12003,"Cumberland--Colchester/Cumberland--Colchester"," 5","Pugwash",0,37,24,11,0,0,0,22,0,94,217
12003,"Cumberland--Colchester/Cumberland--Colchester"," 6","West Pugwash",2,49,27,14,1,0,0,54,2,149,359
12003,"Cumberland--Colchester/Cumberland--Colchester"," 7","Pugwash Junction",6,84,19,7,1,0,1,43,3,164,406
12003,"Cumberland--Colchester/Cumberland--Colchester"," 8","Malagash",0,85,22,20,0,1,1,85,2,216,382
12003,"Cumberland--Colchester/Cumberland--Colchester"," 9","Amherst Shore",1,48,21,9,0,5,0,35,1,120,304
12003,"Cumberland--Colchester/Cumberland--Colchester"," 10","Linden",2,82,39,20,2,1,1,53,1,201,406
12003,"Cumberland--Colchester/Cumberland--Colchester"," 11","Brûlé",2,70,25,14,0,0,0,88,2,201,446
12003,"Cumberland--Colchester/Cumberland--Colchester"," 12","Waughs River",2,71,31,12,0,0,0,37,3,156,359
12003,"Cumberland--Colchester/Cumberland--Colchester"," 13","Tatamagouche",2,74,12,13,0,0,0,53,3,157,381
12003,"Cumberland--Colchester/Cumberland--Colchester"," 14","Balfron",3,65,25,17,0,0,3,51,2,166,328
12003,"Cumberland--Colchester/Cumberland--Colchester"," 15","Tidnish",3,82,58,31,0,3,3,95,2,277,459
12003,"Cumberland--Colchester/Cumberland--Colchester"," 16","Bayhead",4,65,21,20,0,0,1,59,0,170,401
12003,"Cumberland--Colchester/Cumberland--Colchester"," 17","Amherst Head",5,70,34,9,0,0,0,30,2,150,254
12003,"Cumberland--Colchester/Cumberland--Colchester"," 18","North Earltown",5,54,23,29,0,0,0,66,1,178,340
12003,"Cumberland--Colchester/Cumberland--Colchester"," 19","West New Annan",1,68,14,15,0,0,0,43,0,141,309
12003,"Cumberland--Colchester/Cumberland--Colchester"," 20","Mount Pleasant",1,81,19,12,0,1,0,39,0,153,356
12003,"Cumberland--Colchester/Cumberland--Colchester"," 21","Victoria",5,44,8,5,2,0,1,28,0,93,217
12003,"Cumberland--Colchester/Cumberland--Colchester"," 22","Oxford",3,91,28,13,2,1,1,53,3,195,416
12003,"Cumberland--Colchester/Cumberland--Colchester"," 23","Oxford",0,75,19,25,0,0,0,25,1,145,290
12003,"Cumberland--Colchester/Cumberland--Colchester"," 24","Oxford",0,64,10,15,1,0,3,37,1,131,257
12003,"Cumberland--Colchester/Cumberland--Colchester"," 25","Oxford Junction",1,72,23,11,0,0,1,45,2,155,321
12003,"Cumberland--Colchester/Cumberland--Colchester"," 26","Fort Lawrence",3,52,21,10,0,0,1,49,2,138,280
