Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andy Fillmore,Bruce Holland,Duncan McGenn,Jo-Ann Roberts,Christine Saulnier,Bill Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 1","Halifax",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,0
12005,"Halifax/Halifax"," 2","Williamswood",66,25,5,22,40,0,1,159,334
12005,"Halifax/Halifax"," 3","East Pennant",93,35,6,32,45,1,0,212,411
12005,"Halifax/Halifax"," 4","East Pennant",61,41,1,21,37,0,6,167,310
12005,"Halifax/Halifax"," 5","Halifax",81,22,1,27,67,1,0,199,422
12005,"Halifax/Halifax"," 6","Halifax",88,23,5,22,56,0,0,194,414
12005,"Halifax/Halifax"," 7","Halifax",47,7,1,10,52,1,0,118,432
12005,"Halifax/Halifax"," 8","Halifax",143,27,3,41,127,1,1,343,671
12005,"Halifax/Halifax"," 9","Halifax",77,16,5,23,126,2,2,251,522
12005,"Halifax/Halifax"," 10","Halifax",67,15,1,17,57,1,1,159,371
12005,"Halifax/Halifax"," 11","Halifax",78,12,4,33,61,3,0,191,374
12005,"Halifax/Halifax"," 12","Halifax",88,28,3,17,72,0,1,209,378
12005,"Halifax/Halifax"," 13","Halifax",111,15,1,13,72,1,1,214,439
12005,"Halifax/Halifax"," 14","Halifax",112,32,3,36,73,1,1,258,578
12005,"Halifax/Halifax"," 15","Halifax",94,23,3,34,52,0,0,206,401
12005,"Halifax/Halifax"," 16","Halifax",68,21,3,21,89,0,0,202,403
12005,"Halifax/Halifax"," 17","Halifax",64,16,0,31,96,1,3,211,517
12005,"Halifax/Halifax"," 18","Halifax",66,18,4,27,87,1,2,205,510
12005,"Halifax/Halifax"," 19","Halifax",55,11,3,15,94,1,2,181,477
12005,"Halifax/Halifax"," 20","Halifax",96,16,2,37,153,1,0,305,642
12005,"Halifax/Halifax"," 21","Halifax",60,4,3,24,83,0,0,174,331
12005,"Halifax/Halifax"," 22","Halifax",76,12,1,35,75,1,0,200,409
12005,"Halifax/Halifax"," 23","Halifax",119,11,1,57,117,2,1,308,544
12005,"Halifax/Halifax"," 24","Halifax",91,19,2,25,119,0,0,256,470
12005,"Halifax/Halifax"," 25","Halifax",104,27,4,26,102,1,0,264,504
12005,"Halifax/Halifax"," 26","Halifax",85,8,4,16,76,1,1,191,408
12005,"Halifax/Halifax"," 27","Halifax",64,12,1,24,80,2,1,184,379
12005,"Halifax/Halifax"," 28","Halifax",79,21,3,22,74,0,6,205,365
12005,"Halifax/Halifax"," 29A","Halifax",53,13,1,9,49,0,0,125,166
12005,"Halifax/Halifax"," 29B","Halifax",53,15,1,7,17,2,1,96,303
12005,"Halifax/Halifax"," 30","Halifax",50,5,1,18,123,0,0,197,360
12005,"Halifax/Halifax"," 31","Halifax",60,19,1,43,108,2,3,236,518
12005,"Halifax/Halifax"," 32","Halifax",67,16,2,29,103,0,0,217,519
12005,"Halifax/Halifax"," 33","Halifax",78,11,0,32,97,0,0,218,412
12005,"Halifax/Halifax"," 34","Halifax",72,15,1,11,46,0,0,145,247
12005,"Halifax/Halifax"," 35","Halifax",136,25,1,20,63,0,0,245,450
12005,"Halifax/Halifax"," 36","Halifax",100,33,4,40,78,3,0,258,491
12005,"Halifax/Halifax"," 37","Halifax",98,25,3,30,106,1,1,264,492
12005,"Halifax/Halifax"," 38","Halifax",101,34,2,39,117,0,0,293,537
12005,"Halifax/Halifax"," 39","Halifax",94,10,6,27,72,0,0,209,522
12005,"Halifax/Halifax"," 40","Halifax",84,18,1,24,61,1,0,189,411
12005,"Halifax/Halifax"," 41","Halifax",81,11,2,21,66,0,0,181,312
12005,"Halifax/Halifax"," 42","Halifax",69,25,3,18,72,2,0,189,389
12005,"Halifax/Halifax"," 43","Halifax",89,17,1,18,37,0,0,162,408
12005,"Halifax/Halifax"," 44","Halifax",75,17,3,48,84,0,2,229,483
12005,"Halifax/Halifax"," 45","Halifax",63,12,2,15,70,0,0,162,338
12005,"Halifax/Halifax"," 46","Halifax",91,22,4,34,84,2,1,238,452
12005,"Halifax/Halifax"," 47","Halifax",80,13,1,29,68,0,2,193,433
12005,"Halifax/Halifax"," 48","Halifax",76,14,2,27,109,0,1,229,427
12005,"Halifax/Halifax"," 49","Halifax",54,6,2,33,102,3,0,200,413
12005,"Halifax/Halifax"," 50","Halifax",126,19,6,46,106,1,1,305,553
12005,"Halifax/Halifax"," 51","Halifax",64,19,3,35,163,0,0,284,497
12005,"Halifax/Halifax"," 52","Halifax",91,11,3,47,144,0,0,296,569
12005,"Halifax/Halifax"," 53","Halifax",98,38,3,33,75,2,2,251,492
12005,"Halifax/Halifax"," 54","Halifax",58,28,4,33,81,1,2,207,457
12005,"Halifax/Halifax"," 55","Halifax",99,17,1,14,50,2,1,184,539
12005,"Halifax/Halifax"," 56","Halifax",102,26,6,32,77,1,0,244,453
12005,"Halifax/Halifax"," 57","Halifax",67,14,4,36,93,1,0,215,376
12005,"Halifax/Halifax"," 58","Halifax",110,27,3,42,144,2,0,328,543
12005,"Halifax/Halifax"," 59","Halifax",77,10,3,34,113,1,0,238,475
12005,"Halifax/Halifax"," 60","Halifax",93,11,2,51,138,1,2,298,528
12005,"Halifax/Halifax"," 61","Halifax",81,21,5,35,89,0,0,231,535
12005,"Halifax/Halifax"," 62","Halifax",71,20,2,32,64,0,0,189,498
12005,"Halifax/Halifax"," 63","Halifax",104,23,0,23,50,0,0,200,470
12005,"Halifax/Halifax"," 64","Halifax",64,32,2,13,26,1,1,139,324
12005,"Halifax/Halifax"," 65","Halifax",75,17,3,45,76,1,1,218,441
12005,"Halifax/Halifax"," 66","Halifax",102,44,0,20,49,0,0,215,506
12005,"Halifax/Halifax"," 67","Halifax",76,22,1,23,59,1,0,182,345
12005,"Halifax/Halifax"," 68","Halifax",90,14,1,23,90,0,0,218,428
12005,"Halifax/Halifax"," 69","Halifax",106,31,11,36,117,0,2,303,555
12005,"Halifax/Halifax"," 70","Halifax",74,17,2,15,66,3,3,180,399
12005,"Halifax/Halifax"," 71","Halifax",80,20,4,27,94,0,2,227,395
12005,"Halifax/Halifax"," 72","Halifax",94,25,4,48,77,0,1,249,441
12005,"Halifax/Halifax"," 73","Halifax",78,17,0,26,95,0,0,216,403
12005,"Halifax/Halifax"," 74","Halifax",111,23,4,36,68,0,3,245,404
12005,"Halifax/Halifax"," 75","Halifax",133,23,0,56,119,1,0,332,576
12005,"Halifax/Halifax"," 76","Halifax",120,12,2,57,150,1,1,343,564
12005,"Halifax/Halifax"," 77","Halifax",77,16,3,44,94,0,0,234,451
12005,"Halifax/Halifax"," 78","Halifax",60,22,3,49,114,1,2,251,512
12005,"Halifax/Halifax"," 79","Halifax",120,37,3,34,57,0,2,253,536
12005,"Halifax/Halifax"," 80","Halifax",68,19,2,43,47,1,0,180,350
12005,"Halifax/Halifax"," 81","Halifax",80,7,4,43,87,0,2,223,462
12005,"Halifax/Halifax"," 82","Halifax",83,13,4,36,73,0,0,209,415
12005,"Halifax/Halifax"," 83","Halifax",79,20,3,30,74,0,1,207,426
12005,"Halifax/Halifax"," 84","Halifax",67,25,0,35,78,1,0,206,425
12005,"Halifax/Halifax"," 85","Halifax",118,31,2,46,128,1,3,329,653
12005,"Halifax/Halifax"," 86","Halifax",64,20,0,50,96,0,2,232,441
12005,"Halifax/Halifax"," 87","Halifax",87,27,9,15,37,0,1,176,391
12005,"Halifax/Halifax"," 88","Halifax",85,8,3,34,88,3,4,225,496
12005,"Halifax/Halifax"," 89","Halifax",68,20,0,15,69,1,1,174,412
12005,"Halifax/Halifax"," 90","Halifax",83,32,1,28,62,0,8,214,380
12005,"Halifax/Halifax"," 91","Halifax",85,28,2,36,95,0,1,247,497
12005,"Halifax/Halifax"," 92","Halifax",77,28,2,29,74,0,1,211,496
12005,"Halifax/Halifax"," 93","Halifax",97,25,4,27,47,0,0,200,416
12005,"Halifax/Halifax"," 94","Halifax",81,20,3,36,72,0,0,212,412
12005,"Halifax/Halifax"," 95","Halifax",74,22,6,36,83,0,0,221,426
12005,"Halifax/Halifax"," 96","Halifax",58,31,9,27,64,0,0,189,424
12005,"Halifax/Halifax"," 97","Halifax",112,54,3,30,70,1,2,272,448
12005,"Halifax/Halifax"," 98","Halifax",101,23,2,20,33,0,1,180,339
12005,"Halifax/Halifax"," 99","Halifax",103,24,0,29,43,0,0,199,427
12005,"Halifax/Halifax"," 100","Halifax",100,22,2,45,58,0,1,228,461
12005,"Halifax/Halifax"," 101","Halifax",94,17,0,20,59,0,0,190,388
12005,"Halifax/Halifax"," 102","Halifax",82,26,8,30,50,1,1,198,403
12005,"Halifax/Halifax"," 103","Halifax",104,21,3,22,50,0,2,202,439
12005,"Halifax/Halifax"," 104","Halifax",85,25,1,26,33,1,3,174,362
12005,"Halifax/Halifax"," 105","Halifax",92,22,0,35,37,2,0,188,431
12005,"Halifax/Halifax"," 106","Halifax",92,36,1,25,34,0,0,188,409
12005,"Halifax/Halifax"," 107","Halifax",104,51,2,58,85,0,2,302,552
12005,"Halifax/Halifax"," 108","Halifax",73,28,0,28,29,0,1,159,383
12005,"Halifax/Halifax"," 109","Halifax",66,51,1,29,22,1,0,170,381
12005,"Halifax/Halifax"," 110","Halifax",83,29,1,44,30,2,2,191,350
12005,"Halifax/Halifax"," 111","Halifax",81,28,1,41,53,1,1,206,418
12005,"Halifax/Halifax"," 112","Halifax",92,43,2,29,20,0,1,187,394
12005,"Halifax/Halifax"," 113","Halifax",102,33,0,22,16,0,1,174,355
12005,"Halifax/Halifax"," 114","Halifax",118,46,1,31,54,0,1,251,495
12005,"Halifax/Halifax"," 115","Halifax",114,27,1,39,49,1,2,233,526
12005,"Halifax/Halifax"," 116","Halifax",95,29,5,46,72,0,0,247,517
12005,"Halifax/Halifax"," 117","Halifax",65,30,1,23,47,1,1,168,404
12005,"Halifax/Halifax"," 118","Halifax",140,36,0,30,38,1,2,247,429
12005,"Halifax/Halifax"," 119","Halifax",122,29,3,32,40,0,0,226,503
12005,"Halifax/Halifax"," 120","Halifax",132,23,0,30,49,0,0,234,428
12005,"Halifax/Halifax"," 121","Halifax",44,20,0,19,19,0,2,104,217
12005,"Halifax/Halifax"," 122A","Halifax",109,29,4,30,64,1,1,238,474
12005,"Halifax/Halifax"," 122B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,53
12005,"Halifax/Halifax"," 123","Halifax",110,22,1,13,24,0,0,170,327
12005,"Halifax/Halifax"," 124","Halifax",93,31,0,19,39,1,0,183,385
12005,"Halifax/Halifax"," 125","Halifax",85,51,1,16,20,1,1,175,367
12005,"Halifax/Halifax"," 126","Halifax",101,35,5,34,58,1,2,236,532
12005,"Halifax/Halifax"," 127","Halifax",90,35,5,28,81,1,4,244,477
12005,"Halifax/Halifax"," 128","Halifax",83,34,8,27,92,2,2,248,501
