Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoff Regan,Fred Shuman,Jacob Wilson,Richard Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 1A","Lucasville",93,42,37,20,0,192,340
12006,"Halifax West/Halifax-Ouest"," 1B","Lucasville",70,49,35,11,0,165,306
12006,"Halifax West/Halifax-Ouest"," 2","Lucasville",89,51,36,20,2,198,391
12006,"Halifax West/Halifax-Ouest"," 3A","Lucasville",68,24,40,12,5,149,317
12006,"Halifax West/Halifax-Ouest"," 3B","Lucasville",44,26,42,19,0,131,278
12006,"Halifax West/Halifax-Ouest"," 4A","Bedford",46,21,31,16,0,114,246
12006,"Halifax West/Halifax-Ouest"," 4B","Bedford",51,15,19,11,0,96,231
12006,"Halifax West/Halifax-Ouest"," 5","Bedford",75,53,29,24,0,181,367
12006,"Halifax West/Halifax-Ouest"," 6","Bedford",78,39,23,17,0,157,354
12006,"Halifax West/Halifax-Ouest"," 7","Bedford",92,24,15,9,1,141,297
12006,"Halifax West/Halifax-Ouest"," 8","Bedford",52,31,60,25,2,170,360
12006,"Halifax West/Halifax-Ouest"," 9","Bedford",70,12,32,20,2,136,295
12006,"Halifax West/Halifax-Ouest"," 10","Bedford",116,39,34,21,0,210,500
12006,"Halifax West/Halifax-Ouest"," 11","Bedford",55,36,18,13,2,124,287
12006,"Halifax West/Halifax-Ouest"," 12","Bedford",105,65,28,32,0,230,510
12006,"Halifax West/Halifax-Ouest"," 13","Bedford",93,45,43,27,4,212,449
12006,"Halifax West/Halifax-Ouest"," 14","Bedford",108,29,29,26,0,192,368
12006,"Halifax West/Halifax-Ouest"," 15","Bedford",94,38,38,29,0,199,411
12006,"Halifax West/Halifax-Ouest"," 16","Bedford",103,42,28,15,1,189,408
12006,"Halifax West/Halifax-Ouest"," 17","Pockwock",87,26,38,30,0,181,393
12006,"Halifax West/Halifax-Ouest"," 18","Glen Arbour",78,41,27,16,4,166,359
12006,"Halifax West/Halifax-Ouest"," 19","Pockwock",51,26,39,15,0,131,376
12006,"Halifax West/Halifax-Ouest"," 20","English Corner",58,30,35,18,1,142,318
12006,"Halifax West/Halifax-Ouest"," 21","English Corner",63,37,36,10,0,146,326
12006,"Halifax West/Halifax-Ouest"," 22","Bedford",79,28,37,24,0,168,338
12006,"Halifax West/Halifax-Ouest"," 23","Bedford",64,30,35,24,0,153,359
12006,"Halifax West/Halifax-Ouest"," 24","Bedford",72,23,61,19,0,175,381
12006,"Halifax West/Halifax-Ouest"," 25","Bedford",102,29,22,11,0,164,367
12006,"Halifax West/Halifax-Ouest"," 26","Bedford",71,22,24,12,0,129,279
12006,"Halifax West/Halifax-Ouest"," 27","Bedford",68,20,20,19,0,127,426
12006,"Halifax West/Halifax-Ouest"," 28","Bedford",87,27,33,27,3,177,426
12006,"Halifax West/Halifax-Ouest"," 29","Bedford",47,19,13,12,0,91,268
12006,"Halifax West/Halifax-Ouest"," 30","Bedford",76,18,24,26,1,145,368
12006,"Halifax West/Halifax-Ouest"," 31","Bedford",41,21,12,16,1,91,282
12006,"Halifax West/Halifax-Ouest"," 32","Bedford",90,28,35,21,0,174,430
12006,"Halifax West/Halifax-Ouest"," 33","Bedford",60,32,28,16,2,138,294
12006,"Halifax West/Halifax-Ouest"," 34","Halifax",69,22,18,14,1,124,297
12006,"Halifax West/Halifax-Ouest"," 35","Bedford",105,43,45,25,0,218,464
12006,"Halifax West/Halifax-Ouest"," 36","Bedford",76,30,28,22,0,156,364
12006,"Halifax West/Halifax-Ouest"," 37","Bedford",93,37,51,24,0,205,428
12006,"Halifax West/Halifax-Ouest"," 38","Bedford",94,27,24,21,0,166,370
12006,"Halifax West/Halifax-Ouest"," 39","Bedford",94,55,22,25,1,197,479
12006,"Halifax West/Halifax-Ouest"," 40","White Hills",76,36,34,20,0,166,372
12006,"Halifax West/Halifax-Ouest"," 41","Glen Arbour",40,38,15,8,0,101,277
12006,"Halifax West/Halifax-Ouest"," 42","Hammond Plains",85,52,26,12,2,177,357
12006,"Halifax West/Halifax-Ouest"," 43","English Corner",72,37,38,24,0,171,444
12006,"Halifax West/Halifax-Ouest"," 44","Kingswood",90,39,51,26,1,207,414
12006,"Halifax West/Halifax-Ouest"," 45","Hammond Plains",65,31,17,10,1,124,292
12006,"Halifax West/Halifax-Ouest"," 46","Hammond Plains",81,65,30,25,0,201,437
12006,"Halifax West/Halifax-Ouest"," 47","Sandy Lake ",104,47,47,35,0,233,509
12006,"Halifax West/Halifax-Ouest"," 48","Kingswood",109,50,42,17,0,218,412
12006,"Halifax West/Halifax-Ouest"," 49","Sandy Lake ",126,65,36,23,1,251,504
12006,"Halifax West/Halifax-Ouest"," 50","Kingswood",73,50,38,17,0,178,354
12006,"Halifax West/Halifax-Ouest"," 51","Kingswood",92,41,28,21,0,182,337
12006,"Halifax West/Halifax-Ouest"," 52","Kingswood",90,23,28,17,0,158,370
12006,"Halifax West/Halifax-Ouest"," 53","Bedford",84,36,37,13,1,171,341
12006,"Halifax West/Halifax-Ouest"," 54","Bedford",108,56,31,20,2,217,503
12006,"Halifax West/Halifax-Ouest"," 55","Bedford",49,8,17,4,2,80,214
12006,"Halifax West/Halifax-Ouest"," 56","Halifax",70,30,30,13,3,146,344
12006,"Halifax West/Halifax-Ouest"," 57","Halifax",36,11,18,4,1,70,157
12006,"Halifax West/Halifax-Ouest"," 58","Halifax",47,26,49,16,1,139,406
12006,"Halifax West/Halifax-Ouest"," 59","Halifax",90,54,25,13,1,183,379
12006,"Halifax West/Halifax-Ouest"," 60","Halifax",104,31,89,21,0,245,573
12006,"Halifax West/Halifax-Ouest"," 61","Halifax",60,47,13,12,0,132,318
12006,"Halifax West/Halifax-Ouest"," 62","Bedford",90,67,28,21,1,207,478
12006,"Halifax West/Halifax-Ouest"," 63","Bedford",66,23,20,7,0,116,324
12006,"Halifax West/Halifax-Ouest"," 64","Bedford",113,41,42,24,5,225,542
12006,"Halifax West/Halifax-Ouest"," 65","Bedford",107,40,37,20,0,204,486
12006,"Halifax West/Halifax-Ouest"," 66A","Bedford",64,19,13,10,0,106,274
12006,"Halifax West/Halifax-Ouest"," 66B","Bedford",66,31,26,17,0,140,304
12006,"Halifax West/Halifax-Ouest"," 67","Bedford",84,57,43,20,0,204,459
12006,"Halifax West/Halifax-Ouest"," 68","Halifax",73,33,42,15,0,163,371
12006,"Halifax West/Halifax-Ouest"," 69","Bedford",112,48,31,29,0,220,378
12006,"Halifax West/Halifax-Ouest"," 70","Halifax",45,28,10,11,0,94,164
12006,"Halifax West/Halifax-Ouest"," 71","Halifax",99,28,36,9,1,173,376
12006,"Halifax West/Halifax-Ouest"," 72","Halifax",86,47,32,29,1,195,373
12006,"Halifax West/Halifax-Ouest"," 73","Halifax",62,39,17,22,0,140,287
12006,"Halifax West/Halifax-Ouest"," 74","Halifax",63,28,27,27,0,145,358
12006,"Halifax West/Halifax-Ouest"," 75","Halifax",116,36,25,38,1,216,384
12006,"Halifax West/Halifax-Ouest"," 76","Halifax",189,62,41,37,6,335,506
12006,"Halifax West/Halifax-Ouest"," 77","Sandy Lake ",82,28,27,12,3,152,320
12006,"Halifax West/Halifax-Ouest"," 78","Sandy Lake ",95,47,28,16,0,186,404
12006,"Halifax West/Halifax-Ouest"," 79A","Sandy Lake",103,54,30,16,0,203,372
12006,"Halifax West/Halifax-Ouest"," 79B","Sandy Lake",102,57,28,13,1,201,369
12006,"Halifax West/Halifax-Ouest"," 80","Sandy Lake ",70,45,33,11,0,159,326
12006,"Halifax West/Halifax-Ouest"," 81","Sandy Lake ",108,70,23,22,4,227,510
12006,"Halifax West/Halifax-Ouest"," 82","Sandy Lake ",94,30,30,10,1,165,440
12006,"Halifax West/Halifax-Ouest"," 83","Sandy Lake ",71,33,36,17,1,158,369
12006,"Halifax West/Halifax-Ouest"," 84","Halifax",69,14,19,15,0,117,220
12006,"Halifax West/Halifax-Ouest"," 85","Halifax",106,31,65,29,0,231,442
12006,"Halifax West/Halifax-Ouest"," 86","Halifax",99,32,41,29,0,201,451
12006,"Halifax West/Halifax-Ouest"," 87","Halifax",17,4,8,8,2,39,70
12006,"Halifax West/Halifax-Ouest"," 88","Halifax",99,40,40,20,3,202,363
12006,"Halifax West/Halifax-Ouest"," 89","Halifax",68,22,23,7,4,124,249
12006,"Halifax West/Halifax-Ouest"," 90","Halifax",121,28,30,26,0,205,352
12006,"Halifax West/Halifax-Ouest"," 91","Halifax",125,42,23,15,6,211,438
12006,"Halifax West/Halifax-Ouest"," 92","Halifax",72,18,63,32,3,188,362
12006,"Halifax West/Halifax-Ouest"," 93","Halifax",97,55,32,35,0,219,521
12006,"Halifax West/Halifax-Ouest"," 94","Halifax",83,37,28,15,1,164,343
12006,"Halifax West/Halifax-Ouest"," 95","Halifax",23,18,18,8,0,67,134
12006,"Halifax West/Halifax-Ouest"," 96","Halifax",60,19,13,18,1,111,234
12006,"Halifax West/Halifax-Ouest"," 97","Halifax",62,23,51,17,1,154,363
12006,"Halifax West/Halifax-Ouest"," 98","Halifax",75,30,58,25,6,194,459
12006,"Halifax West/Halifax-Ouest"," 99","Halifax",129,31,33,22,1,216,361
12006,"Halifax West/Halifax-Ouest"," 100","Halifax",96,35,31,24,2,188,384
12006,"Halifax West/Halifax-Ouest"," 101","Halifax",106,36,85,23,0,250,472
12006,"Halifax West/Halifax-Ouest"," 102","Halifax",83,29,50,20,0,182,401
12006,"Halifax West/Halifax-Ouest"," 103","Halifax",91,30,39,25,0,185,369
12006,"Halifax West/Halifax-Ouest"," 104","Halifax",89,26,65,22,3,205,515
12006,"Halifax West/Halifax-Ouest"," 105","Halifax",87,28,42,19,1,177,427
12006,"Halifax West/Halifax-Ouest"," 106","Halifax",60,16,63,22,2,163,456
12006,"Halifax West/Halifax-Ouest"," 107","Halifax",53,19,31,16,2,121,319
12006,"Halifax West/Halifax-Ouest"," 108","Halifax",66,18,49,20,1,154,392
12006,"Halifax West/Halifax-Ouest"," 109","Halifax",55,17,52,16,2,142,390
12006,"Halifax West/Halifax-Ouest"," 110","Halifax",55,27,58,26,2,168,411
12006,"Halifax West/Halifax-Ouest"," 111A","Halifax",63,25,41,24,0,153,306
12006,"Halifax West/Halifax-Ouest"," 111B","Halifax",57,17,43,27,1,145,289
12006,"Halifax West/Halifax-Ouest"," 112","Halifax",87,29,77,38,2,233,494
12006,"Halifax West/Halifax-Ouest"," 113","Halifax",99,26,46,29,0,200,371
12006,"Halifax West/Halifax-Ouest"," 114","Halifax",57,18,39,19,3,136,333
12006,"Halifax West/Halifax-Ouest"," 115","Halifax",72,27,61,18,2,180,332
12006,"Halifax West/Halifax-Ouest"," 116","Halifax",69,19,43,30,0,161,362
12006,"Halifax West/Halifax-Ouest"," 117","Halifax",75,20,58,33,1,187,362
12006,"Halifax West/Halifax-Ouest"," 118","Halifax",108,31,74,32,3,248,498
12006,"Halifax West/Halifax-Ouest"," 119","Halifax",109,51,40,21,0,221,428
12006,"Halifax West/Halifax-Ouest"," 120","Halifax",114,30,47,22,2,215,499
12006,"Halifax West/Halifax-Ouest"," 121","Halifax",126,37,28,18,3,212,483
12006,"Halifax West/Halifax-Ouest"," 122","Halifax",84,26,51,14,1,176,384
12006,"Halifax West/Halifax-Ouest"," 123","Halifax",102,24,35,10,1,172,395
12006,"Halifax West/Halifax-Ouest"," 124A","Halifax",64,25,27,16,1,133,248
12006,"Halifax West/Halifax-Ouest"," 124B","Halifax",Merged with No./Fusionné avec le n°407,,,,,,223
12006,"Halifax West/Halifax-Ouest"," 125","Halifax",131,29,49,33,3,245,470
12006,"Halifax West/Halifax-Ouest"," 126","Halifax",78,25,72,16,1,192,414
12006,"Halifax West/Halifax-Ouest"," 127","Halifax",82,17,39,20,2,160,344
12006,"Halifax West/Halifax-Ouest"," 128","Halifax",117,46,33,24,3,223,552
12006,"Halifax West/Halifax-Ouest"," 129","Halifax",34,20,35,12,5,106,283
12006,"Halifax West/Halifax-Ouest"," 130","Halifax",59,24,57,19,0,159,538
12006,"Halifax West/Halifax-Ouest"," 131","Halifax",50,24,60,12,0,146,455
12006,"Halifax West/Halifax-Ouest"," 132","Halifax",98,48,32,12,0,190,468
12006,"Halifax West/Halifax-Ouest"," 133","Halifax",105,30,53,33,2,223,558
12006,"Halifax West/Halifax-Ouest"," 134","Halifax",37,9,22,8,1,77,307
12006,"Halifax West/Halifax-Ouest"," 135","Halifax",104,27,20,11,0,162,431
12006,"Halifax West/Halifax-Ouest"," 136","Halifax",88,22,28,33,1,172,427
12006,"Halifax West/Halifax-Ouest"," 137","Halifax",52,16,42,18,2,130,363
12006,"Halifax West/Halifax-Ouest"," 138","Halifax",69,22,58,15,0,164,418
12006,"Halifax West/Halifax-Ouest"," 139","Halifax",72,27,52,41,2,194,394
12006,"Halifax West/Halifax-Ouest"," 140","Halifax",70,18,42,19,1,150,357
12006,"Halifax West/Halifax-Ouest"," 141","Highland Park",78,38,40,23,0,179,381
12006,"Halifax West/Halifax-Ouest"," 142","Highland Park",104,57,33,26,0,220,434
12006,"Halifax West/Halifax-Ouest"," 143","Highland Park",72,37,33,26,1,169,353
12006,"Halifax West/Halifax-Ouest"," 144","Highland Park",83,29,31,16,0,159,362
12006,"Halifax West/Halifax-Ouest"," 145","Stillwater Lake",117,30,57,40,1,245,459
12006,"Halifax West/Halifax-Ouest"," 146","Highland Park",101,38,44,21,0,204,417
12006,"Halifax West/Halifax-Ouest"," 147","Stillwater Lake",111,61,37,35,0,244,473
12006,"Halifax West/Halifax-Ouest"," 148","Upper Tantalon",112,37,39,32,1,221,409
12006,"Halifax West/Halifax-Ouest"," 149","Stillwater Lake",128,49,43,29,1,250,435
12006,"Halifax West/Halifax-Ouest"," 150","Halifax",70,35,68,30,0,203,523
12006,"Halifax West/Halifax-Ouest"," 151","Kearney Lake",92,39,37,30,1,199,448
12006,"Halifax West/Halifax-Ouest"," 152","Halifax",84,28,29,27,0,168,346
12006,"Halifax West/Halifax-Ouest"," 153","Halifax",95,18,40,20,3,176,377
12006,"Halifax West/Halifax-Ouest"," 154","Halifax",100,28,48,18,0,194,379
12006,"Halifax West/Halifax-Ouest"," 155","Halifax",65,20,39,20,3,147,423
