Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Marc Bélanger,Vincent Cormier,Dominic LeBlanc,Nancy Mercier,Laura Reinsborough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Petite-Aldouane",11,23,58,0,74,3,169,306
13002,"Beauséjour/Beauséjour"," 2","Aldouane",11,27,97,1,82,1,219,337
13002,"Beauséjour/Beauséjour"," 3","Aldouane",4,31,70,6,59,2,172,364
13002,"Beauséjour/Beauséjour"," 4","Saint-Louis",6,13,69,0,99,1,188,380
13002,"Beauséjour/Beauséjour"," 5","Saint-Louis",5,20,63,5,61,2,156,400
13002,"Beauséjour/Beauséjour"," 6","Saint-Louis",5,15,58,5,48,2,133,321
13002,"Beauséjour/Beauséjour"," 7","Saint-Louis",3,22,43,0,39,2,109,253
13002,"Beauséjour/Beauséjour"," 8","Saint-Louis",10,22,69,2,68,3,174,311
13002,"Beauséjour/Beauséjour"," 9","Indian Island",5,0,30,0,11,0,46,108
13002,"Beauséjour/Beauséjour"," 10","Richibucto-Village",17,39,71,6,76,2,211,341
13002,"Beauséjour/Beauséjour"," 11","Richibucto-Village",8,23,77,4,41,1,154,255
13002,"Beauséjour/Beauséjour"," 12","Richibucto-Village",9,26,84,4,52,1,176,290
13002,"Beauséjour/Beauséjour"," 13","Richibucto",9,17,63,1,41,4,135,278
13002,"Beauséjour/Beauséjour"," 14","Richibucto",2,25,62,1,26,3,119,238
13002,"Beauséjour/Beauséjour"," 15","Richibucto",9,18,55,2,43,1,128,267
13002,"Beauséjour/Beauséjour"," 16","Richibucto",3,24,28,2,30,0,87,225
13002,"Beauséjour/Beauséjour"," 17","Richibouctou",7,18,48,1,34,0,108,319
13002,"Beauséjour/Beauséjour"," 18","Rexton",9,34,60,0,29,0,132,286
13002,"Beauséjour/Beauséjour"," 19","Richibouctou",9,26,47,5,33,0,120,275
13002,"Beauséjour/Beauséjour"," 20","Rexton",12,43,56,3,40,1,155,344
13002,"Beauséjour/Beauséjour"," 21","Saint-Charles",14,27,85,1,97,3,227,392
13002,"Beauséjour/Beauséjour"," 22","Saint-Charles",4,19,51,2,74,3,153,283
13002,"Beauséjour/Beauséjour"," 23","Saint-Ignace",3,30,72,2,56,1,164,262
13002,"Beauséjour/Beauséjour"," 24","Saint-Ignace",10,25,49,3,74,8,169,236
