Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Louis Bérubé,Chad Betteridge,Nelson Fox,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 1","Dalhousie",80,16,21,53,1,171,381
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 2","Dalhousie",64,23,33,53,1,174,386
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 3","Dalhousie",70,23,19,36,1,149,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 4","Dalhousie",63,31,22,62,2,180,393
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 5A","Dalhousie",36,11,9,23,0,79,299
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 5B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,35
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 6","Dalhousie",64,17,18,27,0,126,316
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 7","Dalhousie",71,19,22,37,0,149,316
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 8","Dalhousie",59,19,18,35,0,131,322
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 9","Eel River 3",30,19,57,15,0,121,324
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 10","Charlo",89,30,18,40,3,180,378
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 11","Charlo",94,18,13,44,1,170,381
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 12","Charlo",98,21,17,45,2,183,390
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 13","Eel River Crossing",72,22,13,34,0,141,323
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 14","Eel River Crossing",109,19,7,25,4,164,359
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 15","Eel River Crossing",77,24,9,40,4,154,308
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 16","Dalhousie Junction",87,52,28,49,3,219,375
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 17","McLeods",78,20,16,35,2,151,313
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 18","Point La Nim",107,39,19,45,5,215,332
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 19","Dundee",98,26,6,44,0,174,304
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 20","Benjamin River",51,27,37,74,12,201,384
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 21","Benjamin River",68,18,31,81,4,202,389
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 22","Campbellton",102,35,29,64,2,232,537
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 23","Campbellton",87,32,17,52,6,194,559
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 24","Campbellton",113,35,33,62,3,246,516
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 25","Campbellton",120,25,23,37,3,208,521
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 26","Campbellton",118,27,18,58,2,223,595
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 27","Campbellton",77,19,20,44,3,163,569
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 28","Campbellton",159,30,18,52,3,262,568
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 29","Campbellton",76,47,24,47,0,194,524
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 30","Campbellton",97,26,25,35,2,185,467
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 31","Campbellton",135,21,26,54,4,240,569
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 32","Atholville",76,16,10,10,0,112,293
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 33","Atholville",62,25,10,27,1,125,307
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 34","Atholville",95,27,11,37,0,170,380
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 35","Benjamin River",95,38,39,52,2,226,404
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 36","Tide Head",86,20,32,74,3,215,417
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 37","Tide Head",95,30,18,79,1,223,432
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 38","Maltais",139,70,10,23,0,242,382
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 39","Maltais",148,54,6,12,4,224,358
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 40","Val-d'Amour",130,36,10,46,4,226,367
