Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Jonah,Karen Ludwig,Douglas Mullin,Meryl Sarty,Abe Scott,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Newtown",46,30,27,10,0,122,0,235,394
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Smiths Creek",22,48,26,6,0,128,2,232,390
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Coles Island",34,46,25,8,2,138,2,255,449
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4","Head of Millstream",30,12,12,2,3,71,0,130,291
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Berwick",20,20,8,1,0,81,0,130,294
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Collina",36,32,18,4,1,95,1,187,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","Roachville",24,26,17,4,3,106,1,181,382
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Studholm",21,25,18,7,0,91,0,162,334
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Studholm",27,30,14,1,0,98,1,171,334
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Cambridge-Narrows",11,32,11,5,2,66,1,128,297
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Cambridge-Narrows",9,40,7,4,1,55,1,117,265
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Whites Cove",19,27,10,4,0,79,0,139,291
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Jemseg",30,33,14,4,2,60,0,143,211
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Upper Gagetown",25,41,14,6,1,93,1,181,260
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Belleisle Creek",16,18,12,6,2,73,1,128,275
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Springfield",17,29,18,9,2,95,4,174,326
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","Hatfield Point",19,24,16,9,0,82,5,155,302
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","Keirsteadville",27,29,24,2,0,100,0,182,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","Gagetown",31,34,11,4,0,46,0,126,327
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","Gagetown",16,52,6,0,0,46,1,121,247
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","Island View",21,43,7,2,0,65,1,139,280
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Island View",14,35,13,4,0,61,0,127,285
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Kingsclear",86,40,9,0,0,9,0,144,367
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Shannon",7,25,10,3,2,112,2,161,297
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Hanwell",37,64,19,3,0,54,0,177,392
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Hanwell",32,60,22,2,0,63,0,179,405
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Hanwell",28,53,13,3,0,66,0,163,374
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Hanwell",30,53,7,3,0,60,1,154,366
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Hanwell",34,85,18,0,0,64,0,201,416
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Hanwell",39,73,16,1,0,76,2,207,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Hanwell",50,54,14,0,0,55,1,174,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Waasis",35,29,14,9,1,52,0,140,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Waasis",39,28,42,8,3,64,1,185,482
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Waasis",48,47,20,7,3,83,0,208,587
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Waasis",44,36,24,3,3,60,1,171,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Beaver Dam",44,32,36,7,4,44,0,167,372
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Rusagonis",48,35,14,9,3,66,2,177,465
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Hanwell",52,75,8,2,0,57,0,194,403
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Kars",14,33,9,4,0,72,0,132,252
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40","Mazerolle Settlement",27,60,12,7,1,77,1,185,383
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41","Mazerolle Settlement",40,87,19,7,0,87,1,241,518
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Mazerolle Settlement",49,60,20,16,0,78,0,223,425
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43","Newmarket",27,38,13,10,0,68,1,157,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","New Maryland",53,62,17,4,2,68,0,206,448
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 45","Charters Settlement",41,55,17,6,0,71,0,190,418
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 46","Nasonworth",54,65,24,6,1,87,0,237,477
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 47","Beaver Dam",50,44,23,15,1,81,0,214,429
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 48","Rusagonis",48,27,21,1,3,87,2,189,487
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 49","Rusagonis",49,30,23,14,7,62,2,187,456
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 50","Rusagonis",33,12,9,9,4,55,1,123,303
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 51","Prince William",39,46,17,9,0,125,2,238,473
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52","Hampstead",23,36,7,2,0,61,1,130,231
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 53","Newmarket",48,39,9,4,0,44,0,144,236
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 54","Dumfries",25,59,19,1,0,84,1,189,287
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55","Central Greenwich",14,53,18,3,0,97,2,187,313
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 56","Fredericton Junction",24,28,15,2,0,94,3,166,357
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 57","Fredericton Junction",23,17,12,7,0,90,0,149,322
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 58","Blissville",26,36,12,7,1,71,6,159,255
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 59","Hoyt",29,34,12,4,1,93,1,174,278
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 60","Harvey",32,40,16,12,3,75,1,179,354
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 61","Harvey",37,59,23,5,0,87,0,211,402
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 62","Magaguadavic",19,27,13,3,0,102,0,164,285
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 63","Greenwich Hill",19,31,16,4,0,141,1,212,419
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 64","Public Landing",16,23,17,2,0,77,2,137,313
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 65","Tracy",29,24,10,9,1,138,0,211,429
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 66","Tracy",38,18,21,4,0,120,1,202,425
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 67","Welsford",20,41,34,13,4,109,1,222,381
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 68","Morrisdale",34,44,33,9,2,106,2,230,405
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 69","Nerepis",13,44,29,11,0,69,1,167,340
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 70","Tweedside",24,38,18,2,1,92,2,177,276
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 71","Coburn",40,38,22,5,0,151,2,258,426
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 72","York Mills",13,30,10,7,0,110,2,172,277
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 73","Grand Bay-Westfield",20,57,24,2,0,92,0,195,386
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 74","Grand Bay-Westfield",15,53,22,3,0,56,3,152,386
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 75","Grand Bay-Westfield",20,67,25,7,0,70,2,191,418
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 76","Grand Bay-Westfield",19,57,30,9,1,74,1,191,424
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 77","McAdam",3,18,5,4,1,109,0,140,384
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 78","McAdam",8,22,3,0,0,57,0,90,229
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 79","McAdam",4,18,3,2,0,114,0,141,402
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 80","Wirral",21,34,18,9,0,77,1,160,259
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 81","Grand Bay-Westfield",28,59,17,7,2,84,1,198,415
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 82","Grand Bay-Westfield",20,67,34,4,1,87,0,213,400
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 83","Grand Bay-Westfield",23,49,32,5,2,58,2,171,407
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 84","Grand Bay-Westfield",27,35,22,7,0,94,1,186,400
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 85","Grand Bay-Westfield",22,44,28,2,0,73,0,169,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 86","Nerepis",21,37,28,10,1,62,0,159,296
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 87","Nerepis",18,28,17,6,0,93,1,163,284
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 88","Lawrence Station",15,52,13,6,2,87,0,175,279
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 89","Bonny River",16,42,12,16,0,156,0,242,329
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 90","Musquash",20,36,35,14,2,127,3,237,371
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 91","Chance Harbour",26,41,22,12,1,113,3,218,385
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 92","Rollingdam",17,32,9,3,1,99,0,161,258
