Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Isabelle Bergeron,Sylvie Bérubé,Kiara Cabana-Whiteley,Martin Ferron,Guillaume Lanouette,Jacline Rouleau,Daniel Simon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 1","Salluit",102,12,10,13,3,47,6,0,193,884
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 2","Ivujivik",52,9,5,11,5,21,6,0,109,251
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 3","Quaqtaq",21,8,6,6,2,25,4,0,72,263
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 4","Kangiqsujuaq",92,23,24,23,10,43,22,2,239,508
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 5","Kangirsuk",68,9,8,5,2,33,1,0,126,367
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 6","Akulivik",56,18,9,13,9,26,17,0,148,354
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 7","Kangiqsualujjuaq",90,11,7,12,3,39,6,0,168,605
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 8","Puvirnituq",39,17,6,17,2,29,8,0,118,265
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 9","Puvirnituq",78,13,8,22,12,43,13,3,192,878
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 10","Aupaluk",40,6,7,3,1,11,3,3,74,151
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 11","Tasiujaq",39,5,3,4,2,9,3,0,65,198
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 12","Kuujjuaq",64,7,11,3,3,31,2,1,122,273
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 13","Kuujjuaq",112,27,26,13,3,82,6,3,272,803
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 14","Kuujjuaq",46,2,18,5,0,17,4,3,95,313
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 15","Kuujjuaq",40,7,10,4,2,9,1,1,74,235
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 16A","Inukjuak",187,26,38,31,7,81,38,6,414,557
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 16B","Inukjuak",Results combined with No./Résultats combinés au n°16A,,,,,,,,,556
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 17","Umiujaq",70,4,7,6,2,35,2,0,126,295
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 18","Kuujjuarapik",29,4,7,6,4,42,4,1,97,453
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 19","Kuujjuarapik",61,15,3,10,1,77,6,0,173,629
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 20A","Chisasibi",24,3,5,0,1,45,1,1,80,519
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 20B","Chisasibi",22,3,5,2,1,46,3,1,83,506
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 21","Chisasibi",14,1,0,3,2,36,3,1,60,346
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 22","Chisasibi",49,6,11,7,0,62,3,4,142,731
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23","Chisasibi",11,0,1,0,1,15,1,0,29,175
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 24","Chisasibi",37,3,6,4,1,84,0,1,136,749
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 25","Radisson",25,52,2,20,3,11,1,3,117,180
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 26","Wemindji",46,6,11,10,5,94,2,1,175,575
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 27","Wemindji",46,1,4,3,0,64,0,0,118,435
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 28","Eastmain",32,2,7,3,2,44,2,1,93,595
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 29","Mistissini",11,2,3,4,0,41,1,0,62,368
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 30","Mistissini",9,2,2,4,1,20,4,0,42,287
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 31","Mistissini",10,1,1,5,0,22,3,0,42,379
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 32","Mistissini",17,1,2,6,0,41,0,0,67,295
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 33","Mistissini",11,1,4,6,2,33,1,0,58,328
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 34","Mistissini",12,5,9,7,0,71,2,3,109,398
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 35","Mistissini",25,8,10,2,3,78,2,0,128,513
24001,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 36","Mistissini",30,5,4,3,1,103,5,1,152,563
