Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Ayas,Zahia El-Masri,Mélanie Joly,Kathy Laframboise,Jean-Michel Lavarenne,André Parizeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 1","Montréal",1,12,74,7,6,26,0,126,342
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 2","Montréal",1,27,123,9,6,51,1,218,528
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 3","Montréal",6,21,87,4,22,66,2,208,442
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 4","Montréal",2,22,74,6,4,26,2,136,339
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 5","Montréal",1,35,95,4,12,59,0,206,475
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 6","Montréal",0,39,92,9,22,82,3,247,451
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 7","Montréal",2,28,78,9,13,43,3,176,424
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 8","Montréal",4,18,61,10,12,58,2,165,345
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 9","Montréal",1,23,55,8,15,40,6,148,318
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 10","Montréal",8,26,152,4,10,59,6,265,532
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 11","Montréal",1,25,125,14,12,45,6,228,470
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 12","Montréal",3,31,113,9,36,96,4,292,488
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 13","Montréal",0,15,107,10,11,31,1,175,361
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 14","Montréal",4,31,99,11,21,58,3,227,392
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 15","Montréal",1,30,113,5,24,92,5,270,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 16","Montréal",0,41,91,9,18,51,1,211,377
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 17","Montréal",1,31,104,8,19,67,4,234,380
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 18","Montréal",2,23,89,6,9,71,2,202,360
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 19","Montréal",2,24,94,7,17,85,1,230,374
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 20","Montréal",1,33,97,11,18,90,5,255,441
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 21","Montréal",2,42,110,11,12,76,1,254,383
