Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julius Buté,Dwayne Cappelletti,Matthieu Couture,Angelo Esposito,Marguerite Howells,Angelo Iacono,Andriana Kocini,Michel Lachance,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 1","Laval",1,0,1,12,7,54,10,82,2,169,411
24004,"Alfred-Pellan/Alfred-Pellan"," 2","Laval",1,0,1,21,2,98,12,86,0,221,508
24004,"Alfred-Pellan/Alfred-Pellan"," 3","Laval",1,1,3,13,7,98,13,88,4,228,492
24004,"Alfred-Pellan/Alfred-Pellan"," 4","Laval",1,0,0,7,7,90,6,73,2,186,413
24004,"Alfred-Pellan/Alfred-Pellan"," 5","Laval",2,0,1,33,13,98,19,113,4,283,497
24004,"Alfred-Pellan/Alfred-Pellan"," 6","Laval",0,5,2,21,2,56,17,73,3,179,428
24004,"Alfred-Pellan/Alfred-Pellan"," 7","Laval",0,0,0,16,11,85,13,41,3,169,382
24004,"Alfred-Pellan/Alfred-Pellan"," 8","Laval",0,0,4,13,15,89,17,46,4,188,437
24004,"Alfred-Pellan/Alfred-Pellan"," 9","Laval",1,0,1,14,4,81,24,59,6,190,456
24004,"Alfred-Pellan/Alfred-Pellan"," 10","Laval",0,0,6,13,8,57,22,91,1,198,426
24004,"Alfred-Pellan/Alfred-Pellan"," 11","Laval",2,0,1,16,7,106,18,83,5,238,473
24004,"Alfred-Pellan/Alfred-Pellan"," 12","Laval",2,0,2,17,14,127,15,81,0,258,491
24004,"Alfred-Pellan/Alfred-Pellan"," 13","Laval",0,0,0,22,7,76,13,65,8,191,436
24004,"Alfred-Pellan/Alfred-Pellan"," 14","Laval",0,1,5,11,14,129,14,67,3,244,511
24004,"Alfred-Pellan/Alfred-Pellan"," 15","Laval",1,0,3,12,9,107,14,41,7,194,423
24004,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",2,2,3,14,6,125,18,59,5,234,441
24004,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",0,3,0,18,7,123,12,80,4,247,524
24004,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",1,1,0,23,4,98,15,66,6,214,446
24004,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",1,0,4,24,8,77,20,62,2,198,387
24004,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",0,1,4,23,7,133,16,77,4,265,568
24004,"Alfred-Pellan/Alfred-Pellan"," 21","Laval",3,2,8,33,10,225,26,41,3,351,646
24004,"Alfred-Pellan/Alfred-Pellan"," 22A","Laval",1,0,1,6,3,61,8,73,2,155,338
24004,"Alfred-Pellan/Alfred-Pellan"," 22B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,6
24004,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",1,1,0,12,10,94,12,91,2,223,453
24004,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",0,1,2,14,3,56,14,81,3,174,344
24004,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",2,2,1,14,6,54,10,94,2,185,387
24004,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",1,2,2,9,7,50,16,100,4,191,380
24004,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",0,0,0,12,10,63,17,136,4,242,458
24004,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",2,0,1,26,9,50,25,132,5,250,505
24004,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",0,0,3,27,7,55,16,108,0,216,424
24004,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",1,0,0,11,2,106,15,43,6,184,395
24004,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",2,0,1,21,12,86,28,63,0,213,536
24004,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",0,0,1,29,9,206,15,65,11,336,598
24004,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",1,0,5,30,6,131,21,30,4,228,457
24004,"Alfred-Pellan/Alfred-Pellan"," 34","Laval",0,2,1,15,9,151,25,70,6,279,485
24004,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",0,0,3,16,12,121,16,76,4,248,520
24004,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",0,0,2,29,9,148,20,65,8,281,508
24004,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",1,0,2,46,10,182,26,85,8,360,587
24004,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",0,0,2,47,5,129,16,51,3,253,486
24004,"Alfred-Pellan/Alfred-Pellan"," 39","Laval",1,0,2,57,5,134,21,38,2,260,541
24004,"Alfred-Pellan/Alfred-Pellan"," 40","Laval",0,0,2,21,9,129,22,80,0,263,551
24004,"Alfred-Pellan/Alfred-Pellan"," 41","Laval",2,0,3,8,12,81,12,92,1,211,433
24004,"Alfred-Pellan/Alfred-Pellan"," 42","Laval",1,0,5,21,4,99,29,72,2,233,461
24004,"Alfred-Pellan/Alfred-Pellan"," 43","Laval",3,0,4,29,3,55,4,54,2,154,310
24004,"Alfred-Pellan/Alfred-Pellan"," 44","Laval",0,2,6,69,7,162,11,26,2,285,526
24004,"Alfred-Pellan/Alfred-Pellan"," 45","Laval",0,0,1,28,8,103,11,16,1,168,358
24004,"Alfred-Pellan/Alfred-Pellan"," 46","Laval",0,0,0,32,6,131,23,38,2,232,433
24004,"Alfred-Pellan/Alfred-Pellan"," 47","Laval",0,0,1,58,3,165,19,31,1,278,477
24004,"Alfred-Pellan/Alfred-Pellan"," 48","Laval",0,1,1,22,5,89,18,54,1,191,392
24004,"Alfred-Pellan/Alfred-Pellan"," 49","Laval",0,1,1,39,11,101,17,31,3,204,354
24004,"Alfred-Pellan/Alfred-Pellan"," 50","Laval",1,0,4,19,9,85,15,54,3,190,429
