Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Mathieu-du-Parc",0,8,65,0,2,1,0,59,29,5,169,294
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Mathieu-du-Parc",0,10,69,2,1,1,2,81,35,3,204,351
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Mathieu-du-Parc",1,19,53,1,1,0,2,48,22,2,149,277
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Mathieu-du-Parc",0,8,49,0,6,0,1,53,34,3,154,286
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Saint-Alexis-des-Monts",0,6,40,1,4,0,0,64,24,5,144,378
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Saint-Alexis-des-Monts",2,13,49,2,2,0,1,60,14,1,144,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Alexis-des-Monts",0,9,63,0,0,0,0,49,12,4,137,357
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Alexis-des-Monts",0,8,43,0,0,0,1,32,19,4,107,312
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Alexis-des-Monts",1,15,33,0,1,0,1,18,13,3,85,241
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",0,13,42,0,1,0,0,33,13,1,103,267
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",1,14,37,0,1,0,0,24,17,1,95,273
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",2,14,34,0,2,1,2,59,14,1,129,376
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Boniface",0,15,74,0,5,0,0,48,18,2,162,328
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Boniface",0,18,57,0,2,1,3,38,21,1,141,273
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Boniface",1,23,83,2,7,0,0,45,38,6,205,419
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Saint-Boniface",1,15,52,0,3,0,0,48,20,2,141,325
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 17","Saint-Boniface",1,23,58,1,3,0,1,34,19,4,144,316
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 18","Saint-Boniface",0,14,70,0,6,0,4,45,27,4,170,359
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 19","Saint-Boniface",0,16,38,0,3,1,1,28,30,3,120,281
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 20","Saint-Boniface",0,16,56,0,0,1,2,56,23,0,154,372
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 21","Saint-Boniface",0,8,29,0,1,1,0,49,18,1,107,266
