Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 1","Rimouski",79,11,35,0,0,48,5,3,181,430
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 2","Rimouski",69,14,77,0,1,38,3,5,207,436
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 3","Rimouski",70,12,66,2,0,46,2,0,198,411
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4","Rimouski",75,10,77,2,0,48,7,1,220,431
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 5","Rimouski",78,7,69,1,0,45,1,0,201,453
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 6","Rimouski",77,14,66,2,0,37,1,2,199,448
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 7","Rimouski",66,11,53,3,0,40,3,4,180,367
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 8","Rimouski",60,12,53,0,1,39,2,2,169,339
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 9","Rimouski",102,5,99,2,1,63,2,6,280,538
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 10","Rimouski",61,5,65,0,2,62,1,1,197,400
