Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Bernier,Sylvie Boucher,Gérard Briand,Caroline Desbiens,Manon Fortin,Richard Guertin,Jean-Claude Parent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 1","Baie-Sainte-Catherine",0,31,2,55,16,0,0,0,104,186
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 2","Baie-des-Rochers",0,16,4,32,8,0,1,1,62,153
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 3","Saint-Siméon",0,17,1,53,45,1,1,0,118,308
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 4","Saint-Siméon",1,16,3,35,17,2,0,2,76,258
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 5A","Port-au-Persil",1,23,5,58,18,1,0,0,106,256
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 5B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,1
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 6A","La Malbaie",1,23,4,49,46,1,0,1,125,257
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 6B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,9
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 7","La Malbaie",2,27,0,78,27,3,2,3,142,353
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 8","La Malbaie",1,37,6,78,46,3,0,1,172,294
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 9","Sagard",0,16,2,38,14,0,0,2,72,151
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 10","Clermont",2,21,1,54,21,3,2,4,108,277
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 11","Clermont",0,42,4,102,41,2,1,2,194,399
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 12A","Clermont",0,10,4,64,10,1,1,4,94,215
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 12B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17B,,,,,,,,,12
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 13","Clermont",0,16,7,78,28,0,0,4,133,307
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 14","Clermont",0,17,6,59,13,3,1,3,102,281
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 15","Clermont",1,45,8,99,26,2,1,1,183,361
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 16","Clermont",0,22,6,78,42,1,2,3,154,339
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 17A","Clermont",0,28,1,66,29,1,3,2,130,302
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 17B","Mobile poll/Bureau itinérant",1,11,0,20,26,1,1,7,67,18
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 18A","La Malbaie",2,17,3,77,24,4,0,2,129,333
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 18B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,14
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 19","La Malbaie",1,34,4,55,25,1,1,5,126,312
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 20","La Malbaie",0,18,8,65,16,4,0,2,113,369
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 21","La Malbaie",0,26,5,78,29,1,1,5,145,330
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 22","La Malbaie",1,9,6,86,30,2,1,0,135,313
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 23","La Malbaie",0,30,2,76,29,3,1,6,147,285
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 24","La Malbaie",0,13,3,46,27,2,0,0,91,254
