Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Beaulieu,Guy Bernatchez,Jay Cowboy,Dennis Drainville,Eric Hébert,Diane Lebouthillier,Jean-Pierre Pigeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 1","Gaspé",2,65,2,1,0,31,9,5,115,377
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 2","Gaspé",3,87,6,0,1,27,12,3,139,434
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 3","Gaspé",1,80,3,1,1,29,12,3,130,382
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 4","Gaspé",2,57,2,1,0,45,5,1,113,451
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 5","Gaspé",2,51,5,1,0,30,8,2,99,424
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 6","Gaspé",5,55,2,1,0,13,9,3,88,367
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 7","Gaspé",5,90,2,3,1,46,13,4,164,675
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 8","Gaspé",9,96,3,2,0,46,9,4,169,442
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 9","Gaspé",2,37,1,1,0,19,2,3,65,244
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 10","Grande-Vallée",0,80,2,3,1,34,10,4,134,259
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 11","Grande-Vallée",3,79,2,1,0,25,9,2,121,291
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 12","Grande-Vallée",2,54,1,2,0,54,15,1,129,373
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 13","Gaspé",13,69,2,5,1,34,9,5,138,285
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 14","Sainte-Madeleine-de-la-Rivière-Madeleine",4,51,3,2,0,52,14,4,130,271
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 15","Cloridorme",1,52,4,3,2,38,7,4,111,258
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 16","Cloridorme",3,39,2,1,1,30,7,2,85,208
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 17A","Cloridorme",1,12,0,0,0,17,1,1,32,86
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 17B","Cloridorme",Merged with No./Fusionné avec le n°10,,,,,,,,,148
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 18","Gaspé",10,85,11,5,0,58,19,5,193,547
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 19","Gaspé",16,70,2,15,0,92,14,2,211,523
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 20","Gaspé",7,42,5,2,1,39,9,0,105,365
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 21","Gaspé",5,59,1,6,1,37,8,1,118,244
