Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Deschênes,Mike Duggan,Greg Fergus,Sébastien Grenier,Josée Poirier Defoy,Joanie Riopel,Rowen Tanguay,Nicolas Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 1","Gatineau",0,15,136,2,20,66,1,47,0,287,455
24030,"Hull--Aylmer/Hull--Aylmer"," 2","Gatineau",0,3,97,1,21,49,2,20,1,194,445
24030,"Hull--Aylmer/Hull--Aylmer"," 3","Gatineau",0,13,96,1,11,30,1,23,0,175,435
24030,"Hull--Aylmer/Hull--Aylmer"," 4","Gatineau",0,17,111,0,9,26,1,15,4,183,360
24030,"Hull--Aylmer/Hull--Aylmer"," 5","Gatineau",0,10,85,0,7,25,1,20,1,149,398
24030,"Hull--Aylmer/Hull--Aylmer"," 6","Gatineau",0,9,119,1,5,29,2,16,5,186,352
24030,"Hull--Aylmer/Hull--Aylmer"," 7","Gatineau",1,17,90,1,6,36,1,28,1,181,346
24030,"Hull--Aylmer/Hull--Aylmer"," 8","Gatineau",0,14,57,0,7,22,1,9,3,113,350
24030,"Hull--Aylmer/Hull--Aylmer"," 9","Gatineau",0,8,63,0,9,21,2,13,1,117,301
24030,"Hull--Aylmer/Hull--Aylmer"," 10","Gatineau",1,17,99,2,8,25,3,22,2,179,508
24030,"Hull--Aylmer/Hull--Aylmer"," 11","Gatineau",0,8,48,0,0,10,2,14,2,84,283
24030,"Hull--Aylmer/Hull--Aylmer"," 12","Gatineau",0,14,96,1,23,33,3,30,4,204,385
24030,"Hull--Aylmer/Hull--Aylmer"," 13","Gatineau",0,11,63,0,10,17,0,24,2,127,397
24030,"Hull--Aylmer/Hull--Aylmer"," 14","Gatineau",0,18,118,1,24,45,0,25,3,234,430
24030,"Hull--Aylmer/Hull--Aylmer"," 15","Gatineau",0,7,123,0,10,44,0,26,1,211,392
24030,"Hull--Aylmer/Hull--Aylmer"," 16","Gatineau",0,12,67,0,10,26,0,20,1,136,368
24030,"Hull--Aylmer/Hull--Aylmer"," 17","Gatineau",0,9,110,0,22,40,0,14,0,195,404
24030,"Hull--Aylmer/Hull--Aylmer"," 18","Gatineau",0,10,56,2,10,24,1,23,2,128,422
24030,"Hull--Aylmer/Hull--Aylmer"," 19","Gatineau",0,15,92,0,16,28,1,31,3,186,401
24030,"Hull--Aylmer/Hull--Aylmer"," 20","Gatineau",0,13,83,1,12,23,4,29,3,168,406
24030,"Hull--Aylmer/Hull--Aylmer"," 21","Gatineau",0,11,90,1,22,44,1,28,2,199,376
24030,"Hull--Aylmer/Hull--Aylmer"," 22","Gatineau",2,14,108,0,15,34,3,29,1,206,490
24030,"Hull--Aylmer/Hull--Aylmer"," 23","Gatineau",0,9,65,0,11,38,1,22,2,148,336
24030,"Hull--Aylmer/Hull--Aylmer"," 24","Gatineau",0,10,65,1,8,20,2,24,3,133,414
24030,"Hull--Aylmer/Hull--Aylmer"," 25","Gatineau",0,13,74,0,8,21,3,24,1,144,413
24030,"Hull--Aylmer/Hull--Aylmer"," 26","Gatineau",1,15,62,0,4,23,2,14,2,123,397
24030,"Hull--Aylmer/Hull--Aylmer"," 27","Gatineau",1,8,88,2,11,25,2,23,1,161,486
24030,"Hull--Aylmer/Hull--Aylmer"," 28","Gatineau",0,6,65,0,7,16,0,24,3,121,363
24030,"Hull--Aylmer/Hull--Aylmer"," 29","Gatineau",1,4,119,0,8,33,2,19,3,189,338
24030,"Hull--Aylmer/Hull--Aylmer"," 30","Gatineau",0,13,96,1,11,47,1,15,5,189,366
24030,"Hull--Aylmer/Hull--Aylmer"," 31","Gatineau",1,25,112,1,17,40,3,26,5,230,479
24030,"Hull--Aylmer/Hull--Aylmer"," 32","Gatineau",0,19,108,1,13,33,2,21,5,202,359
24030,"Hull--Aylmer/Hull--Aylmer"," 33","Gatineau",2,15,94,1,7,25,3,27,5,179,387
24030,"Hull--Aylmer/Hull--Aylmer"," 34","Gatineau",1,14,95,0,8,22,1,25,4,170,431
24030,"Hull--Aylmer/Hull--Aylmer"," 35","Gatineau",1,15,91,0,11,36,1,20,4,179,485
24030,"Hull--Aylmer/Hull--Aylmer"," 36","Gatineau",0,15,101,0,8,39,2,28,1,194,318
