Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Bourgeois,Jean-Martin Masse,Érica Poirier,Sylvain Prescott,Paul Savard,Julienne Soumaoro,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Joliette/Joliette"," 1","Manawan",74,4,0,0,1,8,2,0,89,426
24031,"Joliette/Joliette"," 2","Manawan",57,3,1,0,0,9,5,0,75,416
24031,"Joliette/Joliette"," 3","Manawan",62,4,1,0,0,11,10,0,88,500
24031,"Joliette/Joliette"," 4","Saint-Michel-des-Saints",21,9,1,0,1,0,79,4,115,318
24031,"Joliette/Joliette"," 5","Saint-Michel-des-Saints",24,14,3,1,1,4,78,0,125,301
24031,"Joliette/Joliette"," 6","Saint-Michel-des-Saints",36,10,1,1,0,3,78,9,138,327
24031,"Joliette/Joliette"," 7A","Saint-Michel-des-Saints",24,12,4,0,0,4,46,1,91,237
24031,"Joliette/Joliette"," 7B","Mobile poll/Bureau itinérant",32,5,0,0,0,0,7,1,45,50
24031,"Joliette/Joliette"," 8A","Saint-Michel-des-Saints",15,16,1,1,3,3,58,1,98,214
24031,"Joliette/Joliette"," 8B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7B,,,,,,,,,18
24031,"Joliette/Joliette"," 9","Saint-Michel-des-Saints",25,7,2,6,2,5,70,1,118,324
24031,"Joliette/Joliette"," 10","Saint-Michel-des-Saints",28,6,4,0,2,10,76,2,128,306
24031,"Joliette/Joliette"," 11","Saint-Zénon",55,27,9,1,1,2,89,2,186,359
24031,"Joliette/Joliette"," 12","Saint-Zénon",53,26,5,5,2,5,105,2,203,348
24031,"Joliette/Joliette"," 13","Saint-Zénon",32,17,3,5,2,8,80,4,151,301
24031,"Joliette/Joliette"," 14","Sainte-Émélie-de-l'Énergie",31,13,8,2,4,7,86,3,154,301
24031,"Joliette/Joliette"," 15","Sainte-Émélie-de-l'Énergie",46,12,5,0,2,11,133,4,213,349
24031,"Joliette/Joliette"," 16","Sainte-Émélie-de-l'Énergie",50,15,3,1,2,6,136,2,215,397
24031,"Joliette/Joliette"," 17","Sainte-Émélie-de-l'Énergie",46,16,15,3,2,14,147,6,249,404
24031,"Joliette/Joliette"," 18","Saint-Donat",50,21,12,3,2,5,70,3,166,387
24031,"Joliette/Joliette"," 19","Saint-Donat",33,1,6,1,0,3,74,3,121,323
24031,"Joliette/Joliette"," 20","Saint-Donat",23,10,2,0,1,4,58,2,100,312
24031,"Joliette/Joliette"," 21","Saint-Donat",24,3,5,4,0,13,60,0,109,331
24031,"Joliette/Joliette"," 22","Saint-Donat",23,6,8,2,0,3,45,6,93,305
24031,"Joliette/Joliette"," 23","Saint-Donat",26,6,5,1,3,5,82,3,131,360
24031,"Joliette/Joliette"," 24","Saint-Côme",27,29,5,3,2,5,102,9,182,414
24031,"Joliette/Joliette"," 25","Saint-Côme",25,19,4,1,1,1,68,3,122,301
24031,"Joliette/Joliette"," 26","Saint-Côme",47,15,8,2,0,4,134,1,211,496
24031,"Joliette/Joliette"," 27","Saint-Côme",32,27,7,0,0,4,109,3,182,399
24031,"Joliette/Joliette"," 28","Saint-Côme",39,24,5,1,0,7,113,4,193,424
24031,"Joliette/Joliette"," 29","Sainte-Béatrix",37,22,6,0,0,9,112,5,191,345
24031,"Joliette/Joliette"," 30","Sainte-Béatrix",49,10,11,1,0,10,122,5,208,353
24031,"Joliette/Joliette"," 31","Sainte-Béatrix",28,18,6,1,0,2,110,2,167,341
24031,"Joliette/Joliette"," 32","Sainte-Béatrix",25,10,7,1,1,11,82,1,138,331
24031,"Joliette/Joliette"," 33","Sainte-Béatrix",37,7,12,0,3,7,105,2,173,341
24031,"Joliette/Joliette"," 34","Sainte-Mélanie",22,14,13,0,1,6,99,1,156,336
24031,"Joliette/Joliette"," 35","Sainte-Mélanie",39,15,6,2,1,9,119,3,194,375
24031,"Joliette/Joliette"," 36","Sainte-Mélanie",20,5,9,2,1,9,138,1,185,382
24031,"Joliette/Joliette"," 37","Sainte-Mélanie",32,22,7,1,2,11,102,5,182,426
24031,"Joliette/Joliette"," 38","Sainte-Mélanie",22,14,7,3,1,10,98,3,158,363
24031,"Joliette/Joliette"," 39","Sainte-Mélanie",13,14,6,0,1,8,101,2,145,336
24031,"Joliette/Joliette"," 40","Sainte-Mélanie",11,16,7,0,3,10,97,4,148,328
24031,"Joliette/Joliette"," 41","Notre-Dame-de-la-Merci",32,9,7,0,2,4,117,0,171,302
24031,"Joliette/Joliette"," 42","Notre-Dame-de-la-Merci",27,12,5,1,1,4,85,1,136,243
24031,"Joliette/Joliette"," 43","Notre-Dame-de-la-Merci",53,14,3,0,2,11,102,4,189,313
24031,"Joliette/Joliette"," 44","Saint-Donat",35,10,1,1,1,1,51,3,103,347
24031,"Joliette/Joliette"," 45","Saint-Donat",35,8,5,1,1,8,63,6,127,369
24031,"Joliette/Joliette"," 46","Saint-Donat",21,8,7,0,0,5,60,0,101,302
24031,"Joliette/Joliette"," 47","Saint-Donat",32,15,1,1,1,6,71,1,128,339
24031,"Joliette/Joliette"," 48","Saint-Donat",30,11,4,0,1,4,58,2,110,273
24031,"Joliette/Joliette"," 49","Saint-Alphonse-Rodriguez",18,8,4,0,1,2,74,1,108,328
24031,"Joliette/Joliette"," 50","Saint-Alphonse-Rodriguez",26,10,6,0,2,4,98,2,148,389
24031,"Joliette/Joliette"," 51","Saint-Alphonse-Rodriguez",38,2,5,1,1,3,81,2,133,358
24031,"Joliette/Joliette"," 52","Saint-Alphonse-Rodriguez",43,9,6,2,1,10,93,2,166,375
24031,"Joliette/Joliette"," 53","Saint-Alphonse-Rodriguez",31,9,11,1,2,10,112,4,180,401
24031,"Joliette/Joliette"," 54","Saint-Alphonse-Rodriguez",31,8,6,1,1,5,87,1,140,271
24031,"Joliette/Joliette"," 55","Saint-Alphonse-Rodriguez",10,10,4,0,1,9,88,2,124,356
24031,"Joliette/Joliette"," 56","Saint-Alphonse-Rodriguez",36,10,3,0,2,6,80,2,139,258
24031,"Joliette/Joliette"," 57","Notre-Dame-de-Lourdes",32,28,8,0,0,7,128,3,206,447
24031,"Joliette/Joliette"," 58","Notre-Dame-de-Lourdes",25,15,13,2,4,9,107,2,177,390
24031,"Joliette/Joliette"," 59","Notre-Dame-de-Lourdes",32,17,7,0,4,11,120,0,191,410
24031,"Joliette/Joliette"," 60","Notre-Dame-de-Lourdes",32,24,12,2,2,14,136,2,224,446
24031,"Joliette/Joliette"," 61","Lourdes-de-Joliette",22,14,5,1,1,10,96,2,151,356
24031,"Joliette/Joliette"," 62","Notre-Dame-de-Lourdes",24,18,6,0,1,10,135,7,201,444
24031,"Joliette/Joliette"," 63","Sainte-Marcelline-de-Kildare",47,6,5,1,2,6,99,4,170,351
24031,"Joliette/Joliette"," 64","Sainte-Marcelline-de-Kildare",46,10,7,3,0,12,82,5,165,318
24031,"Joliette/Joliette"," 65","Sainte-Marcelline-de-Kildare",27,6,15,0,0,8,92,3,151,313
24031,"Joliette/Joliette"," 66","Sainte-Marcelline-de-Kildare",56,18,8,1,1,7,105,4,200,368
24031,"Joliette/Joliette"," 67","Chertsey",29,9,7,2,5,6,106,2,166,436
24031,"Joliette/Joliette"," 68","Chertsey",30,8,3,5,1,5,58,4,114,361
24031,"Joliette/Joliette"," 69","Chertsey",13,12,1,0,0,2,68,0,96,286
24031,"Joliette/Joliette"," 70","Chertsey",26,15,4,2,2,1,86,4,140,384
24031,"Joliette/Joliette"," 71","Chertsey",20,5,9,1,1,6,62,1,105,346
24031,"Joliette/Joliette"," 72","Chertsey",25,16,3,0,0,1,89,0,134,404
24031,"Joliette/Joliette"," 73","Notre-Dame-des-Prairies",27,26,9,0,0,11,85,6,164,384
24031,"Joliette/Joliette"," 74","Notre-Dame-des-Prairies",43,22,10,3,2,18,146,3,247,539
24031,"Joliette/Joliette"," 75","Notre-Dame-des-Prairies",33,18,7,0,1,8,101,2,170,362
24031,"Joliette/Joliette"," 76","Notre-Dame-des-Prairies",40,16,12,5,3,13,115,2,206,434
24031,"Joliette/Joliette"," 77","Notre-Dame-des-Prairies",51,20,14,2,2,14,182,2,287,569
24031,"Joliette/Joliette"," 78","Notre-Dame-des-Prairies",21,9,11,1,0,11,100,1,154,320
24031,"Joliette/Joliette"," 79","Notre-Dame-des-Prairies",46,12,8,2,0,9,95,6,178,391
24031,"Joliette/Joliette"," 80","Notre-Dame-des-Prairies",46,8,8,0,2,8,117,4,193,403
24031,"Joliette/Joliette"," 81","Notre-Dame-des-Prairies",36,11,6,3,1,12,88,4,161,395
24031,"Joliette/Joliette"," 82","Saint-Charles-Borromée",32,20,12,0,1,12,89,7,173,499
24031,"Joliette/Joliette"," 83A","Saint-Charles-Borromée",41,18,5,4,0,12,103,2,185,409
24031,"Joliette/Joliette"," 83B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,18
24031,"Joliette/Joliette"," 84","Saint-Charles-Borromée",33,21,5,2,1,2,101,3,168,370
24031,"Joliette/Joliette"," 85","Saint-Charles-Borromée",52,17,10,2,1,18,132,0,232,493
24031,"Joliette/Joliette"," 86","Saint-Charles-Borromée",Merged with No./Fusionné avec le n°87,,,,,,,,,181
24031,"Joliette/Joliette"," 87","Saint-Charles-Borromée",31,14,4,1,2,0,117,6,175,280
24031,"Joliette/Joliette"," 88","Saint-Charles-Borromée",28,10,3,1,1,4,92,4,143,375
24031,"Joliette/Joliette"," 89","Saint-Ambroise-de-Kildare",47,17,2,0,3,13,192,1,275,540
24031,"Joliette/Joliette"," 90","Saint-Ambroise-de-Kildare",19,20,3,1,2,2,106,1,154,374
24031,"Joliette/Joliette"," 91","Saint-Ambroise-de-Kildare",35,16,6,0,2,4,152,4,219,410
24031,"Joliette/Joliette"," 92","Saint-Ambroise-de-Kildare",40,12,8,2,2,10,140,6,220,420
24031,"Joliette/Joliette"," 93","Notre-Dame-des-Prairies",34,16,7,4,2,12,108,2,185,531
24031,"Joliette/Joliette"," 94","Notre-Dame-des-Prairies",16,5,9,0,0,7,76,0,113,327
24031,"Joliette/Joliette"," 95","Notre-Dame-des-Prairies",28,9,11,2,0,8,97,2,157,406
24031,"Joliette/Joliette"," 96","Notre-Dame-des-Prairies",29,7,4,0,0,8,83,1,132,364
24031,"Joliette/Joliette"," 97","Notre-Dame-des-Prairies",11,6,3,0,0,6,78,0,104,295
24031,"Joliette/Joliette"," 98","Notre-Dame-des-Prairies",24,8,11,2,0,4,91,3,143,362
24031,"Joliette/Joliette"," 99","Notre-Dame-des-Prairies",55,8,1,1,1,7,98,6,177,391
24031,"Joliette/Joliette"," 100","Notre-Dame-des-Prairies",22,15,7,0,0,16,95,1,156,407
24031,"Joliette/Joliette"," 101","Notre-Dame-des-Prairies",26,16,11,2,2,11,82,10,160,403
