Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Robert Coutu,Franco Fiori,Jacinthe Lafrenaye,Randy Manseau,Ève Péclet,Jonathan Plamondon,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",135,24,7,0,2,19,30,1,0,218,409
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",138,24,10,1,1,19,62,0,0,255,436
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",112,7,7,1,0,23,48,0,0,198,341
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",133,15,6,3,0,22,59,0,5,243,406
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",98,14,6,1,0,22,55,0,5,201,346
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",126,10,3,2,2,23,35,1,2,204,408
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7","Montréal",140,8,3,0,0,27,54,0,4,236,424
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",107,22,5,0,3,13,57,0,1,208,452
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",83,9,6,0,3,18,30,0,0,149,333
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",68,16,11,0,4,20,68,0,4,191,379
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",95,21,4,1,0,27,69,0,6,223,465
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",102,14,3,0,0,11,46,0,3,179,363
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13","Montréal",124,16,8,1,1,22,64,1,5,242,520
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",107,21,4,0,0,32,81,0,1,246,499
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15","Montréal",100,14,5,1,3,20,84,0,1,228,423
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",93,26,10,0,3,20,90,0,4,246,463
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",99,14,7,0,1,23,42,1,2,189,353
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",100,27,8,0,0,37,69,0,3,244,454
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19","Montréal",84,11,2,0,2,19,51,0,3,172,343
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",84,17,8,0,3,27,53,0,3,195,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21A","Montréal",65,10,9,0,1,15,34,0,2,136,274
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,28
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",69,6,2,0,1,25,82,0,3,188,337
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",89,23,7,2,1,28,39,0,11,200,412
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",66,3,7,1,0,7,34,0,1,119,347
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",108,14,7,1,5,36,84,0,7,262,436
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",74,10,3,1,1,24,49,1,4,167,498
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",87,12,5,0,2,21,32,0,2,161,399
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",100,10,4,0,3,22,50,0,2,191,412
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",76,14,10,0,2,19,24,0,3,148,358
