Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Victoria Hernandez,Barbara Joannette,Isabelle Lapointe,Jean-Claude Poissant,Alain Therrien,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 1","La Prairie",1,14,8,27,128,71,2,2,253,534
24034,"La Prairie/La Prairie"," 2","La Prairie",0,18,15,10,100,94,3,4,244,555
24034,"La Prairie/La Prairie"," 3","La Prairie",0,11,6,4,70,51,0,4,146,406
24034,"La Prairie/La Prairie"," 4","La Prairie",0,36,28,22,111,106,1,0,304,540
24034,"La Prairie/La Prairie"," 5","La Prairie",1,29,17,16,127,102,4,2,298,507
24034,"La Prairie/La Prairie"," 6","La Prairie",0,15,9,11,50,57,1,4,147,366
24034,"La Prairie/La Prairie"," 7","La Prairie",0,17,17,10,96,53,3,0,196,395
24034,"La Prairie/La Prairie"," 8","La Prairie",1,25,15,14,62,90,2,7,216,559
24034,"La Prairie/La Prairie"," 9","La Prairie",0,27,10,13,72,90,1,2,215,415
24034,"La Prairie/La Prairie"," 10","La Prairie",0,11,10,23,72,81,2,2,201,495
24034,"La Prairie/La Prairie"," 11","La Prairie",0,15,8,12,67,50,1,0,153,331
24034,"La Prairie/La Prairie"," 12","La Prairie",0,19,10,5,71,59,3,0,167,339
24034,"La Prairie/La Prairie"," 13","La Prairie",0,12,10,22,77,72,1,3,197,455
24034,"La Prairie/La Prairie"," 14","La Prairie",1,15,12,13,53,75,3,1,173,367
24034,"La Prairie/La Prairie"," 15","La Prairie",1,27,15,13,55,115,2,10,238,578
24034,"La Prairie/La Prairie"," 16","La Prairie",0,18,14,10,58,54,3,1,158,382
24034,"La Prairie/La Prairie"," 17","La Prairie",0,10,6,10,58,58,2,3,147,367
24034,"La Prairie/La Prairie"," 18","La Prairie",2,19,16,19,73,80,1,1,211,545
24034,"La Prairie/La Prairie"," 19","La Prairie",0,12,12,16,73,91,2,5,211,522
24034,"La Prairie/La Prairie"," 20","La Prairie",0,15,13,17,56,98,4,4,207,538
24034,"La Prairie/La Prairie"," 21","La Prairie",0,20,13,15,27,117,3,2,197,486
24034,"La Prairie/La Prairie"," 22","La Prairie",2,29,15,17,37,49,1,3,153,415
24034,"La Prairie/La Prairie"," 23","La Prairie",0,16,11,14,55,63,2,3,164,391
24034,"La Prairie/La Prairie"," 24","La Prairie",0,19,13,24,119,75,4,1,255,437
