Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Danny Boudreault,Alexis Brunelle-Duceppe,Jean-Simon Fortin,Jocelyn Fradette,Julie Gagnon-Bond,Richard Hébert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 1","Sainte-Élisabeth-de-Proulx",0,32,1,5,3,26,0,67,146
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",2,75,3,54,4,47,5,190,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 3","Saint-Thomas-Didyme",1,81,6,21,2,24,2,137,251
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 4","Saint-Ludger-de-Milot",1,89,4,58,1,30,3,186,330
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 5","Saint-Ludger-de-Milot",2,64,9,50,1,33,1,160,266
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 6","Saint-Stanislas",2,62,4,53,6,34,5,166,297
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 7","Notre-Dame-de-Lorette",0,29,1,13,1,25,1,70,137
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 8","Saint-Eugène-d'Argentenay",0,95,10,41,0,61,2,209,407
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 9","Girardville",0,40,3,40,3,47,0,133,247
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 10","Girardville",0,45,5,37,1,58,2,148,271
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 11","Girardville",2,55,8,45,3,92,1,206,320
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 12","Sainte-Jeanne-d'Arc",2,79,7,31,3,42,2,166,314
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 13","Sainte-Jeanne-d'Arc",1,47,12,35,1,57,0,153,294
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 14","Sainte-Jeanne-d'Arc",1,49,3,54,3,47,4,161,285
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 15","Dolbeau-Mistassini",2,59,8,34,2,74,0,179,416
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 16","Dolbeau-Mistassini",1,82,7,33,5,32,3,163,406
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 17","Dolbeau-Mistassini",5,37,4,19,2,47,0,114,377
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 18","Dolbeau-Mistassini",0,45,4,33,1,50,1,134,332
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 19","Dolbeau-Mistassini",3,46,10,25,0,47,0,131,337
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 20","Dolbeau-Mistassini",1,62,10,19,2,52,0,146,367
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 21","Dolbeau-Mistassini",0,48,3,29,0,52,2,134,341
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 22","Dolbeau-Mistassini",1,92,6,39,0,56,3,197,459
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 23","Dolbeau-Mistassini",1,40,3,19,1,49,1,114,360
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 24","Dolbeau-Mistassini",1,46,10,21,1,63,3,145,371
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 25","Dolbeau-Mistassini",1,63,4,33,1,76,6,184,418
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 26","Albanel",1,46,3,27,1,41,4,123,297
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 27","Albanel",5,88,10,41,5,43,3,195,403
