Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Henri Cousineau,Kalden Dhatsenpa,Cathy Lepage,Casandra Poitras,Stéphane Robichaud,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 1","Longueuil",3,22,113,13,11,43,5,210,421
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 2","Longueuil",0,20,67,14,13,50,3,167,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 3","Longueuil",3,13,45,11,11,58,3,144,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 4","Longueuil",1,15,55,9,14,46,0,140,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 5","Longueuil",6,6,78,11,15,86,3,205,461
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 6","Longueuil",1,11,65,4,11,75,1,168,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 7","Longueuil",4,11,77,12,21,67,13,205,352
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 8","Longueuil",2,16,86,3,1,55,5,168,387
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 9","Longueuil",0,19,76,6,12,65,5,183,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 10","Longueuil",2,15,61,7,7,47,4,143,322
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 11","Longueuil",2,17,90,9,16,45,6,185,447
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 12","Longueuil",2,11,60,3,6,31,2,115,309
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 13","Longueuil",2,14,80,5,12,68,4,185,436
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 14","Longueuil",4,26,94,12,17,76,0,229,451
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 15","Longueuil",0,19,50,8,10,49,5,141,370
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 16","Longueuil",3,17,70,8,10,52,6,166,411
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 17","Longueuil",1,4,40,5,12,38,3,103,318
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 18","Longueuil",2,6,35,7,6,30,3,89,356
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 19","Longueuil",2,23,57,13,10,55,9,169,497
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 20","Longueuil",0,19,57,7,5,43,3,134,352
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 21","Longueuil",1,24,72,13,15,64,4,193,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 22","Longueuil",2,18,84,13,14,49,9,189,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 23","Longueuil",2,17,58,6,7,79,3,172,492
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 24","Longueuil",1,29,76,18,6,75,2,207,424
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 25","Longueuil",0,23,60,13,9,63,1,169,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 26","Longueuil",2,12,43,7,11,40,4,119,440
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 27","Longueuil",1,20,78,17,5,69,2,192,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 28","Longueuil",1,27,52,16,8,50,1,155,387
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 29","Longueuil",1,20,42,14,16,82,0,175,517
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 30","Longueuil",1,5,25,5,11,75,0,122,466
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 31","Longueuil",3,20,31,9,9,43,0,115,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 32","Longueuil",1,12,60,12,9,66,3,163,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 33","Longueuil",2,10,46,13,7,53,7,138,436
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 34","Longueuil",0,19,60,12,7,54,2,154,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 35","Longueuil",0,21,65,4,7,47,3,147,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 36","Longueuil",1,13,44,3,6,68,0,135,337
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 37","Longueuil",0,11,86,18,7,66,7,195,467
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 38","Longueuil",3,15,50,5,5,56,6,140,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 39","Longueuil",3,22,68,14,18,97,4,226,481
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 40","Longueuil",2,24,123,10,12,106,5,282,679
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 41","Longueuil",0,16,55,3,6,57,5,142,371
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 42","Longueuil",1,21,86,14,16,73,1,212,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 43","Longueuil",1,22,67,4,12,71,6,183,465
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 44","Longueuil",0,13,53,12,14,70,6,168,348
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 45","Longueuil",4,16,59,20,9,75,3,186,376
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 46","Longueuil",2,16,51,5,8,54,4,140,370
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 47","Longueuil",4,15,73,16,14,41,7,170,457
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 48","Longueuil",2,21,80,12,19,56,0,190,448
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 49","Longueuil",1,17,59,5,7,36,4,129,346
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 50","Longueuil",1,23,69,11,7,38,0,149,373
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 51","Longueuil",1,32,54,11,10,39,4,151,379
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 52","Longueuil",3,24,76,18,13,48,3,185,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 53","Longueuil",1,18,57,6,15,38,2,137,379
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 54","Longueuil",3,28,61,16,11,39,2,160,355
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 55","Longueuil",1,20,70,10,9,66,5,181,431
