Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Ellen Comeau,Éric Ferland,Pierre-Luc Filion,Réjean Hébert,Pierre Nantel,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 1","Longueuil",17,2,7,0,56,11,57,4,154,309
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 2","Longueuil",30,1,14,1,104,22,54,1,227,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 3","Longueuil",15,1,8,0,124,6,93,3,250,505
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 4","Longueuil",13,0,8,0,94,22,64,1,202,372
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 5","Longueuil",8,1,18,1,101,32,126,4,291,559
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 6","Longueuil",5,0,5,0,33,1,32,2,78,206
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 7","Longueuil",17,0,21,0,143,26,72,4,283,506
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 8","Longueuil",18,1,13,1,90,21,66,1,211,326
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 9","Longueuil",14,5,14,0,86,20,82,1,222,440
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 10","Longueuil",13,0,13,0,88,23,59,2,198,351
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 11","Longueuil",6,0,25,0,60,23,44,2,160,348
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 12","Longueuil",14,1,21,0,65,24,62,1,188,358
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 13","Longueuil",15,0,23,0,57,30,89,2,216,481
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 14","Longueuil",9,5,18,0,91,37,109,4,273,522
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 15","Longueuil",14,3,12,0,60,23,60,2,174,362
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 16","Longueuil",16,2,27,0,53,21,135,10,264,475
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 17","Longueuil",14,2,21,1,67,25,83,5,218,465
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 18","Longueuil",11,1,34,0,52,17,73,1,189,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 19","Longueuil",6,0,30,2,55,27,120,5,245,454
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 20","Longueuil",21,3,24,1,55,29,125,4,262,543
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 21A","Longueuil",6,0,13,0,40,15,43,0,117,307
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 21B","Longueuil",8,1,18,0,45,11,58,3,144,303
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 22","Longueuil",14,1,27,1,66,37,76,1,223,478
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 23","Longueuil",14,1,34,2,68,19,91,4,233,504
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 24","Longueuil",12,2,25,0,82,32,84,2,239,530
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 25","Longueuil",16,0,17,0,97,31,64,0,225,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 26","Longueuil",9,0,21,0,79,38,87,3,237,464
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 27","Longueuil",5,2,21,0,92,40,67,1,228,435
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 28","Longueuil",16,1,21,0,109,28,87,1,263,518
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 29","Longueuil",11,4,15,0,112,41,60,0,243,472
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 30","Longueuil",15,2,20,0,71,15,43,0,166,321
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 31","Longueuil",9,0,35,0,81,32,37,3,197,362
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 32","Longueuil",6,1,19,0,51,29,66,3,175,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 33","Longueuil",16,0,12,0,56,17,83,0,184,457
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 34","Longueuil",14,1,12,1,58,23,75,3,187,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 35","Longueuil",14,1,16,0,41,19,62,2,155,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 36","Longueuil",15,3,18,1,69,24,76,3,209,475
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 37","Longueuil",1,2,18,1,62,15,71,5,175,366
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 38","Longueuil",9,2,10,2,96,15,55,1,190,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 39","Longueuil",6,1,8,0,83,18,50,4,170,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 40","Longueuil",7,2,10,0,84,37,103,4,247,472
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 41","Longueuil",17,1,26,0,98,64,69,2,277,512
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 42","Longueuil",14,1,14,1,82,21,90,2,225,549
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 43","Longueuil",4,2,19,2,66,23,51,1,168,361
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 44","Longueuil",2,3,18,0,55,11,42,1,132,402
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 45","Longueuil",3,3,27,1,77,22,57,1,191,351
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 46","Longueuil",11,1,13,2,71,28,46,0,172,386
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 47","Longueuil",11,4,25,1,77,37,84,6,245,490
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 48","Longueuil",10,1,23,1,50,12,43,1,141,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 49","Longueuil",14,0,22,0,50,10,63,5,164,364
