Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 1","Québec",2,0,9,57,54,10,47,5,184,355
24044,"Louis-Hébert/Louis-Hébert"," 2","Québec",6,1,8,68,30,15,35,4,167,409
24044,"Louis-Hébert/Louis-Hébert"," 3","Québec",8,0,8,60,58,6,43,3,186,382
24044,"Louis-Hébert/Louis-Hébert"," 4","Québec",3,0,8,60,46,20,32,2,171,367
24044,"Louis-Hébert/Louis-Hébert"," 5","Québec",3,0,7,54,52,20,58,2,196,382
24044,"Louis-Hébert/Louis-Hébert"," 6","Québec",2,0,6,72,47,7,43,4,181,355
24044,"Louis-Hébert/Louis-Hébert"," 7","Québec",0,1,16,6,21,49,45,1,139,353
24044,"Louis-Hébert/Louis-Hébert"," 8","Québec",3,0,14,23,33,19,61,3,156,406
24044,"Louis-Hébert/Louis-Hébert"," 9","Québec",6,3,13,21,73,47,91,4,258,646
24044,"Louis-Hébert/Louis-Hébert"," 10","Québec",6,1,4,18,57,23,83,2,194,394
24044,"Louis-Hébert/Louis-Hébert"," 11","Québec",0,1,19,14,46,20,73,2,175,352
24044,"Louis-Hébert/Louis-Hébert"," 12","Québec",3,0,16,16,44,42,55,3,179,429
24044,"Louis-Hébert/Louis-Hébert"," 13","Québec",3,0,9,10,49,23,65,1,160,326
24044,"Louis-Hébert/Louis-Hébert"," 14","Québec",7,1,15,10,29,77,63,2,204,472
24044,"Louis-Hébert/Louis-Hébert"," 15","Québec",0,2,12,10,31,56,43,1,155,329
24044,"Louis-Hébert/Louis-Hébert"," 16","Québec",5,1,24,19,47,35,68,3,202,430
24044,"Louis-Hébert/Louis-Hébert"," 17","Québec",2,0,9,12,23,34,58,0,138,333
24044,"Louis-Hébert/Louis-Hébert"," 18","Québec",1,0,5,11,50,23,52,3,145,311
24044,"Louis-Hébert/Louis-Hébert"," 19","Québec",0,0,18,7,86,28,108,3,250,410
24044,"Louis-Hébert/Louis-Hébert"," 20","Québec",1,1,16,32,79,18,130,2,279,487
24044,"Louis-Hébert/Louis-Hébert"," 21","Québec",4,0,15,20,48,20,76,2,185,428
24044,"Louis-Hébert/Louis-Hébert"," 22","Québec",3,3,9,37,54,9,72,1,188,324
24044,"Louis-Hébert/Louis-Hébert"," 23","Québec",0,1,13,38,69,17,131,1,270,477
24044,"Louis-Hébert/Louis-Hébert"," 24","Québec",4,1,11,47,59,21,111,1,255,484
24044,"Louis-Hébert/Louis-Hébert"," 25","Québec",3,2,8,44,43,18,110,1,229,415
24044,"Louis-Hébert/Louis-Hébert"," 26","Québec",1,2,13,41,38,28,129,1,253,495
24044,"Louis-Hébert/Louis-Hébert"," 27","Québec",1,1,14,33,43,19,116,1,228,433
24044,"Louis-Hébert/Louis-Hébert"," 28","Québec",4,0,4,30,48,12,95,1,194,417
24044,"Louis-Hébert/Louis-Hébert"," 29","Québec",2,1,13,22,56,20,103,0,217,435
24044,"Louis-Hébert/Louis-Hébert"," 30","Québec",1,1,17,21,42,18,95,3,198,392
24044,"Louis-Hébert/Louis-Hébert"," 31","Québec",3,0,16,15,49,27,63,0,173,349
24044,"Louis-Hébert/Louis-Hébert"," 32","Québec",2,0,3,5,31,7,53,1,102,469
24044,"Louis-Hébert/Louis-Hébert"," 33","Québec",1,1,15,16,64,23,85,0,205,360
24044,"Louis-Hébert/Louis-Hébert"," 34","Québec",0,0,9,14,26,10,60,4,123,373
24044,"Louis-Hébert/Louis-Hébert"," 35","Québec",2,0,7,21,45,5,72,0,152,365
24044,"Louis-Hébert/Louis-Hébert"," 36","Québec",2,1,12,10,29,30,65,0,149,319
24044,"Louis-Hébert/Louis-Hébert"," 37","Québec",4,2,5,22,47,15,49,2,146,299
24044,"Louis-Hébert/Louis-Hébert"," 38","Québec",4,2,11,32,81,16,76,4,226,431
24044,"Louis-Hébert/Louis-Hébert"," 39","Québec",0,4,10,59,96,25,144,4,342,574
24044,"Louis-Hébert/Louis-Hébert"," 40","Québec",6,3,8,23,55,19,107,3,224,377
24044,"Louis-Hébert/Louis-Hébert"," 41","Québec",2,0,2,20,36,7,71,1,139,329
24044,"Louis-Hébert/Louis-Hébert"," 42","Québec",4,0,8,34,42,8,74,0,170,334
24044,"Louis-Hébert/Louis-Hébert"," 43","Québec",2,1,5,40,69,25,112,18,272,514
24044,"Louis-Hébert/Louis-Hébert"," 44","Québec",8,0,4,19,62,6,66,4,169,368
24044,"Louis-Hébert/Louis-Hébert"," 45","Québec",3,1,11,18,39,17,61,2,152,330
24044,"Louis-Hébert/Louis-Hébert"," 46","Québec",2,2,14,21,41,33,95,3,211,474
24044,"Louis-Hébert/Louis-Hébert"," 47","Québec",3,1,6,23,56,17,88,0,194,477
24044,"Louis-Hébert/Louis-Hébert"," 48","Québec",6,1,5,26,42,19,84,2,185,547
24044,"Louis-Hébert/Louis-Hébert"," 49","Québec",3,2,15,20,28,19,46,0,133,363
24044,"Louis-Hébert/Louis-Hébert"," 50","Québec",0,4,9,16,30,22,47,0,128,380
24044,"Louis-Hébert/Louis-Hébert"," 51","Québec",1,3,5,13,29,31,69,1,152,390
24044,"Louis-Hébert/Louis-Hébert"," 52","Québec",6,0,7,31,33,23,95,3,198,488
24044,"Louis-Hébert/Louis-Hébert"," 53","Québec",1,2,11,38,75,21,72,2,222,576
24044,"Louis-Hébert/Louis-Hébert"," 54","Québec",1,2,4,18,40,9,42,2,118,506
24044,"Louis-Hébert/Louis-Hébert"," 55","Québec",6,0,10,22,33,18,60,0,149,452
24044,"Louis-Hébert/Louis-Hébert"," 56","Québec",2,2,9,30,38,18,65,1,165,371
24044,"Louis-Hébert/Louis-Hébert"," 57","Québec",7,4,12,29,48,29,70,3,202,427
24044,"Louis-Hébert/Louis-Hébert"," 58","Québec",6,0,6,29,34,34,60,4,173,438
24044,"Louis-Hébert/Louis-Hébert"," 59","Québec",5,0,7,36,62,23,78,5,216,411
24044,"Louis-Hébert/Louis-Hébert"," 60","Québec",6,2,10,18,69,14,87,3,209,418
24044,"Louis-Hébert/Louis-Hébert"," 61","Québec",3,0,11,27,47,23,83,4,198,361
24044,"Louis-Hébert/Louis-Hébert"," 62","Québec",2,4,8,29,57,19,66,3,188,388
24044,"Louis-Hébert/Louis-Hébert"," 63","Québec",3,1,2,22,34,23,104,2,191,443
24044,"Louis-Hébert/Louis-Hébert"," 64","Québec",1,1,6,18,41,25,54,8,154,368
24044,"Louis-Hébert/Louis-Hébert"," 65","Québec",6,1,6,34,40,41,63,5,196,518
24044,"Louis-Hébert/Louis-Hébert"," 66","Québec",7,5,15,38,54,40,65,1,225,545
24044,"Louis-Hébert/Louis-Hébert"," 67","Québec",3,2,11,25,50,31,44,1,167,333
24044,"Louis-Hébert/Louis-Hébert"," 68A","Québec",0,0,14,9,46,23,55,0,147,397
24044,"Louis-Hébert/Louis-Hébert"," 68B","Québec",4,0,7,11,52,23,60,1,158,404
24044,"Louis-Hébert/Louis-Hébert"," 69","Québec",6,2,5,20,32,17,66,0,148,328
24044,"Louis-Hébert/Louis-Hébert"," 70","Québec",2,1,8,17,50,9,66,2,155,385
24044,"Louis-Hébert/Louis-Hébert"," 71","Québec",4,0,9,46,49,15,81,3,207,337
24044,"Louis-Hébert/Louis-Hébert"," 72","Québec",3,0,3,35,28,4,41,0,114,232
24044,"Louis-Hébert/Louis-Hébert"," 73","Québec",2,0,3,26,49,12,71,1,164,378
24044,"Louis-Hébert/Louis-Hébert"," 74A","Québec",1,1,18,24,35,19,65,3,166,360
24044,"Louis-Hébert/Louis-Hébert"," 74B","Québec",2,0,4,22,48,14,72,1,163,318
