Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Andrea Clarke,Daniel Green,Célia Grimard,Mark John Hiemstra,Sabin Lévesque,Jasmine Louras,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 1","Montréal",86,62,21,47,2,0,4,2,224,522
24054,"Outremont/Outremont"," 2","Montréal",70,38,28,26,0,0,8,1,171,474
24054,"Outremont/Outremont"," 3","Montréal",99,48,29,66,2,1,6,4,255,609
24054,"Outremont/Outremont"," 4","Montréal",61,74,30,28,2,0,5,1,201,465
24054,"Outremont/Outremont"," 5","Montréal",59,59,44,26,0,2,7,2,199,485
24054,"Outremont/Outremont"," 6","Montréal",66,44,41,32,2,3,8,1,197,481
24054,"Outremont/Outremont"," 7","Montréal",85,81,48,44,3,1,7,3,272,570
24054,"Outremont/Outremont"," 8","Montréal",93,88,34,54,0,1,4,2,276,555
24054,"Outremont/Outremont"," 9","Montréal",81,56,26,25,0,1,2,2,193,381
24054,"Outremont/Outremont"," 10","Montréal",117,68,24,35,2,4,2,3,255,425
24054,"Outremont/Outremont"," 11","Montréal",89,77,21,16,0,3,5,1,212,427
24054,"Outremont/Outremont"," 12","Montréal",106,79,23,26,1,1,3,4,243,488
24054,"Outremont/Outremont"," 13","Montréal",72,88,20,21,1,3,4,0,209,432
24054,"Outremont/Outremont"," 14","Montréal",83,55,31,28,2,0,6,2,207,431
24054,"Outremont/Outremont"," 15","Montréal",76,64,28,39,1,0,4,2,214,420
24054,"Outremont/Outremont"," 16","Montréal",89,76,33,50,1,2,9,3,263,493
24054,"Outremont/Outremont"," 17","Montréal",86,43,27,38,0,0,7,1,202,418
24054,"Outremont/Outremont"," 18","Montréal",127,70,35,39,2,4,4,0,281,552
24054,"Outremont/Outremont"," 19","Montréal",136,78,36,44,1,1,3,1,300,547
