Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Beauregard,Meryem Benslimane,Micheline Boucher Granger,Pierre Branchaud,Josée Larose,Monique Pauzé,Samuel Saint-Laurent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 1","L'Assomption",5,13,2,16,32,94,3,8,173,369
24060,"Repentigny/Repentigny"," 2","L'Assomption",7,15,2,14,50,120,4,5,217,470
24060,"Repentigny/Repentigny"," 3","L'Assomption",2,9,1,17,44,102,0,1,176,354
24060,"Repentigny/Repentigny"," 4","L'Assomption",12,16,1,14,42,150,2,6,243,562
24060,"Repentigny/Repentigny"," 5","L'Assomption",6,24,3,23,64,133,4,8,265,531
24060,"Repentigny/Repentigny"," 6","L'Assomption",10,30,0,20,64,155,2,6,287,550
24060,"Repentigny/Repentigny"," 7","L'Assomption",12,16,1,23,42,131,3,8,236,464
24060,"Repentigny/Repentigny"," 8","L'Assomption",7,9,0,22,46,88,1,0,173,423
24060,"Repentigny/Repentigny"," 9","L'Assomption",7,9,0,10,40,89,0,3,158,333
24060,"Repentigny/Repentigny"," 10","L'Assomption",10,11,0,23,50,159,6,8,267,476
24060,"Repentigny/Repentigny"," 11","L'Assomption",14,29,2,19,71,172,3,6,316,550
24060,"Repentigny/Repentigny"," 12","L'Assomption",13,18,2,21,53,134,0,5,246,462
24060,"Repentigny/Repentigny"," 13","L'Assomption",11,19,3,14,45,140,6,6,244,466
24060,"Repentigny/Repentigny"," 14","L'Assomption",20,26,1,25,48,145,6,2,273,450
24060,"Repentigny/Repentigny"," 15","L'Assomption",3,19,1,14,51,122,2,3,215,408
24060,"Repentigny/Repentigny"," 16","L'Assomption",8,16,2,22,53,146,3,5,255,460
24060,"Repentigny/Repentigny"," 17","L'Assomption",11,11,1,11,47,103,1,5,190,385
24060,"Repentigny/Repentigny"," 18","L'Assomption",11,21,1,16,40,106,1,2,198,386
24060,"Repentigny/Repentigny"," 19","L'Assomption",3,22,0,8,41,89,2,0,165,358
24060,"Repentigny/Repentigny"," 20","L'Assomption",6,27,0,8,35,100,0,1,177,382
24060,"Repentigny/Repentigny"," 21","L'Assomption",4,17,0,22,52,115,4,4,218,445
24060,"Repentigny/Repentigny"," 22","Saint-Sulpice",5,9,1,24,24,79,0,6,148,317
24060,"Repentigny/Repentigny"," 23","Saint-Sulpice",11,26,0,6,30,101,1,4,179,309
24060,"Repentigny/Repentigny"," 24","Saint-Sulpice",7,13,0,10,22,80,0,4,136,261
24060,"Repentigny/Repentigny"," 25","Saint-Sulpice",4,10,0,4,17,90,1,3,129,231
24060,"Repentigny/Repentigny"," 26","Saint-Sulpice",1,13,1,9,22,85,5,0,136,292
24060,"Repentigny/Repentigny"," 27","Saint-Sulpice",7,10,2,9,30,80,1,6,145,292
24060,"Repentigny/Repentigny"," 28","Saint-Sulpice",6,3,2,6,14,29,0,2,62,165
24060,"Repentigny/Repentigny"," 29","Saint-Sulpice",7,13,1,20,23,99,2,4,169,371
24060,"Repentigny/Repentigny"," 30","Saint-Sulpice",9,10,2,22,49,141,2,3,238,539
24060,"Repentigny/Repentigny"," 31","L'Assomption",4,21,0,13,59,100,1,5,203,405
24060,"Repentigny/Repentigny"," 32","L'Assomption",6,7,1,7,36,100,0,2,159,344
24060,"Repentigny/Repentigny"," 33","L'Assomption",8,15,2,14,64,92,1,4,200,359
24060,"Repentigny/Repentigny"," 34","L'Assomption",6,15,1,11,46,120,3,2,204,389
24060,"Repentigny/Repentigny"," 35","L'Assomption",11,13,0,11,35,116,2,0,188,448
24060,"Repentigny/Repentigny"," 36","L'Assomption",10,10,2,8,24,105,1,4,164,397
24060,"Repentigny/Repentigny"," 37","L'Assomption",8,23,0,14,56,158,2,4,265,555
24060,"Repentigny/Repentigny"," 38","L'Assomption",9,13,3,9,26,84,0,0,144,349
24060,"Repentigny/Repentigny"," 39","L'Assomption",7,5,0,5,23,46,0,0,86,322
24060,"Repentigny/Repentigny"," 40","L'Assomption",10,7,0,8,21,88,2,2,138,381
24060,"Repentigny/Repentigny"," 41","L'Assomption",12,10,2,5,12,74,1,4,120,318
24060,"Repentigny/Repentigny"," 42","L'Assomption",7,4,1,12,34,89,1,1,149,300
24060,"Repentigny/Repentigny"," 43","L'Assomption",11,13,3,4,17,62,3,2,115,319
24060,"Repentigny/Repentigny"," 44","L'Assomption",5,8,3,12,31,86,0,3,148,388
24060,"Repentigny/Repentigny"," 45","L'Assomption",11,21,1,17,55,128,2,7,242,531
24060,"Repentigny/Repentigny"," 46","L'Assomption",15,22,1,9,38,98,2,5,190,424
