Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ceylan Borgers,Luc Desilets,Joseph Hakizimana,Linda Lapointe,Maikel Mikhael,Hans Roker Jr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Rosemère",8,41,17,109,31,0,0,206,392
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Rosemère",14,39,11,99,29,1,3,196,428
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Rosemère",6,46,10,95,32,1,0,190,419
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Rosemère",5,73,15,126,33,0,2,254,459
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Rosemère",9,57,22,89,10,0,0,187,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Rosemère",11,88,14,80,8,1,3,205,512
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Rosemère",11,82,35,102,22,1,2,255,449
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Rosemère",9,67,13,95,12,4,1,201,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Rosemère",12,53,17,103,24,0,1,210,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Rosemère",11,55,18,64,7,0,0,155,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Rosemère",20,56,18,98,5,1,5,203,371
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Rosemère",7,55,12,98,30,4,0,206,447
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Rosemère",6,62,9,59,7,1,0,144,320
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Rosemère",10,88,18,90,13,3,2,224,410
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Rosemère",14,93,15,54,10,0,1,187,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Rosemère",13,48,19,75,7,0,1,163,346
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Rosemère",9,106,23,77,9,0,1,225,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Rosemère",12,54,18,68,6,2,1,161,356
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Rosemère",4,68,15,82,15,3,0,187,356
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20","Rosemère",7,53,17,74,7,1,2,161,360
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Rosemère",6,55,15,71,2,0,3,152,375
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Rosemère",7,51,15,81,17,0,0,171,394
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Rosemère",12,64,13,94,15,0,2,200,455
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Rosemère",2,59,19,84,10,1,2,177,406
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25","Rosemère",4,54,13,75,7,3,2,158,339
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26","Rosemère",5,51,15,78,21,1,1,172,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Rosemère",5,54,19,72,16,0,3,169,366
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28","Boisbriand",10,71,13,39,8,1,3,145,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Boisbriand",9,76,19,69,8,0,4,185,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",8,63,27,51,6,2,4,161,478
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31","Boisbriand",8,50,10,79,12,0,5,164,345
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",7,77,13,54,7,1,5,164,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Boisbriand",9,98,32,95,17,0,6,257,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34","Boisbriand",5,72,17,106,17,0,2,219,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",12,102,15,66,13,2,4,214,405
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",9,61,17,85,19,3,2,196,434
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",7,88,8,69,7,0,1,180,364
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",7,116,10,48,12,1,1,195,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39","Boisbriand",2,53,9,43,13,0,3,123,290
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 40","Boisbriand",11,77,29,77,7,0,5,206,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 41","Boisbriand",6,105,16,56,14,3,6,206,404
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 42","Boisbriand",9,83,16,79,18,2,2,209,438
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 43","Boisbriand",12,68,13,74,15,0,4,186,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 44","Boisbriand",8,86,15,62,9,1,2,183,383
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 45","Boisbriand",5,44,13,38,5,1,2,108,293
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46","Boisbriand",10,60,26,26,20,1,3,146,405
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 47","Boisbriand",9,55,17,39,15,3,2,140,364
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 48","Boisbriand",8,37,18,34,10,2,1,110,397
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 49","Boisbriand",8,96,9,64,10,1,4,192,360
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 50","Boisbriand",6,65,31,81,22,0,4,209,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 51","Boisbriand",14,92,27,109,9,0,2,253,482
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 52","Boisbriand",4,87,25,115,21,3,2,257,477
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 53","Boisbriand",13,79,9,48,10,1,4,164,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54","Boisbriand",9,91,17,54,19,1,4,195,425
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55","Boisbriand",9,91,32,68,10,2,0,212,392
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 56","Boisbriand",9,89,18,85,19,1,3,224,431
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 57","Boisbriand",13,113,33,88,10,3,2,262,492
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 58","Boisbriand",3,76,12,69,8,0,2,170,388
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59","Boisbriand",10,111,24,118,25,0,5,293,527
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60","Boisbriand",17,130,13,99,21,2,1,283,467
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61","Boisbriand",12,76,20,94,6,1,8,217,433
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 62","Boisbriand",22,68,25,92,19,0,4,230,374
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 63","Boisbriand",10,96,20,62,18,3,2,211,398
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 64","Boisbriand",14,112,28,72,18,1,7,252,408
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 65","Boisbriand",11,102,30,112,25,0,1,281,435
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 66","Boisbriand",14,121,26,90,11,2,13,277,509
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 67","Boisbriand",0,0,0,0,0,0,0,0,204
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68","Boisbriand",Results combined with No./Résultats combinés au n°70,,,,,,,,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 69","Boisbriand",0,0,0,0,0,0,0,0,374
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 70","Boisbriand",10,71,27,57,11,2,4,182,443
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 71","Boisbriand",11,60,18,69,22,0,3,183,385
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 72","Boisbriand",6,105,15,63,15,2,3,209,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 73","Boisbriand",13,78,32,104,19,0,4,250,459
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 74","Boisbriand",11,96,23,68,11,0,0,209,385
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 75","Boisbriand",10,90,26,120,23,12,5,286,449
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 76","Boisbriand",10,101,16,76,18,1,4,226,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 77","Boisbriand",17,97,16,109,15,8,6,268,455
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 78","Boisbriand",5,99,18,68,19,2,3,214,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 79","Saint-Eustache",5,95,12,56,25,1,4,198,429
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 80","Saint-Eustache",3,82,10,58,15,5,1,174,372
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 81","Saint-Eustache",10,87,24,71,13,3,3,211,385
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 82","Saint-Eustache",12,122,19,80,24,0,5,262,437
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 83","Saint-Eustache",6,78,17,76,11,6,10,204,390
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 84","Saint-Eustache",11,123,17,60,20,2,10,243,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 85","Saint-Eustache",12,121,28,73,16,5,7,262,436
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 86","Saint-Eustache",16,109,15,58,22,0,6,226,446
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 87","Saint-Eustache",13,97,18,83,15,1,5,232,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 88","Saint-Eustache",5,102,10,70,11,0,7,205,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 89","Saint-Eustache",8,98,15,39,17,3,8,188,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 90","Saint-Eustache",3,108,16,56,25,5,4,217,400
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 91","Saint-Eustache",17,77,13,48,20,1,6,182,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 92","Saint-Eustache",6,85,15,72,12,0,5,195,361
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 93","Saint-Eustache",9,103,12,50,17,0,10,201,408
