Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Breton,Nathalie Clermont,Darlène Daviault,Andréanne Larouche,Raymonde Plamondon,Mariam Sabbagh,Katherine Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 1","Maricourt",60,24,3,81,6,0,11,5,190,352
24072,"Shefford/Shefford"," 2","Racine",78,33,1,62,11,0,5,3,193,353
24072,"Shefford/Shefford"," 3","Racine",62,36,0,86,9,2,9,3,207,351
24072,"Shefford/Shefford"," 4","Racine",60,25,1,69,13,5,5,2,180,359
24072,"Shefford/Shefford"," 5","Valcourt",84,22,1,77,11,2,9,2,208,374
24072,"Shefford/Shefford"," 6","Valcourt",41,18,0,55,10,0,1,5,130,299
24072,"Shefford/Shefford"," 7","Valcourt",40,25,3,53,11,2,4,0,138,323
24072,"Shefford/Shefford"," 8","Valcourt",39,12,0,39,3,4,2,1,100,309
24072,"Shefford/Shefford"," 9","Valcourt",24,25,0,37,4,1,6,2,99,285
24072,"Shefford/Shefford"," 10","Valcourt",45,24,0,52,12,1,4,2,140,272
24072,"Shefford/Shefford"," 11","Valcourt",70,35,0,56,14,14,3,3,195,362
24072,"Shefford/Shefford"," 12","Valcourt",48,21,0,51,8,2,1,4,135,302
24072,"Shefford/Shefford"," 13","Lawrenceville",40,38,0,56,12,1,17,5,169,290
24072,"Shefford/Shefford"," 14","Lawrenceville",37,24,2,40,13,1,6,7,130,221
24072,"Shefford/Shefford"," 15","Bonsecours",46,17,0,47,16,1,6,3,136,227
24072,"Shefford/Shefford"," 16","Bonsecours",55,25,0,73,8,0,9,3,173,271
24072,"Shefford/Shefford"," 17","Roxton Pond",45,27,1,98,14,3,9,7,204,405
24072,"Shefford/Shefford"," 18","Roxton Pond",48,19,1,61,9,3,12,4,157,341
24072,"Shefford/Shefford"," 19","Roxton Pond",52,29,1,81,10,0,6,13,192,372
24072,"Shefford/Shefford"," 20","Roxton Pond",75,23,0,71,14,1,6,3,193,351
24072,"Shefford/Shefford"," 21","Roxton Pond",32,18,1,58,3,3,10,3,128,270
24072,"Shefford/Shefford"," 22","Roxton Pond",47,14,3,70,10,3,6,6,159,326
24072,"Shefford/Shefford"," 23","Roxton Pond",60,25,0,73,29,2,1,3,193,396
24072,"Shefford/Shefford"," 24","Roxton Pond",40,28,0,66,4,3,8,10,159,308
24072,"Shefford/Shefford"," 25","Roxton Pond",68,22,1,102,11,1,10,11,226,439
24072,"Shefford/Shefford"," 26","Sainte-Cécile-de-Milton",41,21,4,62,10,2,6,2,148,302
24072,"Shefford/Shefford"," 27","Sainte-Cécile-de-Milton",48,24,3,90,9,0,9,4,187,323
24072,"Shefford/Shefford"," 28","Sainte-Cécile-de-Milton",67,33,0,79,13,2,13,5,212,380
24072,"Shefford/Shefford"," 29","Sainte-Cécile-de-Milton",38,18,0,48,11,0,6,1,122,253
24072,"Shefford/Shefford"," 30","Sainte-Cécile-de-Milton",46,28,2,72,9,3,14,6,180,384
24072,"Shefford/Shefford"," 31","Saint-Joachim-de-Shefford",56,33,1,87,8,1,18,2,206,338
24072,"Shefford/Shefford"," 32","Saint-Joachim-de-Shefford",86,24,4,95,21,3,31,9,273,410
24072,"Shefford/Shefford"," 33","Saint-Joachim-de-Shefford",65,24,0,93,14,2,15,10,223,372
24072,"Shefford/Shefford"," 34","Sainte-Anne-de-la-Rochelle",47,23,2,42,4,0,5,0,123,221
24072,"Shefford/Shefford"," 35","Sainte-Anne-de-la-Rochelle",32,17,0,80,6,0,4,1,140,263
24072,"Shefford/Shefford"," 36","Granby",76,21,1,78,20,2,6,3,207,436
24072,"Shefford/Shefford"," 37","Granby",77,17,0,77,15,1,13,3,203,406
24072,"Shefford/Shefford"," 38","Granby",73,18,1,67,12,0,9,2,182,393
24072,"Shefford/Shefford"," 39","Granby",66,28,0,80,5,2,8,3,192,363
24072,"Shefford/Shefford"," 40","Granby",105,23,0,78,16,1,12,3,238,461
24072,"Shefford/Shefford"," 41","Granby",90,9,1,68,22,2,14,3,209,407
24072,"Shefford/Shefford"," 42","Granby",55,12,0,58,9,0,12,3,149,312
24072,"Shefford/Shefford"," 43","Granby",86,16,1,84,13,4,11,4,219,390
24072,"Shefford/Shefford"," 44","Granby",72,26,0,84,8,1,5,2,198,389
24072,"Shefford/Shefford"," 45","Granby",67,22,1,87,20,0,7,3,207,376
24072,"Shefford/Shefford"," 46","Granby",87,10,0,42,6,2,1,3,151,375
24072,"Shefford/Shefford"," 47","Granby",78,42,0,89,21,3,7,1,241,402
24072,"Shefford/Shefford"," 48","Granby",73,17,0,66,12,5,6,2,181,399
24072,"Shefford/Shefford"," 49","Granby",78,24,0,81,13,2,6,6,210,407
24072,"Shefford/Shefford"," 50","Granby",76,27,5,85,21,2,10,5,231,417
24072,"Shefford/Shefford"," 51","Warden",70,26,0,49,16,1,10,2,174,371
24072,"Shefford/Shefford"," 52","Shefford",39,20,0,28,4,0,7,1,99,297
24072,"Shefford/Shefford"," 53","Shefford",52,11,0,40,8,2,4,0,117,301
24072,"Shefford/Shefford"," 54","Granby",97,26,3,98,13,1,6,5,249,451
24072,"Shefford/Shefford"," 55","Granby",84,19,2,84,18,0,9,4,220,449
24072,"Shefford/Shefford"," 56","Granby",108,15,1,75,10,2,14,2,227,419
24072,"Shefford/Shefford"," 57","Granby",119,14,0,64,17,3,8,1,226,455
24072,"Shefford/Shefford"," 58A","Granby",67,12,0,28,4,2,5,1,119,309
24072,"Shefford/Shefford"," 58B","Granby",53,9,0,53,7,0,8,1,131,330
24072,"Shefford/Shefford"," 59","Granby",60,16,2,53,8,3,11,1,154,402
24072,"Shefford/Shefford"," 60","Granby",72,15,1,66,13,0,9,2,178,329
24072,"Shefford/Shefford"," 61","Granby",45,15,0,60,6,1,1,2,130,321
24072,"Shefford/Shefford"," 62","Granby",76,19,1,92,5,1,7,5,206,461
24072,"Shefford/Shefford"," 63","Granby",67,19,1,75,16,0,14,7,199,447
24072,"Shefford/Shefford"," 64","Granby",111,10,0,71,12,2,16,0,222,400
24072,"Shefford/Shefford"," 65","Granby",65,24,1,72,3,3,4,5,177,445
24072,"Shefford/Shefford"," 66","Granby",51,22,2,48,2,0,4,4,133,372
24072,"Shefford/Shefford"," 67","Granby",34,13,1,37,3,0,3,8,99,338
24072,"Shefford/Shefford"," 68","Granby",87,18,1,84,10,0,5,1,206,362
24072,"Shefford/Shefford"," 69","Granby",73,18,0,59,8,0,9,4,171,411
24072,"Shefford/Shefford"," 70","Granby",71,20,0,68,15,0,8,3,185,390
24072,"Shefford/Shefford"," 71","Granby",66,19,0,64,7,0,6,4,166,438
24072,"Shefford/Shefford"," 72","Granby",58,31,2,58,10,1,5,6,171,377
24072,"Shefford/Shefford"," 73","Granby",83,27,2,63,11,1,7,4,198,394
24072,"Shefford/Shefford"," 74","Granby",51,13,0,57,14,0,8,5,148,368
24072,"Shefford/Shefford"," 75","Granby",55,13,0,49,6,0,2,5,130,448
24072,"Shefford/Shefford"," 76","Granby",54,13,2,66,6,0,10,9,160,394
24072,"Shefford/Shefford"," 77","Granby",47,15,1,54,7,0,6,4,134,393
