Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 1","Sherbrooke",69,0,67,68,0,6,0,42,1,253,505
24073,"Sherbrooke/Sherbrooke"," 2","Sherbrooke",48,0,56,65,0,6,0,35,1,211,468
24073,"Sherbrooke/Sherbrooke"," 3","Sherbrooke",58,0,56,55,0,8,0,23,4,204,435
24073,"Sherbrooke/Sherbrooke"," 4","Sherbrooke",44,2,69,61,2,10,0,33,7,228,462
24073,"Sherbrooke/Sherbrooke"," 5","Sherbrooke",51,0,41,44,8,8,0,33,3,188,433
24073,"Sherbrooke/Sherbrooke"," 6","Sherbrooke",37,1,50,45,0,14,1,19,1,168,421
24073,"Sherbrooke/Sherbrooke"," 7","Sherbrooke",46,1,60,45,0,6,1,35,1,195,429
24073,"Sherbrooke/Sherbrooke"," 8","Sherbrooke",61,0,64,56,1,7,0,22,4,215,429
24073,"Sherbrooke/Sherbrooke"," 9","Sherbrooke",59,1,85,57,2,1,0,27,8,240,501
24073,"Sherbrooke/Sherbrooke"," 10","Sherbrooke",40,1,35,48,2,7,0,13,4,150,427
24073,"Sherbrooke/Sherbrooke"," 11","Sherbrooke",47,0,73,54,1,4,0,17,4,200,446
24073,"Sherbrooke/Sherbrooke"," 12","Sherbrooke",47,1,76,76,2,9,0,27,2,240,455
24073,"Sherbrooke/Sherbrooke"," 13A","Sherbrooke",27,0,61,49,1,9,0,16,3,166,319
24073,"Sherbrooke/Sherbrooke"," 13B","Sherbrooke",41,0,56,28,1,5,0,30,2,163,345
24073,"Sherbrooke/Sherbrooke"," 14","Sherbrooke",36,1,36,44,0,3,0,16,2,138,363
24073,"Sherbrooke/Sherbrooke"," 15","Sherbrooke",56,0,68,66,1,6,0,40,2,239,477
24073,"Sherbrooke/Sherbrooke"," 16","Sherbrooke",50,3,76,69,1,5,0,38,1,243,477
24073,"Sherbrooke/Sherbrooke"," 17","Sherbrooke",54,2,62,72,0,7,0,12,4,213,439
24073,"Sherbrooke/Sherbrooke"," 18","Sherbrooke",58,0,75,59,1,6,0,36,2,237,555
24073,"Sherbrooke/Sherbrooke"," 19","Sherbrooke",40,1,42,45,5,5,0,23,4,165,470
24073,"Sherbrooke/Sherbrooke"," 20","Sherbrooke",43,0,50,40,0,13,0,21,4,171,382
24073,"Sherbrooke/Sherbrooke"," 21","Sherbrooke",32,1,62,53,0,5,1,17,1,172,387
24073,"Sherbrooke/Sherbrooke"," 22","Sherbrooke",29,1,39,44,2,7,0,26,3,151,407
24073,"Sherbrooke/Sherbrooke"," 23","Sherbrooke",32,2,31,59,4,11,0,17,6,162,420
