Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeffrey Barnes,Frédéric Beauchemin,Maxime Beaudoin,Michel Boudrias,France Gagnon,Jade Hébert,Réjean Monette,Paul Vézina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 1","La Plaine",2,50,16,116,25,1,11,3,4,228,479
24075,"Terrebonne/Terrebonne"," 2","La Plaine",4,48,28,151,26,1,11,4,7,280,537
24075,"Terrebonne/Terrebonne"," 3","La Plaine",0,33,21,143,24,2,11,2,6,242,529
24075,"Terrebonne/Terrebonne"," 4","La Plaine",2,34,16,118,25,1,2,1,13,212,503
24075,"Terrebonne/Terrebonne"," 5","La Plaine",1,59,16,91,18,0,3,0,10,198,473
24075,"Terrebonne/Terrebonne"," 6","La Plaine",0,58,19,109,21,0,13,4,13,237,505
24075,"Terrebonne/Terrebonne"," 7","La Plaine",2,67,19,100,17,0,9,2,6,222,500
24075,"Terrebonne/Terrebonne"," 8","La Plaine",2,39,10,148,16,0,6,2,6,229,511
24075,"Terrebonne/Terrebonne"," 9","La Plaine",1,39,12,173,28,1,5,2,5,266,500
24075,"Terrebonne/Terrebonne"," 10","La Plaine",3,40,19,130,26,3,13,2,6,242,450
24075,"Terrebonne/Terrebonne"," 11","La Plaine",0,40,13,123,29,2,4,0,6,217,458
24075,"Terrebonne/Terrebonne"," 12","La Plaine",4,62,19,123,19,0,5,0,4,236,453
24075,"Terrebonne/Terrebonne"," 13","La Plaine",1,33,20,119,23,1,5,4,5,211,409
24075,"Terrebonne/Terrebonne"," 14","La Plaine",4,50,10,118,16,0,8,0,3,209,402
24075,"Terrebonne/Terrebonne"," 15","La Plaine",0,94,27,117,18,0,7,2,7,272,521
24075,"Terrebonne/Terrebonne"," 16","La Plaine",3,69,18,136,22,0,8,1,13,270,557
24075,"Terrebonne/Terrebonne"," 17","La Plaine",2,74,16,114,14,2,6,1,8,237,550
24075,"Terrebonne/Terrebonne"," 18","La Plaine",1,51,20,105,21,0,11,1,7,217,518
24075,"Terrebonne/Terrebonne"," 19","La Plaine",1,42,5,78,10,1,5,2,3,147,454
24075,"Terrebonne/Terrebonne"," 20","La Plaine",4,66,22,104,21,0,8,0,8,233,533
24075,"Terrebonne/Terrebonne"," 21","La Plaine",1,57,9,117,25,1,12,4,7,233,530
24075,"Terrebonne/Terrebonne"," 22","La Plaine",2,34,23,145,21,0,11,1,3,240,548
24075,"Terrebonne/Terrebonne"," 23","La Plaine",2,111,22,153,18,3,9,0,8,326,565
24075,"Terrebonne/Terrebonne"," 24","La Plaine",1,117,17,117,20,1,5,0,9,287,570
24075,"Terrebonne/Terrebonne"," 25","La Plaine",2,61,14,131,23,0,11,0,9,251,497
24075,"Terrebonne/Terrebonne"," 26","Lachenaie",0,32,5,72,8,0,0,2,2,121,477
24075,"Terrebonne/Terrebonne"," 27A","Lachenaie",2,53,8,64,18,1,6,0,3,155,364
24075,"Terrebonne/Terrebonne"," 27B","Lachenaie",0,38,8,63,10,0,3,1,2,125,418
24075,"Terrebonne/Terrebonne"," 28","Lachenaie",1,127,35,102,22,0,8,4,1,300,526
24075,"Terrebonne/Terrebonne"," 29","Lachenaie",1,70,16,108,19,0,7,0,5,226,493
24075,"Terrebonne/Terrebonne"," 30","Lachenaie",5,114,17,71,20,0,6,1,2,236,469
24075,"Terrebonne/Terrebonne"," 31","Lachenaie",2,119,15,104,17,0,7,2,1,267,499
24075,"Terrebonne/Terrebonne"," 32","Lachenaie",1,99,25,100,16,1,5,0,2,249,489
24075,"Terrebonne/Terrebonne"," 33","Lachenaie",0,147,17,105,18,0,7,1,3,298,544
24075,"Terrebonne/Terrebonne"," 34","La Plaine",1,99,24,102,21,1,10,1,10,269,539
24075,"Terrebonne/Terrebonne"," 35","La Plaine",1,56,20,128,18,2,12,6,2,245,530
24075,"Terrebonne/Terrebonne"," 36","La Plaine",0,68,25,136,23,1,9,0,5,267,564
24075,"Terrebonne/Terrebonne"," 37","La Plaine",6,63,28,140,16,0,13,1,6,273,559
24075,"Terrebonne/Terrebonne"," 38","La Plaine",0,63,21,93,20,0,5,1,8,211,543
24075,"Terrebonne/Terrebonne"," 39","La Plaine",3,50,22,137,18,1,7,3,8,249,551
24075,"Terrebonne/Terrebonne"," 40","La Plaine",2,52,11,155,29,4,11,4,6,274,550
24075,"Terrebonne/Terrebonne"," 41","La Plaine",3,57,21,128,16,1,6,1,8,241,551
24075,"Terrebonne/Terrebonne"," 42","La Plaine",1,38,16,121,29,0,11,3,8,227,498
24075,"Terrebonne/Terrebonne"," 43","La Plaine",2,62,7,92,14,1,3,2,11,194,529
24075,"Terrebonne/Terrebonne"," 44","Lachenaie",1,64,27,91,8,0,12,0,3,206,407
24075,"Terrebonne/Terrebonne"," 45","Lachenaie",2,64,18,117,16,2,7,1,7,234,471
24075,"Terrebonne/Terrebonne"," 46","Lachenaie",0,82,32,108,13,0,3,0,1,239,382
24075,"Terrebonne/Terrebonne"," 47","Lachenaie",0,71,27,95,16,2,11,0,3,225,411
24075,"Terrebonne/Terrebonne"," 48","Lachenaie",2,49,10,133,14,1,6,0,6,221,535
24075,"Terrebonne/Terrebonne"," 49","Lachenaie",4,74,21,143,17,0,16,0,4,279,459
24075,"Terrebonne/Terrebonne"," 50","Lachenaie",0,79,20,151,11,0,11,1,4,277,498
24075,"Terrebonne/Terrebonne"," 51","Lachenaie",3,81,23,114,27,0,11,1,2,262,481
24075,"Terrebonne/Terrebonne"," 52","Lachenaie",0,62,25,122,22,0,13,3,5,252,480
24075,"Terrebonne/Terrebonne"," 53","Lachenaie",2,87,18,137,18,2,3,1,7,275,509
24075,"Terrebonne/Terrebonne"," 54","Lachenaie",1,78,16,109,11,1,6,2,3,227,579
24075,"Terrebonne/Terrebonne"," 55","Lachenaie",8,144,24,82,19,0,11,0,6,294,543
24075,"Terrebonne/Terrebonne"," 56","Lachenaie",0,100,29,121,23,0,7,1,5,286,499
24075,"Terrebonne/Terrebonne"," 57","Lachenaie",4,92,21,129,17,1,6,0,3,273,463
24075,"Terrebonne/Terrebonne"," 58","Lachenaie",2,83,22,149,20,1,10,0,8,295,512
24075,"Terrebonne/Terrebonne"," 59","Lachenaie",5,101,21,122,17,0,5,1,5,277,496
24075,"Terrebonne/Terrebonne"," 60","Lachenaie",0,118,23,124,21,1,6,1,9,303,531
24075,"Terrebonne/Terrebonne"," 61","Lachenaie",0,77,16,120,12,0,9,0,4,238,468
24075,"Terrebonne/Terrebonne"," 62","Lachenaie",2,94,29,124,33,1,12,1,3,299,556
24075,"Terrebonne/Terrebonne"," 63","Lachenaie",2,114,26,112,27,0,6,0,5,292,529
24075,"Terrebonne/Terrebonne"," 64","Lachenaie",6,80,26,137,27,1,9,2,4,292,545
24075,"Terrebonne/Terrebonne"," 65","Lachenaie",1,87,16,98,11,2,13,0,5,233,491
24075,"Terrebonne/Terrebonne"," 66","Lachenaie",1,53,15,86,6,0,5,1,6,173,504
24075,"Terrebonne/Terrebonne"," 67","Lachenaie",1,128,16,132,20,0,13,1,4,315,520
24075,"Terrebonne/Terrebonne"," 68","Lachenaie",1,58,32,151,21,1,9,0,3,276,566
24075,"Terrebonne/Terrebonne"," 69","Lachenaie",0,101,30,155,15,0,10,0,0,311,579
24075,"Terrebonne/Terrebonne"," 70","Lachenaie",1,115,16,118,9,0,6,0,3,268,457
24075,"Terrebonne/Terrebonne"," 71","Lachenaie",0,77,16,107,17,1,9,1,3,231,526
24075,"Terrebonne/Terrebonne"," 72","Lachenaie",0,74,21,115,28,0,5,1,0,244,466
24075,"Terrebonne/Terrebonne"," 73","Lachenaie",0,135,30,116,26,1,15,0,6,329,561
24075,"Terrebonne/Terrebonne"," 74","Lachenaie",1,74,10,131,10,0,11,0,4,241,425
24075,"Terrebonne/Terrebonne"," 75","Lachenaie",5,115,25,117,22,0,11,0,5,300,464
24075,"Terrebonne/Terrebonne"," 76","Terrebonne",2,69,41,168,17,0,17,3,5,322,534
24075,"Terrebonne/Terrebonne"," 77","Terrebonne",3,79,23,143,23,0,12,2,5,290,508
24075,"Terrebonne/Terrebonne"," 78","Terrebonne",1,103,28,141,19,0,15,2,6,315,571
