Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Brassard,Bonnie North,Pekka Reinio,Stephanie Robinson,Lisa-Marie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie--Innisfil/Barrie--Innisfil"," 1","Innisfil",119,26,36,6,65,0,252,583
35004,"Barrie--Innisfil/Barrie--Innisfil"," 2","Innisfil",110,32,49,3,85,0,279,586
35004,"Barrie--Innisfil/Barrie--Innisfil"," 3A","Innisfil",78,20,24,2,41,1,166,383
35004,"Barrie--Innisfil/Barrie--Innisfil"," 3B","Innisfil",86,12,17,2,41,0,158,382
35004,"Barrie--Innisfil/Barrie--Innisfil"," 4","Innisfil",132,23,33,4,46,2,240,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 5","Innisfil",109,18,24,1,57,0,209,552
35004,"Barrie--Innisfil/Barrie--Innisfil"," 6","Innisfil",148,20,30,1,74,4,277,490
35004,"Barrie--Innisfil/Barrie--Innisfil"," 7","Innisfil",139,22,26,0,66,0,253,505
35004,"Barrie--Innisfil/Barrie--Innisfil"," 8","Innisfil",146,35,53,2,89,7,332,557
35004,"Barrie--Innisfil/Barrie--Innisfil"," 9","Innisfil",126,32,43,2,66,2,271,525
35004,"Barrie--Innisfil/Barrie--Innisfil"," 10","Barrie",102,24,25,1,57,0,209,564
35004,"Barrie--Innisfil/Barrie--Innisfil"," 11","Barrie",118,18,32,6,79,0,253,640
35004,"Barrie--Innisfil/Barrie--Innisfil"," 12","Barrie",115,18,46,2,75,0,256,593
35004,"Barrie--Innisfil/Barrie--Innisfil"," 13","Barrie",147,17,31,3,100,5,303,642
35004,"Barrie--Innisfil/Barrie--Innisfil"," 14","Barrie",114,29,35,1,89,1,269,568
35004,"Barrie--Innisfil/Barrie--Innisfil"," 15","Barrie",155,19,8,2,67,0,251,527
35004,"Barrie--Innisfil/Barrie--Innisfil"," 16","Barrie",101,20,31,7,87,1,247,536
35004,"Barrie--Innisfil/Barrie--Innisfil"," 17","Barrie",181,20,9,1,80,4,295,388
35004,"Barrie--Innisfil/Barrie--Innisfil"," 18","Barrie",87,21,32,4,86,2,232,603
35004,"Barrie--Innisfil/Barrie--Innisfil"," 19","Barrie",131,20,25,7,75,1,259,513
35004,"Barrie--Innisfil/Barrie--Innisfil"," 20","Barrie",123,16,34,4,67,2,246,482
35004,"Barrie--Innisfil/Barrie--Innisfil"," 21","Barrie",107,19,38,0,67,0,231,455
35004,"Barrie--Innisfil/Barrie--Innisfil"," 22","Barrie",116,13,33,5,80,2,249,599
35004,"Barrie--Innisfil/Barrie--Innisfil"," 23","Barrie",87,32,54,2,99,0,274,562
35004,"Barrie--Innisfil/Barrie--Innisfil"," 24","Barrie",112,29,45,6,84,4,280,580
35004,"Barrie--Innisfil/Barrie--Innisfil"," 25","Barrie",119,24,50,2,77,3,275,556
35004,"Barrie--Innisfil/Barrie--Innisfil"," 26A","Barrie",41,15,37,4,32,0,129,385
35004,"Barrie--Innisfil/Barrie--Innisfil"," 26B","Barrie",50,12,33,2,50,0,147,381
35004,"Barrie--Innisfil/Barrie--Innisfil"," 27","Barrie",49,29,58,9,94,1,240,581
35004,"Barrie--Innisfil/Barrie--Innisfil"," 28","Barrie",73,32,79,11,43,0,238,555
35004,"Barrie--Innisfil/Barrie--Innisfil"," 29","Barrie",70,24,53,7,81,2,237,479
35004,"Barrie--Innisfil/Barrie--Innisfil"," 30","Barrie",82,34,44,4,87,2,253,529
35004,"Barrie--Innisfil/Barrie--Innisfil"," 31","Barrie",72,14,7,0,43,6,142,373
