Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Janssen,Brian Kalliecharan,Marty Lancaster,David Patterson,Doug Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 1","Oro-Medonte",47,57,38,6,120,1,269,443
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 2","Oro-Medonte",42,100,37,4,128,1,312,507
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 3","Oro-Medonte",23,54,29,4,90,2,202,379
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 4","Oro-Medonte",18,45,22,4,61,0,150,399
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 5","Springwater",32,38,29,4,97,0,200,427
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 6","Springwater",30,54,27,4,76,2,193,364
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 7","Springwater",36,59,21,4,97,3,220,427
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 8","Springwater",24,74,22,6,86,4,216,469
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 9","Oro-Medonte",28,79,30,3,111,0,251,490
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 10","Oro-Medonte",31,74,37,4,105,0,251,503
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 11","Oro-Medonte",39,67,41,2,67,0,216,435
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 12","Oro-Medonte",33,100,51,2,98,1,285,527
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 13","Oro-Medonte",11,30,29,4,73,2,149,384
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 14","Oro-Medonte",9,49,10,1,68,1,138,303
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 15","Oro-Medonte",13,78,38,1,95,2,227,560
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 16","Oro-Medonte",26,64,40,4,118,4,256,484
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 17","Springwater",20,50,18,3,78,0,169,339
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 18","Springwater",56,60,24,9,117,0,266,512
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 19","Springwater",27,85,30,2,111,1,256,514
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 20","Springwater",26,39,19,5,112,4,205,496
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 21","Oro-Medonte",28,89,35,6,149,1,308,646
