Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Teresa Burgess-Ogilvie,Partap Dua,Manpreet Othi,Maninder Sidhu,Ramona Singh,Saranjit Singh,Gaurav Walia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton East/Brampton-Est"," 1","Brampton",5,0,1,87,81,47,1,5,227,347
35009,"Brampton East/Brampton-Est"," 2","Brampton",1,0,1,67,70,35,1,1,176,484
35009,"Brampton East/Brampton-Est"," 3","Brampton",0,1,0,61,50,35,1,1,149,427
35009,"Brampton East/Brampton-Est"," 4A","Brampton",1,0,0,42,41,19,0,0,103,290
35009,"Brampton East/Brampton-Est"," 4B","Brampton",0,0,0,57,28,36,1,9,131,323
35009,"Brampton East/Brampton-Est"," 5","Brampton",0,0,0,19,22,17,2,0,60,107
35009,"Brampton East/Brampton-Est"," 6","Brampton",4,0,0,70,47,59,0,3,183,497
35009,"Brampton East/Brampton-Est"," 7","Brampton",5,0,1,86,63,60,3,0,218,487
35009,"Brampton East/Brampton-Est"," 8","Brampton",1,0,0,53,48,46,0,3,151,365
35009,"Brampton East/Brampton-Est"," 9","Brampton",2,1,0,110,73,41,0,6,233,512
35009,"Brampton East/Brampton-Est"," 10","Brampton",2,0,0,91,45,26,1,3,168,426
35009,"Brampton East/Brampton-Est"," 11","Brampton",1,0,1,117,45,60,2,1,227,471
35009,"Brampton East/Brampton-Est"," 12","Brampton",5,0,1,114,92,40,0,5,257,508
35009,"Brampton East/Brampton-Est"," 13A","Brampton",4,0,0,77,28,48,1,2,160,277
35009,"Brampton East/Brampton-Est"," 13B","Brampton",1,0,1,55,39,43,0,2,141,284
35009,"Brampton East/Brampton-Est"," 14A","Brampton",4,0,0,66,45,23,0,0,138,258
35009,"Brampton East/Brampton-Est"," 14B","Brampton",2,0,1,68,49,31,0,2,153,361
35009,"Brampton East/Brampton-Est"," 15A","Brampton",0,0,1,56,28,49,1,3,138,320
35009,"Brampton East/Brampton-Est"," 15B","Brampton",2,0,1,49,36,37,0,0,125,338
35009,"Brampton East/Brampton-Est"," 16A","Brampton",0,0,1,66,30,57,3,2,159,338
35009,"Brampton East/Brampton-Est"," 16B","Brampton",0,0,0,54,33,35,0,0,122,299
35009,"Brampton East/Brampton-Est"," 17A","Brampton",2,0,0,93,53,64,0,0,212,290
35009,"Brampton East/Brampton-Est"," 17B","Brampton",2,0,0,45,39,33,3,0,122,326
35009,"Brampton East/Brampton-Est"," 18A","Brampton",6,1,0,82,30,29,3,3,154,383
35009,"Brampton East/Brampton-Est"," 18B","Brampton",2,0,1,68,49,31,0,2,153,388
35009,"Brampton East/Brampton-Est"," 19A","Brampton",2,0,0,93,53,64,0,0,212,475
35009,"Brampton East/Brampton-Est"," 19B","Brampton",0,1,0,84,61,56,0,4,206,450
35009,"Brampton East/Brampton-Est"," 20A","Brampton",0,1,0,45,54,24,0,1,125,321
35009,"Brampton East/Brampton-Est"," 20B","Brampton",3,0,1,64,33,39,0,2,142,320
35009,"Brampton East/Brampton-Est"," 21","Brampton",1,1,0,110,53,33,1,4,203,511
35009,"Brampton East/Brampton-Est"," 22","Brampton",2,0,0,97,79,57,0,0,235,502
35009,"Brampton East/Brampton-Est"," 23","Brampton",3,1,1,85,58,49,0,1,198,428
35009,"Brampton East/Brampton-Est"," 24","Brampton",3,0,0,114,62,62,0,0,241,501
35009,"Brampton East/Brampton-Est"," 25","Brampton",0,0,0,77,54,45,0,1,177,433
35009,"Brampton East/Brampton-Est"," 26","Brampton",1,0,1,129,58,55,1,0,245,527
35009,"Brampton East/Brampton-Est"," 27","Brampton",0,0,1,80,62,29,1,2,175,371
35009,"Brampton East/Brampton-Est"," 28","Brampton",1,0,4,113,63,66,1,1,249,445
35009,"Brampton East/Brampton-Est"," 29","Brampton",4,2,1,62,70,38,3,1,181,441
35009,"Brampton East/Brampton-Est"," 30","Brampton",3,0,1,100,47,62,1,6,220,429
35009,"Brampton East/Brampton-Est"," 31","Brampton",4,0,3,70,31,44,0,3,155,426
35009,"Brampton East/Brampton-Est"," 32A","Brampton",2,0,0,45,34,35,1,0,117,286
35009,"Brampton East/Brampton-Est"," 32B","Brampton",0,0,2,35,16,26,0,3,82,267
35009,"Brampton East/Brampton-Est"," 33","Brampton",1,1,0,59,48,39,0,1,149,329
35009,"Brampton East/Brampton-Est"," 34","Brampton",4,0,1,76,58,44,2,2,187,350
35009,"Brampton East/Brampton-Est"," 35","Brampton",6,0,4,119,71,73,2,3,278,501
35009,"Brampton East/Brampton-Est"," 36","Brampton",3,1,0,120,84,69,2,0,279,511
35009,"Brampton East/Brampton-Est"," 37","Brampton",3,0,1,133,77,63,1,2,280,462
35009,"Brampton East/Brampton-Est"," 38","Brampton",2,1,0,86,36,58,1,1,185,334
35009,"Brampton East/Brampton-Est"," 39A","Brampton",0,0,0,67,44,27,3,0,141,279
35009,"Brampton East/Brampton-Est"," 39B","Brampton",3,0,3,53,33,39,0,1,132,275
35009,"Brampton East/Brampton-Est"," 40A","Brampton",0,0,2,80,11,24,0,0,117,290
35009,"Brampton East/Brampton-Est"," 40B","Brampton",2,0,1,40,30,23,1,0,97,258
35009,"Brampton East/Brampton-Est"," 41","Brampton",3,0,0,104,44,51,0,9,211,509
35009,"Brampton East/Brampton-Est"," 42","Brampton",1,1,6,51,51,109,0,1,220,505
