Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ramandeep Brar,Karen Fraser,Rajwinder Ghuman,Mitesh Joshi,Mandeep Kaur,Wavey Mercer,Sonia Sidhu,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35011,"Brampton South/Brampton-Sud"," 1","Brampton",61,7,0,0,35,1,109,0,4,217,522
35011,"Brampton South/Brampton-Sud"," 2","Brampton",68,19,1,0,50,1,102,1,0,242,530
35011,"Brampton South/Brampton-Sud"," 3","Brampton",45,8,0,1,30,0,100,1,2,187,487
35011,"Brampton South/Brampton-Sud"," 4","Brampton",61,7,2,1,50,0,106,0,2,229,485
35011,"Brampton South/Brampton-Sud"," 5","Brampton",69,14,2,0,44,0,87,1,6,223,471
35011,"Brampton South/Brampton-Sud"," 6","Brampton",47,16,2,0,22,5,83,0,3,178,492
35011,"Brampton South/Brampton-Sud"," 7","Brampton",36,10,1,1,8,3,70,2,3,134,185
35011,"Brampton South/Brampton-Sud"," 8","Brampton",60,7,2,0,42,1,72,0,1,185,448
35011,"Brampton South/Brampton-Sud"," 9","Brampton",39,6,0,0,48,7,111,0,3,214,542
35011,"Brampton South/Brampton-Sud"," 10","Brampton",43,4,0,0,27,2,97,3,1,177,558
35011,"Brampton South/Brampton-Sud"," 11","Brampton",28,4,3,0,21,2,93,0,3,154,419
35011,"Brampton South/Brampton-Sud"," 12","Brampton",63,23,3,0,34,2,53,0,0,178,368
35011,"Brampton South/Brampton-Sud"," 13","Brampton",37,6,0,0,27,2,62,0,4,138,345
35011,"Brampton South/Brampton-Sud"," 14","Brampton",46,9,5,0,30,1,105,0,3,199,403
35011,"Brampton South/Brampton-Sud"," 15","Brampton",60,8,4,0,31,2,87,0,1,193,405
35011,"Brampton South/Brampton-Sud"," 16","Brampton",57,5,2,0,31,4,91,0,3,193,401
35011,"Brampton South/Brampton-Sud"," 17","Brampton",71,10,5,1,22,0,80,0,0,189,410
35011,"Brampton South/Brampton-Sud"," 18","Brampton",44,10,4,1,37,1,64,1,3,165,367
35011,"Brampton South/Brampton-Sud"," 19","Brampton",54,6,2,0,22,1,96,0,2,183,401
35011,"Brampton South/Brampton-Sud"," 20","Brampton",34,6,3,0,20,0,66,0,1,130,321
35011,"Brampton South/Brampton-Sud"," 21","Brampton",57,14,6,0,23,1,56,0,2,159,390
35011,"Brampton South/Brampton-Sud"," 22","Brampton",44,15,2,3,27,0,117,0,8,216,381
35011,"Brampton South/Brampton-Sud"," 23","Brampton",50,10,2,2,27,1,61,0,1,154,359
35011,"Brampton South/Brampton-Sud"," 24","Brampton",40,20,2,1,35,5,92,1,2,198,397
35011,"Brampton South/Brampton-Sud"," 25","Brampton",40,13,0,0,29,2,79,0,4,167,402
35011,"Brampton South/Brampton-Sud"," 26","Brampton",36,12,1,0,29,1,82,0,2,163,426
35011,"Brampton South/Brampton-Sud"," 27","Brampton",63,18,0,1,29,2,65,0,0,178,401
35011,"Brampton South/Brampton-Sud"," 28","Brampton",88,16,2,0,30,1,101,0,4,242,497
35011,"Brampton South/Brampton-Sud"," 29","Brampton",45,12,1,2,36,1,84,0,2,183,445
35011,"Brampton South/Brampton-Sud"," 30","Brampton",35,16,0,0,30,0,68,0,3,152,382
35011,"Brampton South/Brampton-Sud"," 31","Brampton",84,14,6,2,31,0,111,0,4,252,461
35011,"Brampton South/Brampton-Sud"," 32","Brampton",59,25,2,0,31,1,115,1,4,238,429
35011,"Brampton South/Brampton-Sud"," 33","Brampton",113,16,2,0,35,2,126,0,1,295,490
35011,"Brampton South/Brampton-Sud"," 34","Brampton",36,11,0,1,41,3,122,0,0,214,488
35011,"Brampton South/Brampton-Sud"," 35","Brampton",58,11,2,1,34,3,119,1,1,230,521
35011,"Brampton South/Brampton-Sud"," 36","Brampton",77,12,0,2,25,0,88,0,3,207,461
35011,"Brampton South/Brampton-Sud"," 37","Brampton",86,15,5,0,28,0,81,0,5,220,404
35011,"Brampton South/Brampton-Sud"," 38","Brampton",55,10,1,0,34,1,102,1,2,206,434
35011,"Brampton South/Brampton-Sud"," 39","Brampton",103,18,3,0,38,3,106,1,3,275,451
35011,"Brampton South/Brampton-Sud"," 40","Brampton",48,4,3,1,21,3,79,0,3,162,364
