Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Davidson,Harinderpal Hundal,Navjit Kaur,Kamal Khera,Anjum Malik,Roger Sampson,Paul Tannahill,Murarilal Thapliyal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 1","Brampton",8,0,34,122,0,3,5,53,6,231,469
35012,"Brampton West/Brampton-Ouest"," 2","Brampton",5,0,44,138,0,3,0,53,3,246,519
35012,"Brampton West/Brampton-Ouest"," 3","Brampton",3,0,43,167,0,2,1,43,1,260,500
35012,"Brampton West/Brampton-Ouest"," 4","Brampton",1,0,40,122,1,0,1,46,6,217,479
35012,"Brampton West/Brampton-Ouest"," 5","Brampton",5,0,41,149,0,1,2,54,1,253,495
35012,"Brampton West/Brampton-Ouest"," 6","Brampton",5,0,60,119,0,2,0,44,3,233,473
35012,"Brampton West/Brampton-Ouest"," 7","Brampton",6,1,45,112,0,3,0,46,2,215,476
35012,"Brampton West/Brampton-Ouest"," 8","Brampton",12,0,58,119,0,2,2,62,0,255,478
35012,"Brampton West/Brampton-Ouest"," 9","Brampton",7,0,36,91,0,3,0,44,1,182,412
35012,"Brampton West/Brampton-Ouest"," 10","Brampton",3,0,24,143,0,6,1,46,1,224,493
35012,"Brampton West/Brampton-Ouest"," 11","Brampton",9,0,36,135,0,2,0,51,4,237,493
35012,"Brampton West/Brampton-Ouest"," 12","Brampton",9,1,33,117,1,1,1,30,3,196,481
35012,"Brampton West/Brampton-Ouest"," 13","Brampton",6,0,33,103,0,1,1,48,0,192,456
35012,"Brampton West/Brampton-Ouest"," 14","Brampton",5,0,19,103,0,0,2,49,1,179,463
35012,"Brampton West/Brampton-Ouest"," 15","Brampton",2,0,37,136,0,1,1,35,2,214,561
35012,"Brampton West/Brampton-Ouest"," 16A","Brampton",2,0,45,89,0,4,2,35,5,182,478
35012,"Brampton West/Brampton-Ouest"," 16B","Brampton",1,0,31,97,0,2,1,32,4,168,480
35012,"Brampton West/Brampton-Ouest"," 17","Brampton",3,2,42,134,1,1,0,40,4,227,472
