Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Sarah Fischer,Daniel Giavedoni,Bruce Griffin,Jay Sobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 1","North York",85,98,12,47,2,3,247,499
35020,"Don Valley North/Don Valley-Nord"," 2","North York",97,103,4,19,0,1,224,458
35020,"Don Valley North/Don Valley-Nord"," 3","North York",70,77,9,13,1,0,170,407
35020,"Don Valley North/Don Valley-Nord"," 4","North York",64,66,8,13,1,0,152,345
35020,"Don Valley North/Don Valley-Nord"," 5","North York",81,52,2,14,0,2,151,356
35020,"Don Valley North/Don Valley-Nord"," 6","North York",57,73,8,11,8,2,159,327
35020,"Don Valley North/Don Valley-Nord"," 7","North York",50,63,6,18,0,1,138,394
35020,"Don Valley North/Don Valley-Nord"," 8","North York",95,106,10,14,2,0,227,561
35020,"Don Valley North/Don Valley-Nord"," 9","North York",65,85,4,16,3,1,174,493
35020,"Don Valley North/Don Valley-Nord"," 10","North York",64,81,5,19,3,0,172,505
35020,"Don Valley North/Don Valley-Nord"," 11","North York",60,58,5,18,9,0,150,334
35020,"Don Valley North/Don Valley-Nord"," 12","North York",82,82,10,18,2,2,196,455
35020,"Don Valley North/Don Valley-Nord"," 13","North York",86,73,9,14,1,1,184,480
35020,"Don Valley North/Don Valley-Nord"," 14","North York",87,61,4,20,1,1,174,437
35020,"Don Valley North/Don Valley-Nord"," 15","North York",69,62,8,15,1,0,155,342
35020,"Don Valley North/Don Valley-Nord"," 16","North York",85,89,5,16,2,4,201,502
35020,"Don Valley North/Don Valley-Nord"," 17","North York",66,75,2,23,0,1,167,434
35020,"Don Valley North/Don Valley-Nord"," 18","North York",96,79,3,25,0,1,204,463
35020,"Don Valley North/Don Valley-Nord"," 19","North York",107,82,2,12,1,5,209,382
35020,"Don Valley North/Don Valley-Nord"," 20","North York",112,105,2,22,7,1,249,456
35020,"Don Valley North/Don Valley-Nord"," 21","North York",96,70,3,13,4,0,186,429
35020,"Don Valley North/Don Valley-Nord"," 22","North York",112,80,9,16,2,2,221,491
35020,"Don Valley North/Don Valley-Nord"," 23","North York",74,55,9,15,1,3,157,472
35020,"Don Valley North/Don Valley-Nord"," 24","North York",53,46,5,6,3,2,115,346
35020,"Don Valley North/Don Valley-Nord"," 25","North York",94,53,9,18,3,1,178,419
35020,"Don Valley North/Don Valley-Nord"," 26","North York",42,82,5,19,3,0,151,380
35020,"Don Valley North/Don Valley-Nord"," 27","North York",93,65,6,19,2,0,185,492
35020,"Don Valley North/Don Valley-Nord"," 28","North York",86,54,6,16,1,3,166,460
35020,"Don Valley North/Don Valley-Nord"," 29","North York",68,47,11,20,2,0,148,455
35020,"Don Valley North/Don Valley-Nord"," 30","North York",58,84,8,18,1,0,169,395
35020,"Don Valley North/Don Valley-Nord"," 31","North York",67,73,6,12,1,0,159,395
35020,"Don Valley North/Don Valley-Nord"," 32","North York",63,67,4,13,0,0,147,356
35020,"Don Valley North/Don Valley-Nord"," 33","North York",41,68,6,15,1,0,131,328
35020,"Don Valley North/Don Valley-Nord"," 34","North York",40,46,4,8,0,0,98,348
35020,"Don Valley North/Don Valley-Nord"," 35","North York",73,29,6,16,2,1,127,359
35020,"Don Valley North/Don Valley-Nord"," 36","North York",62,81,7,13,2,3,168,411
35020,"Don Valley North/Don Valley-Nord"," 37","North York",87,79,7,23,0,1,197,473
35020,"Don Valley North/Don Valley-Nord"," 38","North York",82,82,6,15,2,1,188,404
35020,"Don Valley North/Don Valley-Nord"," 39","North York",93,86,4,13,2,3,201,441
35020,"Don Valley North/Don Valley-Nord"," 40","North York",52,67,3,9,1,0,132,401
35020,"Don Valley North/Don Valley-Nord"," 41","North York",84,128,3,19,3,2,239,529
35020,"Don Valley North/Don Valley-Nord"," 42A","North York",70,39,5,11,0,1,126,334
35020,"Don Valley North/Don Valley-Nord"," 42B","North York",63,33,0,6,0,0,102,333
35020,"Don Valley North/Don Valley-Nord"," 43","North York",96,83,8,21,3,0,211,421
35020,"Don Valley North/Don Valley-Nord"," 44","North York",80,69,3,7,1,0,160,343
35020,"Don Valley North/Don Valley-Nord"," 45","North York",89,75,9,8,2,0,183,389
35020,"Don Valley North/Don Valley-Nord"," 46","North York",95,70,3,11,0,0,179,323
35020,"Don Valley North/Don Valley-Nord"," 47","North York",124,100,14,16,3,0,257,578
35020,"Don Valley North/Don Valley-Nord"," 48","North York",93,53,3,22,1,2,174,366
35020,"Don Valley North/Don Valley-Nord"," 49","North York",94,75,13,13,0,1,196,437
35020,"Don Valley North/Don Valley-Nord"," 50","North York",132,64,5,22,0,4,227,589
35020,"Don Valley North/Don Valley-Nord"," 51","North York",75,88,5,12,0,3,183,436
35020,"Don Valley North/Don Valley-Nord"," 52","North York",104,75,12,29,2,1,223,568
35020,"Don Valley North/Don Valley-Nord"," 53","North York",118,78,4,23,1,1,225,538
35020,"Don Valley North/Don Valley-Nord"," 54","North York",94,76,5,9,1,4,189,443
35020,"Don Valley North/Don Valley-Nord"," 55","North York",109,60,6,10,8,1,194,460
35020,"Don Valley North/Don Valley-Nord"," 56","North York",90,60,2,14,5,0,171,463
35020,"Don Valley North/Don Valley-Nord"," 57A","North York",74,30,6,17,3,2,132,321
35020,"Don Valley North/Don Valley-Nord"," 57B","North York",83,30,10,18,1,0,142,344
35020,"Don Valley North/Don Valley-Nord"," 58","North York",85,83,7,7,1,0,183,511
35020,"Don Valley North/Don Valley-Nord"," 59","North York",129,47,9,36,7,1,229,543
35020,"Don Valley North/Don Valley-Nord"," 60","North York",83,70,4,33,4,1,195,446
35020,"Don Valley North/Don Valley-Nord"," 61","North York",77,58,4,6,0,2,147,407
35020,"Don Valley North/Don Valley-Nord"," 62","North York",91,45,3,26,2,1,168,392
35020,"Don Valley North/Don Valley-Nord"," 63","North York",69,48,9,14,4,1,145,325
35020,"Don Valley North/Don Valley-Nord"," 64","North York",97,105,9,19,1,5,236,542
35020,"Don Valley North/Don Valley-Nord"," 65","North York",112,67,10,24,4,0,217,533
35020,"Don Valley North/Don Valley-Nord"," 66","North York",81,65,7,11,2,0,166,388
35020,"Don Valley North/Don Valley-Nord"," 67","North York",84,66,5,17,2,2,176,451
35020,"Don Valley North/Don Valley-Nord"," 68","North York",79,41,1,20,0,2,143,338
35020,"Don Valley North/Don Valley-Nord"," 69","North York",63,65,10,12,2,0,152,345
35020,"Don Valley North/Don Valley-Nord"," 70A","North York",81,13,2,19,0,0,115,305
35020,"Don Valley North/Don Valley-Nord"," 70B","North York",72,20,5,10,2,0,109,326
35020,"Don Valley North/Don Valley-Nord"," 71","North York",83,70,3,30,1,4,191,533
35020,"Don Valley North/Don Valley-Nord"," 72A","North York",86,37,3,25,0,6,157,428
35020,"Don Valley North/Don Valley-Nord"," 72B","North York",96,34,11,22,1,5,169,442
35020,"Don Valley North/Don Valley-Nord"," 73","North York",75,58,6,12,4,0,155,365
35020,"Don Valley North/Don Valley-Nord"," 74","North York",59,75,6,6,0,0,146,401
35020,"Don Valley North/Don Valley-Nord"," 75","North York",85,69,5,16,0,2,177,380
35020,"Don Valley North/Don Valley-Nord"," 76","North York",108,63,9,11,2,0,193,404
35020,"Don Valley North/Don Valley-Nord"," 77","North York",98,59,4,18,1,2,182,384
35020,"Don Valley North/Don Valley-Nord"," 78","North York",128,93,9,16,2,3,251,569
35020,"Don Valley North/Don Valley-Nord"," 79","North York",171,51,16,26,1,0,265,612
35020,"Don Valley North/Don Valley-Nord"," 80","North York",112,62,5,21,4,0,204,544
35020,"Don Valley North/Don Valley-Nord"," 81A","North York",94,25,6,25,1,0,151,348
35020,"Don Valley North/Don Valley-Nord"," 81B","North York",60,36,1,30,1,0,128,369
35020,"Don Valley North/Don Valley-Nord"," 82","North York",102,59,5,27,6,0,199,471
35020,"Don Valley North/Don Valley-Nord"," 83","North York",103,74,8,26,1,0,212,651
35020,"Don Valley North/Don Valley-Nord"," 84","North York",91,40,4,26,6,0,167,492
35020,"Don Valley North/Don Valley-Nord"," 85","North York",94,42,5,22,3,0,166,507
35020,"Don Valley North/Don Valley-Nord"," 86","North York",144,85,11,28,4,0,272,547
35020,"Don Valley North/Don Valley-Nord"," 87","North York",108,65,5,25,3,1,207,509
35020,"Don Valley North/Don Valley-Nord"," 88","North York",75,72,14,42,5,1,209,577
35020,"Don Valley North/Don Valley-Nord"," 89","North York",113,77,6,16,1,0,213,480
35020,"Don Valley North/Don Valley-Nord"," 90","North York",74,48,3,27,0,0,152,413
35020,"Don Valley North/Don Valley-Nord"," 91","North York",95,79,6,12,6,0,198,523
35020,"Don Valley North/Don Valley-Nord"," 92","North York",88,76,11,5,1,2,183,457
35020,"Don Valley North/Don Valley-Nord"," 93","North York",78,60,6,14,2,0,160,456
35020,"Don Valley North/Don Valley-Nord"," 94","North York",117,100,4,17,2,1,241,484
35020,"Don Valley North/Don Valley-Nord"," 95","North York",126,73,11,19,3,1,233,491
35020,"Don Valley North/Don Valley-Nord"," 96","North York",101,73,21,13,1,1,210,435
35020,"Don Valley North/Don Valley-Nord"," 97","North York",124,63,11,25,7,0,230,493
35020,"Don Valley North/Don Valley-Nord"," 98A","North York",97,45,8,29,0,0,179,488
35020,"Don Valley North/Don Valley-Nord"," 98B","North York",105,53,6,22,0,0,186,458
35020,"Don Valley North/Don Valley-Nord"," 99","North York",75,38,12,29,0,1,155,380
35020,"Don Valley North/Don Valley-Nord"," 100","North York",81,34,4,12,3,0,134,371
35020,"Don Valley North/Don Valley-Nord"," 101","North York",61,42,13,12,3,1,132,306
35020,"Don Valley North/Don Valley-Nord"," 102","North York",131,58,15,18,2,1,225,570
35020,"Don Valley North/Don Valley-Nord"," 103","North York",141,75,7,14,2,3,242,423
35020,"Don Valley North/Don Valley-Nord"," 104A","North York",110,44,10,22,1,6,193,445
