Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chani Aryeh-Bain,Reuben DeBoer,Marco Mendicino,Alexandra Nash,Michael Staffieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 1","North York",100,9,95,14,2,1,221,496
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 2","North York",117,10,97,7,2,0,233,440
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 3","North York",114,10,130,6,2,0,262,499
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 4","North York",77,21,118,22,5,3,246,512
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 5","North York",43,7,66,12,2,0,130,437
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 6","North York",50,9,92,21,1,2,175,449
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 7","North York",36,5,67,15,0,4,127,343
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 8","North York",89,13,103,11,2,1,219,460
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 9","North York",86,8,102,10,0,0,206,425
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 10","Toronto",Merged with No./Fusionné avec le n°15,,,,,,,436
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 11","North York",71,8,89,6,0,1,175,438
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 12","Toronto",61,13,93,9,0,2,178,397
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 13","Toronto",33,15,119,11,2,0,180,363
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 14","Toronto",55,13,122,16,3,1,210,417
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 15","Toronto",84,21,197,27,6,2,337,377
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 16","Toronto",64,7,116,9,0,0,196,439
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 17","Toronto",48,14,132,9,1,0,204,378
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 18","Toronto",51,7,103,7,1,0,169,397
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 19","North York",Merged with No./Fusionné avec le n°20,,,,,,,406
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 20","North York",126,13,165,23,1,0,328,432
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 21","North York",89,5,60,9,0,0,163,469
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 22","North York",84,6,52,10,2,0,154,418
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 23","North York",90,5,78,15,2,3,193,510
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 24","North York",62,12,71,5,0,0,150,369
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 25","North York",103,0,59,5,0,0,167,474
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 26","North York",87,6,59,7,0,2,161,486
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 27","North York",61,3,102,22,3,3,194,391
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 28","Toronto",50,20,159,11,1,0,241,447
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 29","Toronto",43,5,111,12,2,0,173,351
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 30","Toronto",38,20,131,30,1,0,220,379
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 31","Toronto",74,17,148,15,1,0,255,505
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 32","Toronto",50,8,135,12,3,0,208,481
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 33","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,371
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 34","Toronto",109,22,235,32,2,0,400,462
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 35","Toronto",59,9,107,23,2,0,200,459
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 36","North York",37,7,79,8,1,0,132,285
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 37","North York",48,9,178,40,3,0,278,560
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 38","North York",65,11,139,25,1,1,242,532
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 39","North York",41,2,118,10,1,2,174,375
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 40","North York",48,7,127,19,2,0,203,496
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 41","North York",48,4,104,30,1,1,188,404
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 42","North York",38,3,81,16,1,3,142,383
