Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Alderson,Bill Capes,Audrey Festeryga,Chris Lewis,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 1","Lakeshore",11,4,38,113,85,0,251,500
35026,"Essex/Essex"," 2","Lakeshore",12,2,57,116,84,0,271,585
35026,"Essex/Essex"," 3","Lakeshore",2,5,31,80,86,4,208,520
35026,"Essex/Essex"," 4","Lakeshore",7,6,44,87,98,0,242,547
35026,"Essex/Essex"," 5","Lakeshore",10,8,61,83,114,0,276,591
35026,"Essex/Essex"," 6","Lakeshore",5,8,33,81,95,0,222,491
35026,"Essex/Essex"," 7","Lakeshore",8,11,64,100,89,0,272,556
35026,"Essex/Essex"," 8","Lakeshore",3,2,57,124,117,1,304,599
35026,"Essex/Essex"," 9","Lakeshore",5,6,42,54,107,0,214,436
35026,"Essex/Essex"," 10A","Lakeshore",0,0,37,54,53,0,144,337
35026,"Essex/Essex"," 10B","Lakeshore",1,2,23,59,62,0,147,300
35026,"Essex/Essex"," 11","Lakeshore",6,1,70,129,68,2,276,559
35026,"Essex/Essex"," 12","Lakeshore",15,8,23,75,108,2,231,486
35026,"Essex/Essex"," 13","Lakeshore",8,6,61,119,114,1,309,546
35026,"Essex/Essex"," 14A","Lakeshore",3,6,46,64,64,0,183,367
35026,"Essex/Essex"," 14B","Lakeshore",1,2,45,66,45,0,159,312
35026,"Essex/Essex"," 15","Lakeshore",5,7,66,114,58,6,256,469
35026,"Essex/Essex"," 16","Lakeshore",9,10,74,94,105,0,292,495
35026,"Essex/Essex"," 17","Lakeshore",8,4,73,92,82,0,259,495
35026,"Essex/Essex"," 18","Lakeshore",6,4,70,159,77,1,317,592
35026,"Essex/Essex"," 19A","Lakeshore",9,3,34,96,47,1,190,337
35026,"Essex/Essex"," 19B","Lakeshore",5,0,28,69,41,1,144,301
35026,"Essex/Essex"," 20","Lakeshore",7,1,54,96,39,1,198,392
35026,"Essex/Essex"," 21","Lakeshore",8,3,62,131,55,2,261,466
35026,"Essex/Essex"," 22","Lakeshore",7,1,78,105,66,4,261,456
35026,"Essex/Essex"," 23","Lakeshore",5,3,55,107,64,0,234,400
35026,"Essex/Essex"," 24","Lakeshore",9,3,62,120,56,0,250,467
35026,"Essex/Essex"," 25A","Lakeshore",3,3,67,72,35,1,181,318
35026,"Essex/Essex"," 25B","Lakeshore",3,0,43,75,18,2,141,285
35026,"Essex/Essex"," 26","Lakeshore",13,7,75,105,95,1,296,489
35026,"Essex/Essex"," 27","Lakeshore",1,3,44,97,86,3,234,419
35026,"Essex/Essex"," 28","Lakeshore",13,6,63,65,108,2,257,501
35026,"Essex/Essex"," 29A","Lakeshore",4,2,30,89,60,0,185,320
35026,"Essex/Essex"," 29B","Lakeshore",4,2,45,60,64,1,176,312
35026,"Essex/Essex"," 30","Lakeshore",11,9,54,92,58,2,226,530
35026,"Essex/Essex"," 31","Lakeshore",5,5,55,90,57,2,214,408
35026,"Essex/Essex"," 32","Lakeshore",7,7,43,117,77,0,251,414
35026,"Essex/Essex"," 33","Lakeshore",3,1,36,68,63,1,172,348
35026,"Essex/Essex"," 34","Lakeshore",8,3,30,99,84,3,227,513
35026,"Essex/Essex"," 35","Lakeshore",15,8,42,72,95,0,232,446
35026,"Essex/Essex"," 36","Lakeshore",13,11,39,57,90,0,210,486
35026,"Essex/Essex"," 37","Lakeshore",9,10,46,100,147,1,313,571
35026,"Essex/Essex"," 38","Lakeshore",6,6,35,62,108,0,217,497
35026,"Essex/Essex"," 39","Lakeshore",8,4,56,104,125,0,297,582
