Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 1","Guelph",0,44,38,0,91,10,77,2,0,1,263,517
35032,"Guelph/Guelph"," 2","Guelph",0,59,18,0,52,5,56,4,1,1,196,376
35032,"Guelph/Guelph"," 3","Guelph",0,38,23,0,71,3,41,0,0,2,178,358
35032,"Guelph/Guelph"," 4","Guelph",1,55,43,0,82,10,46,5,0,4,246,548
35032,"Guelph/Guelph"," 5","Guelph",0,66,53,0,122,3,84,1,1,1,331,591
35032,"Guelph/Guelph"," 6","Guelph",1,47,29,1,127,7,83,1,0,3,299,637
35032,"Guelph/Guelph"," 7","Guelph",0,57,40,0,101,2,67,0,1,1,269,572
35032,"Guelph/Guelph"," 8","Guelph",0,39,17,0,85,4,43,2,0,2,192,387
35032,"Guelph/Guelph"," 9","Guelph",0,26,29,0,75,3,62,1,3,1,200,405
35032,"Guelph/Guelph"," 10","Guelph",1,99,29,0,116,7,90,1,0,2,345,604
35032,"Guelph/Guelph"," 11","Guelph",0,34,19,0,75,5,40,0,0,3,176,347
35032,"Guelph/Guelph"," 12","Guelph",0,62,24,0,103,6,56,1,4,0,256,457
35032,"Guelph/Guelph"," 13","Guelph",1,72,47,0,104,8,58,2,1,0,293,587
35032,"Guelph/Guelph"," 14","Guelph",1,63,29,1,92,1,47,3,0,0,237,371
35032,"Guelph/Guelph"," 15","Guelph",2,71,57,0,94,7,72,4,2,0,309,585
35032,"Guelph/Guelph"," 16","Guelph",0,67,35,0,74,3,46,5,1,0,231,455
35032,"Guelph/Guelph"," 17","Guelph",1,64,22,0,117,2,92,2,0,0,300,622
35032,"Guelph/Guelph"," 18","Guelph",0,69,33,0,80,4,85,3,0,1,275,496
35032,"Guelph/Guelph"," 19","Guelph",0,49,30,1,78,5,52,1,0,2,218,381
35032,"Guelph/Guelph"," 20","Guelph",0,60,31,0,97,3,71,0,1,2,265,534
35032,"Guelph/Guelph"," 21","Guelph",2,45,23,0,59,3,23,1,0,1,157,317
35032,"Guelph/Guelph"," 22","Guelph",1,61,30,0,90,2,53,3,0,1,241,474
35032,"Guelph/Guelph"," 23","Guelph",0,60,25,0,89,6,51,2,0,1,234,486
35032,"Guelph/Guelph"," 24","Guelph",0,60,22,0,64,2,49,0,0,2,199,391
35032,"Guelph/Guelph"," 25","Guelph",1,44,23,1,93,3,77,0,0,2,244,501
35032,"Guelph/Guelph"," 26","Guelph",1,54,33,0,91,3,55,3,0,5,245,551
35032,"Guelph/Guelph"," 27","Guelph",2,58,30,0,110,1,52,1,0,0,254,528
35032,"Guelph/Guelph"," 28","Guelph",0,73,33,0,89,10,60,0,1,0,266,508
35032,"Guelph/Guelph"," 29","Guelph",1,67,34,0,104,7,62,0,0,2,277,563
35032,"Guelph/Guelph"," 30","Guelph",0,69,50,0,88,4,62,0,0,2,275,595
35032,"Guelph/Guelph"," 31","Guelph",0,47,12,1,85,6,28,3,0,0,182,365
35032,"Guelph/Guelph"," 32","Guelph",3,23,22,1,40,3,31,0,2,1,126,278
35032,"Guelph/Guelph"," 33","Guelph",0,76,55,1,96,4,63,0,2,1,298,608
35032,"Guelph/Guelph"," 34","Guelph",1,47,39,0,70,3,35,4,0,3,202,352
35032,"Guelph/Guelph"," 35","Guelph",0,59,38,0,67,5,43,3,0,1,216,426
35032,"Guelph/Guelph"," 36","Guelph",1,82,35,2,99,3,56,4,2,1,285,560
35032,"Guelph/Guelph"," 37","Guelph",1,104,37,0,111,11,54,1,1,0,320,547
35032,"Guelph/Guelph"," 38","Guelph",1,72,41,0,111,11,75,4,2,3,320,614
