Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victoria Galea,Bert Laranjo,Yousaf Malik,Daniel Ricottone,Spencer Rocchi,Filomena Tassi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 1","Dundas",24,85,51,9,1,174,0,344,564
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 2","Dundas",30,76,45,3,0,144,0,298,485
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 3","Dundas",40,69,55,8,0,106,1,279,428
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 4","Dundas",37,79,73,2,2,164,6,363,560
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 5","Dundas",50,66,64,1,1,158,3,343,528
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 6","Hamilton",23,24,51,5,0,113,2,218,378
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 7","Hamilton",23,35,52,2,0,108,0,220,393
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 8","Hamilton",35,44,72,3,0,170,2,326,482
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 9","Hamilton",25,25,66,7,0,140,0,263,410
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 10","Hamilton",16,49,80,5,1,119,0,270,489
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 11","Hamilton",12,23,68,3,1,119,2,228,384
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 12","Hamilton",12,39,41,1,0,84,0,177,386
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 13","Hamilton",21,25,45,2,4,136,1,234,358
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 14","Hamilton",30,42,102,1,0,120,1,296,476
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 15","Hamilton",18,26,47,3,0,96,1,191,382
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 16","Dundas",34,54,44,4,4,166,0,306,569
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 17","Dundas",44,39,41,5,1,128,0,258,489
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 18","Dundas",30,39,35,0,2,112,0,218,439
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 19","Dundas",21,60,76,4,1,132,0,294,585
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 20","Dundas",31,30,52,0,1,113,1,228,508
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 21","Dundas",18,21,31,2,0,68,0,140,379
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 22","Dundas",29,54,56,6,2,100,2,249,447
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 23","Dundas",33,35,33,3,0,98,0,202,393
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 24","Dundas",15,54,52,2,1,105,1,230,443
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 25","Dundas",29,40,41,2,1,97,0,210,429
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 26","Dundas",11,44,36,1,0,110,0,202,384
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 27","Dundas",21,47,45,3,0,80,0,196,452
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 28","Dundas",13,32,19,2,0,128,3,197,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 29","Hamilton",11,39,79,9,0,112,0,250,532
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 30","Hamilton",25,52,89,2,0,125,1,294,466
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 31","Hamilton",29,65,123,3,1,175,0,396,553
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 32","Dundas",20,40,43,1,2,76,1,183,415
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 33","Dundas",19,54,44,4,1,112,0,234,458
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 34","Dundas",30,51,46,2,1,106,0,236,423
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 35","Dundas",15,30,62,2,0,91,2,202,452
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 36","Dundas",25,56,40,6,0,131,1,259,462
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 37","Dundas",29,42,29,1,2,126,1,230,436
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 38","Dundas",25,47,27,1,0,99,2,201,371
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 39","Hamilton",13,38,73,7,3,105,1,240,455
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 40","Hamilton",18,45,85,6,0,152,3,309,512
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 41","Hamilton",34,46,86,4,2,123,2,297,530
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 42","Dundas",17,26,33,3,0,117,1,197,481
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 43","Dundas",26,52,54,2,1,81,0,216,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 44","Dundas",10,51,21,1,1,103,0,187,353
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 45","Dundas",21,52,34,2,0,118,1,228,416
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 46","Dundas",22,47,33,6,2,117,0,227,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 47","Dundas",23,58,36,10,1,88,0,216,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 48","Dundas",22,42,36,3,3,95,1,202,404
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 49","Dundas",20,56,34,1,0,104,0,215,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 50","Dundas",14,65,22,3,0,83,1,188,417
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 51","Dundas",19,86,26,0,0,120,0,251,459
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 52","Dundas",21,69,28,5,0,133,4,260,504
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 53","Dundas",22,65,45,7,1,94,0,234,480
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 54","Dundas",34,85,39,2,0,121,0,281,506
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 55","Dundas",29,66,44,4,0,109,1,253,472
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 56","Dundas",29,78,31,3,0,136,0,277,488
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 57","Dundas",18,70,24,6,0,116,0,234,442
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 58","Hamilton",27,54,68,7,0,179,1,336,494
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 59","Hamilton",7,24,49,2,0,54,1,137,339
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 60","Hamilton",4,21,25,5,0,59,4,118,328
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 61","Hamilton",20,43,50,4,0,68,2,187,376
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 62","Hamilton",25,48,68,2,1,82,1,227,386
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 63","Hamilton",11,19,23,3,1,80,0,137,351
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 64","Hamilton",18,49,51,8,2,158,1,287,576
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 65","Hamilton",13,45,23,2,0,50,0,133,310
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 66","Hamilton",5,46,19,0,0,68,1,139,329
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 67","Hamilton",16,61,51,4,0,115,2,249,396
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 68","Hamilton",19,41,47,5,2,81,0,195,378
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 69","Hamilton",15,74,56,4,0,111,3,263,450
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 70","Hamilton",25,59,49,2,0,77,3,215,361
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 71","Hamilton",13,72,63,7,1,114,0,270,434
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 72","Hamilton",25,30,44,3,1,83,0,186,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 73","Hamilton",18,47,63,4,0,102,1,235,411
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 74","Hamilton",27,54,52,2,2,95,0,232,393
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 75","Hamilton",23,45,44,5,2,65,1,185,361
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 76","Hamilton",16,42,53,3,0,115,2,231,428
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 77","Hamilton",10,49,75,6,0,86,0,226,436
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 78","Hamilton",9,58,63,9,2,116,0,257,442
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 79","Hamilton",19,52,60,3,0,66,2,202,427
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 80","Hamilton",12,42,63,4,1,88,1,211,406
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 81","Hamilton",16,92,38,4,0,110,2,262,445
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 82","Hamilton",17,53,34,4,2,117,3,230,380
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 83","Hamilton",16,55,40,2,1,114,0,228,382
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 84","Hamilton",15,63,49,3,1,110,0,241,371
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 85","Hamilton",8,56,35,4,1,140,1,245,440
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 86","Ancaster",16,71,35,2,0,134,0,258,533
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 87","Ancaster",17,72,26,2,1,116,1,235,494
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 88","Hamilton",6,65,52,1,0,86,2,212,372
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 89","Hamilton",15,57,50,5,0,121,0,248,426
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 90","Hamilton",30,61,60,4,3,113,1,272,534
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 91","Hamilton",13,43,67,4,1,98,0,226,427
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 92","Hamilton",14,39,66,8,0,87,2,216,484
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 93","Hamilton",11,22,37,5,0,56,3,134,267
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 94","Hamilton",15,74,53,6,0,85,1,234,457
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 95","Hamilton",16,61,82,2,0,76,3,240,428
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 96","Hamilton",15,52,55,2,0,82,0,206,355
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 97","Hamilton",31,44,54,3,0,122,0,254,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 98","Hamilton",12,33,60,8,0,80,2,195,396
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 99","Hamilton",14,40,33,3,1,68,1,160,327
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 100","Hamilton",15,43,39,2,0,74,0,173,351
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 101","Hamilton",13,51,46,6,1,127,0,244,478
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 102","Hamilton",10,38,42,0,1,83,4,178,426
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 103","Hamilton",16,66,63,12,0,85,0,242,402
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 104","Hamilton",14,51,49,3,1,160,4,282,602
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 105","Hamilton",13,55,33,7,0,111,2,221,377
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 106","Hamilton",15,32,80,4,0,77,1,209,449
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 107","Ancaster",19,77,19,5,0,125,0,245,455
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 108","Ancaster",8,76,15,3,0,70,0,172,333
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 109","Ancaster",19,96,12,4,2,92,1,226,401
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 110","Ancaster",21,89,17,0,0,117,2,246,487
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 111","Ancaster",7,70,14,2,1,79,0,173,370
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 112","Ancaster",18,89,17,4,0,76,0,204,362
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 113","Hamilton",8,37,31,2,1,73,2,154,354
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 114","Hamilton",5,26,79,10,0,84,5,209,501
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 115","Hamilton",23,50,95,6,0,92,6,272,517
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 116","Hamilton",12,38,80,11,0,64,3,208,402
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 117","Dundas",40,112,35,5,0,96,1,289,463
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 118","Ancaster",9,108,16,2,0,118,0,253,491
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 119","Ancaster",9,63,44,0,0,129,1,246,438
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 120","Ancaster",13,56,36,4,0,98,2,209,352
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 121","Ancaster",12,60,15,4,0,109,2,202,431
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 122","Ancaster",9,75,21,0,0,81,1,187,366
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 123","Hamilton",20,53,72,0,0,107,1,253,408
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 124","Hamilton",14,42,48,1,0,126,0,231,426
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 125","Hamilton",14,65,46,3,0,126,2,256,405
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 126","Hamilton",12,62,69,3,0,132,2,280,532
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 127","Hamilton",9,79,27,3,1,109,3,231,456
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 128","Hamilton",15,59,68,1,0,119,1,263,413
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 129","Hamilton",11,58,45,4,0,112,3,233,390
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 130","Hamilton",15,64,81,6,1,94,2,263,497
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 131","Ancaster",21,44,31,1,1,101,0,199,448
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 132","Ancaster",10,58,20,2,0,82,3,175,368
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 133","Ancaster",10,70,23,1,0,89,0,193,440
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 134","Ancaster",9,56,22,3,0,87,1,178,406
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 135","Ancaster",14,67,37,2,0,132,0,252,484
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 136","Ancaster",8,72,9,0,1,87,0,177,344
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 137","Ancaster",10,73,39,1,1,104,0,228,438
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 138","Hamilton",10,44,54,5,0,84,6,203,377
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 139","Hamilton",17,56,62,3,0,84,6,228,488
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 140","Hamilton",12,45,50,3,0,94,0,204,347
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 141","Hamilton",17,60,54,5,1,91,1,229,414
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 142","Hamilton",12,54,69,2,0,70,5,212,389
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 143","Hamilton",16,38,91,0,0,55,2,202,378
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 144","Ancaster",14,71,34,3,1,114,2,239,499
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 145","Ancaster",17,83,29,0,0,122,0,251,444
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 146","Ancaster",12,71,19,1,0,107,1,211,481
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 147","Ancaster",6,69,34,0,0,127,4,240,485
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 148","Ancaster",11,88,34,1,0,98,2,234,516
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 149","Hamilton",3,53,40,2,0,143,3,244,476
