Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Emilio Bernardo-Ciddio,Ann Raney,Anna Roberts,Deb Schulte,Anton Strgacic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 1","King",3,13,73,44,1,0,134,334
35043,"King--Vaughan/King--Vaughan"," 2","King",8,19,80,63,2,2,174,360
35043,"King--Vaughan/King--Vaughan"," 3","King",12,13,82,50,4,2,163,346
35043,"King--Vaughan/King--Vaughan"," 4","King",12,17,85,51,2,0,167,339
35043,"King--Vaughan/King--Vaughan"," 5","King",4,9,91,56,2,1,163,376
35043,"King--Vaughan/King--Vaughan"," 6","King",22,17,141,71,3,1,255,503
35043,"King--Vaughan/King--Vaughan"," 7","King",11,26,93,64,1,1,196,396
35043,"King--Vaughan/King--Vaughan"," 8","King",10,26,110,68,1,0,215,502
35043,"King--Vaughan/King--Vaughan"," 9","King",7,13,60,36,4,0,120,250
35043,"King--Vaughan/King--Vaughan"," 10","King",15,4,99,26,0,0,144,284
35043,"King--Vaughan/King--Vaughan"," 11","King City",7,6,79,45,4,1,142,302
35043,"King--Vaughan/King--Vaughan"," 12","King City",4,6,83,46,3,1,143,288
35043,"King--Vaughan/King--Vaughan"," 13","King City",8,13,49,57,1,1,129,274
35043,"King--Vaughan/King--Vaughan"," 14","King City",13,13,97,105,5,5,238,551
35043,"King--Vaughan/King--Vaughan"," 15","Schomberg",13,11,95,94,2,3,218,422
35043,"King--Vaughan/King--Vaughan"," 16","Schomberg",8,16,60,63,1,0,148,322
35043,"King--Vaughan/King--Vaughan"," 17","Schomberg",11,17,40,49,2,1,120,262
35043,"King--Vaughan/King--Vaughan"," 18","Schomberg",18,27,72,66,3,2,188,411
35043,"King--Vaughan/King--Vaughan"," 19","Schomberg",17,20,45,54,4,0,140,296
35043,"King--Vaughan/King--Vaughan"," 20","Schomberg",18,14,59,94,1,1,187,505
35043,"King--Vaughan/King--Vaughan"," 21","King",6,6,67,26,1,2,108,264
35043,"King--Vaughan/King--Vaughan"," 22","King",9,12,78,52,2,1,154,320
35043,"King--Vaughan/King--Vaughan"," 23","King",3,20,57,70,2,1,153,305
35043,"King--Vaughan/King--Vaughan"," 24","King City",16,20,187,118,4,1,346,637
35043,"King--Vaughan/King--Vaughan"," 25","King City",13,6,152,102,4,3,280,543
35043,"King--Vaughan/King--Vaughan"," 26","King City",18,25,128,97,9,1,278,585
35043,"King--Vaughan/King--Vaughan"," 27","King City",5,7,79,43,2,0,136,311
35043,"King--Vaughan/King--Vaughan"," 28","King",9,14,126,89,1,4,243,477
35043,"King--Vaughan/King--Vaughan"," 29","King City",5,11,84,43,0,1,144,300
35043,"King--Vaughan/King--Vaughan"," 30","King City",5,7,68,40,0,0,120,277
35043,"King--Vaughan/King--Vaughan"," 31","King City",7,21,96,67,0,3,194,464
