Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bokhari,Carol Dyck,Peter Fragiskatos,Salim Mansur,Dirka Prout,Clara Sorrenti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 1","London",65,6,110,3,61,0,0,245,601
35052,"London North Centre/London-Centre-Nord"," 2","London",103,21,123,13,48,1,1,310,591
35052,"London North Centre/London-Centre-Nord"," 3","London",61,18,125,9,50,0,1,264,461
35052,"London North Centre/London-Centre-Nord"," 4","London",54,15,75,12,41,0,6,203,376
35052,"London North Centre/London-Centre-Nord"," 5","London",63,8,98,4,39,0,3,215,425
35052,"London North Centre/London-Centre-Nord"," 6","London",73,20,94,6,47,1,1,242,463
35052,"London North Centre/London-Centre-Nord"," 7A","London",73,12,96,3,46,0,1,231,469
35052,"London North Centre/London-Centre-Nord"," 7B","London",71,7,79,5,38,0,3,203,420
35052,"London North Centre/London-Centre-Nord"," 8","London",59,8,112,7,55,0,2,243,502
35052,"London North Centre/London-Centre-Nord"," 9","London",38,9,86,3,30,0,5,171,366
35052,"London North Centre/London-Centre-Nord"," 10","London",44,12,83,2,29,0,0,170,331
35052,"London North Centre/London-Centre-Nord"," 11","London",60,7,87,4,39,0,3,200,436
35052,"London North Centre/London-Centre-Nord"," 12","London",91,11,116,4,33,0,0,255,509
35052,"London North Centre/London-Centre-Nord"," 13","London",54,14,120,3,58,0,3,252,431
35052,"London North Centre/London-Centre-Nord"," 14","London",48,17,109,7,58,0,1,240,451
35052,"London North Centre/London-Centre-Nord"," 15","London",73,14,124,1,38,0,2,252,587
35052,"London North Centre/London-Centre-Nord"," 16","London",82,11,119,6,39,0,1,258,607
35052,"London North Centre/London-Centre-Nord"," 17","London",55,11,97,0,19,0,0,182,372
35052,"London North Centre/London-Centre-Nord"," 18","London",63,10,103,1,35,0,5,217,440
35052,"London North Centre/London-Centre-Nord"," 19","London",68,22,112,4,29,0,3,238,440
35052,"London North Centre/London-Centre-Nord"," 20","London",59,18,129,10,29,1,1,247,494
35052,"London North Centre/London-Centre-Nord"," 21","London",50,14,138,6,42,0,6,256,529
35052,"London North Centre/London-Centre-Nord"," 22","London",33,14,75,15,50,0,3,190,491
35052,"London North Centre/London-Centre-Nord"," 23","London",29,11,83,1,65,0,1,190,461
35052,"London North Centre/London-Centre-Nord"," 24","London",70,20,118,4,46,0,1,259,416
35052,"London North Centre/London-Centre-Nord"," 25","London",43,25,96,6,35,0,3,208,378
35052,"London North Centre/London-Centre-Nord"," 26","London",59,8,117,3,47,0,2,236,433
35052,"London North Centre/London-Centre-Nord"," 27","London",72,20,128,5,56,1,1,283,453
35052,"London North Centre/London-Centre-Nord"," 28","London",40,17,96,7,67,0,2,229,480
35052,"London North Centre/London-Centre-Nord"," 29","London",76,33,158,7,44,0,1,319,478
35052,"London North Centre/London-Centre-Nord"," 30","London",61,21,191,15,44,0,2,334,485
35052,"London North Centre/London-Centre-Nord"," 31","London",86,37,136,8,45,0,0,312,465
35052,"London North Centre/London-Centre-Nord"," 32","London",64,11,91,4,44,0,1,215,433
35052,"London North Centre/London-Centre-Nord"," 33","London",45,13,111,9,19,1,4,202,397
35052,"London North Centre/London-Centre-Nord"," 34","London",59,19,97,5,24,0,2,206,444
35052,"London North Centre/London-Centre-Nord"," 35","London",96,8,53,1,18,0,2,178,364
35052,"London North Centre/London-Centre-Nord"," 36","London",58,9,109,0,20,1,1,198,410
35052,"London North Centre/London-Centre-Nord"," 37","London",91,20,146,2,40,0,10,309,441
35052,"London North Centre/London-Centre-Nord"," 38","London",51,6,90,5,28,3,1,184,270
35052,"London North Centre/London-Centre-Nord"," 39","London",46,4,76,7,47,3,5,188,440
35052,"London North Centre/London-Centre-Nord"," 40","London",60,10,79,5,33,0,0,187,386
35052,"London North Centre/London-Centre-Nord"," 41","London",60,19,100,3,53,1,3,239,489
35052,"London North Centre/London-Centre-Nord"," 42","London",45,21,49,9,101,1,1,227,562
35052,"London North Centre/London-Centre-Nord"," 43","London",30,7,62,0,53,2,4,158,370
35052,"London North Centre/London-Centre-Nord"," 44","London",45,16,40,4,101,1,0,207,541
35052,"London North Centre/London-Centre-Nord"," 45","London",35,14,49,2,52,0,4,156,368
35052,"London North Centre/London-Centre-Nord"," 46","London",22,5,47,3,38,0,6,121,379
35052,"London North Centre/London-Centre-Nord"," 47A","London",Merged with No./Fusionné avec le n°38,,,,,,,,174
35052,"London North Centre/London-Centre-Nord"," 47B","London",25,12,64,12,47,2,4,166,511
35052,"London North Centre/London-Centre-Nord"," 48","London",36,8,73,8,36,0,2,163,401
35052,"London North Centre/London-Centre-Nord"," 49","London",56,17,118,7,30,1,3,232,474
35052,"London North Centre/London-Centre-Nord"," 50","London",70,17,79,7,52,1,2,228,384
35052,"London North Centre/London-Centre-Nord"," 51","London",48,15,75,5,59,0,2,204,352
35052,"London North Centre/London-Centre-Nord"," 52","London",38,8,36,6,70,1,0,159,345
35052,"London North Centre/London-Centre-Nord"," 53","London",56,13,116,11,43,1,1,241,441
35052,"London North Centre/London-Centre-Nord"," 54","London",53,14,97,6,41,0,0,211,341
35052,"London North Centre/London-Centre-Nord"," 55","London",65,11,92,4,43,0,2,217,382
35052,"London North Centre/London-Centre-Nord"," 56","London",100,15,103,6,24,0,1,249,413
35052,"London North Centre/London-Centre-Nord"," 57A","London",125,5,132,4,35,0,3,304,594
35052,"London North Centre/London-Centre-Nord"," 57B","London",Merged with No./Fusionné avec le n°59,,,,,,,,195
35052,"London North Centre/London-Centre-Nord"," 58A","London",123,9,133,10,27,1,2,305,611
35052,"London North Centre/London-Centre-Nord"," 58B","London",Merged with No./Fusionné avec le n°62,,,,,,,,123
35052,"London North Centre/London-Centre-Nord"," 59","London",124,8,103,2,18,0,1,256,399
35052,"London North Centre/London-Centre-Nord"," 60","London",111,11,152,7,15,2,1,299,571
35052,"London North Centre/London-Centre-Nord"," 61","London",114,9,119,3,25,0,0,270,603
35052,"London North Centre/London-Centre-Nord"," 62","London",153,11,177,5,29,0,0,375,491
35052,"London North Centre/London-Centre-Nord"," 63","London",99,15,134,5,30,0,0,283,534
35052,"London North Centre/London-Centre-Nord"," 64","London",79,23,86,9,34,0,1,232,386
35052,"London North Centre/London-Centre-Nord"," 65","London",52,12,64,4,75,1,1,209,422
35052,"London North Centre/London-Centre-Nord"," 66","London",13,5,25,3,59,1,3,109,344
35052,"London North Centre/London-Centre-Nord"," 67","London",43,6,44,3,28,1,4,129,333
35052,"London North Centre/London-Centre-Nord"," 68","London",47,7,32,2,57,0,3,148,435
35052,"London North Centre/London-Centre-Nord"," 69","London",87,11,128,4,22,0,0,252,444
35052,"London North Centre/London-Centre-Nord"," 70","London",67,16,148,4,62,2,2,301,589
35052,"London North Centre/London-Centre-Nord"," 71","London",97,21,146,9,38,0,4,315,513
35052,"London North Centre/London-Centre-Nord"," 72","London",62,14,103,6,27,0,0,212,359
35052,"London North Centre/London-Centre-Nord"," 73","London",71,9,145,6,46,3,3,283,519
35052,"London North Centre/London-Centre-Nord"," 74","London",76,12,127,5,24,0,0,244,454
35052,"London North Centre/London-Centre-Nord"," 75","London",76,18,130,2,21,0,2,249,420
35052,"London North Centre/London-Centre-Nord"," 76","London",61,21,113,10,63,0,1,269,535
35052,"London North Centre/London-Centre-Nord"," 77","London",42,12,51,4,44,0,1,154,337
35052,"London North Centre/London-Centre-Nord"," 78","London",32,14,64,8,100,1,3,222,560
35052,"London North Centre/London-Centre-Nord"," 79","London",50,13,79,3,16,0,3,164,348
35052,"London North Centre/London-Centre-Nord"," 80","London",52,10,74,3,80,1,1,221,528
35052,"London North Centre/London-Centre-Nord"," 81","London",41,14,65,8,56,1,1,186,496
35052,"London North Centre/London-Centre-Nord"," 82","London",34,30,78,2,93,0,2,239,509
35052,"London North Centre/London-Centre-Nord"," 83","London",67,22,113,8,15,0,1,226,431
35052,"London North Centre/London-Centre-Nord"," 84","London",70,7,93,3,29,0,0,202,391
35052,"London North Centre/London-Centre-Nord"," 85","London",83,9,134,13,20,0,2,261,527
35052,"London North Centre/London-Centre-Nord"," 86","London",108,14,111,7,32,0,1,273,583
35052,"London North Centre/London-Centre-Nord"," 87","London",77,8,106,4,15,0,3,213,445
35052,"London North Centre/London-Centre-Nord"," 88","London",70,15,60,4,67,0,1,217,397
35052,"London North Centre/London-Centre-Nord"," 89","London",39,10,68,12,69,0,1,199,359
35052,"London North Centre/London-Centre-Nord"," 90A","London",38,11,53,6,80,1,2,191,451
35052,"London North Centre/London-Centre-Nord"," 90B","London",Merged with No./Fusionné avec le n°89,,,,,,,,81
35052,"London North Centre/London-Centre-Nord"," 91","London",68,14,61,16,75,0,1,235,439
35052,"London North Centre/London-Centre-Nord"," 92","London",51,21,74,5,86,0,3,240,476
35052,"London North Centre/London-Centre-Nord"," 93","London",41,17,67,9,77,0,5,216,408
35052,"London North Centre/London-Centre-Nord"," 94","London",41,24,67,11,72,1,0,216,476
35052,"London North Centre/London-Centre-Nord"," 95","London",47,22,115,6,53,0,1,244,453
35052,"London North Centre/London-Centre-Nord"," 96","London",29,7,46,6,61,1,1,151,358
35052,"London North Centre/London-Centre-Nord"," 97","London",47,17,102,12,25,2,0,205,402
35052,"London North Centre/London-Centre-Nord"," 98","London",77,13,105,3,28,0,1,227,472
35052,"London North Centre/London-Centre-Nord"," 99","London",53,23,92,3,56,0,1,228,387
35052,"London North Centre/London-Centre-Nord"," 100","London",71,14,122,3,37,1,2,250,496
35052,"London North Centre/London-Centre-Nord"," 101","London",62,7,69,3,16,0,2,159,410
35052,"London North Centre/London-Centre-Nord"," 102A","London",Merged with No./Fusionné avec le n°99,,,,,,,,137
35052,"London North Centre/London-Centre-Nord"," 102B","London",Merged with No./Fusionné avec le n°103,,,,,,,,132
35052,"London North Centre/London-Centre-Nord"," 103","London",85,16,79,4,18,0,0,202,368
35052,"London North Centre/London-Centre-Nord"," 104","London",62,31,141,1,88,0,0,323,485
35052,"London North Centre/London-Centre-Nord"," 105","London",64,25,84,8,98,0,3,282,477
35052,"London North Centre/London-Centre-Nord"," 106","London",43,31,75,7,105,1,3,265,490
35052,"London North Centre/London-Centre-Nord"," 107","London",39,25,120,5,79,1,1,270,539
35052,"London North Centre/London-Centre-Nord"," 108","London",78,19,103,2,26,3,0,231,498
35052,"London North Centre/London-Centre-Nord"," 109","London",68,26,102,10,49,0,2,257,417
35052,"London North Centre/London-Centre-Nord"," 110","London",89,10,70,2,20,0,2,193,399
35052,"London North Centre/London-Centre-Nord"," 111","London",31,9,40,7,78,1,1,167,428
35052,"London North Centre/London-Centre-Nord"," 112","London",22,9,24,3,70,1,0,129,463
35052,"London North Centre/London-Centre-Nord"," 113","London",36,11,81,3,104,0,0,235,474
35052,"London North Centre/London-Centre-Nord"," 114","London",45,17,65,10,65,0,0,202,476
35052,"London North Centre/London-Centre-Nord"," 115","London",53,18,100,13,102,0,1,287,489
35052,"London North Centre/London-Centre-Nord"," 116","London",41,17,92,4,58,2,5,219,476
35052,"London North Centre/London-Centre-Nord"," 117","London",36,18,112,9,80,0,3,258,471
35052,"London North Centre/London-Centre-Nord"," 118A","London",Merged with No./Fusionné avec le n°146,,,,,,,,245
35052,"London North Centre/London-Centre-Nord"," 118B","London",88,33,180,2,103,0,0,406,194
35052,"London North Centre/London-Centre-Nord"," 119","London",50,47,123,6,72,0,0,298,524
35052,"London North Centre/London-Centre-Nord"," 120","London",41,29,142,7,52,0,4,275,495
35052,"London North Centre/London-Centre-Nord"," 121","London",34,23,93,8,71,1,0,230,489
35052,"London North Centre/London-Centre-Nord"," 122","London",62,36,148,3,43,0,1,293,457
35052,"London North Centre/London-Centre-Nord"," 123A","London",45,28,115,4,35,1,0,228,524
35052,"London North Centre/London-Centre-Nord"," 123B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,61
35052,"London North Centre/London-Centre-Nord"," 124","London",57,24,136,5,41,1,0,264,456
35052,"London North Centre/London-Centre-Nord"," 125A","London",Merged with No./Fusionné avec le n°127,,,,,,,,99
35052,"London North Centre/London-Centre-Nord"," 125B","London",43,36,124,4,54,0,0,261,449
35052,"London North Centre/London-Centre-Nord"," 126","London",72,25,134,2,38,1,1,273,443
35052,"London North Centre/London-Centre-Nord"," 127","London",34,17,127,5,48,0,0,231,329
35052,"London North Centre/London-Centre-Nord"," 128","London",44,14,49,5,114,0,3,229,483
35052,"London North Centre/London-Centre-Nord"," 129A","London",53,14,73,4,70,0,0,214,445
35052,"London North Centre/London-Centre-Nord"," 129B","London",Merged with No./Fusionné avec le n°131,,,,,,,,68
35052,"London North Centre/London-Centre-Nord"," 130","London",25,25,75,7,107,1,0,240,506
35052,"London North Centre/London-Centre-Nord"," 131","London",22,22,66,3,61,0,2,176,371
35052,"London North Centre/London-Centre-Nord"," 132","London",57,32,121,9,48,0,1,268,458
35052,"London North Centre/London-Centre-Nord"," 133","London",56,20,122,8,77,0,0,283,502
35052,"London North Centre/London-Centre-Nord"," 134","London",33,17,63,7,97,1,3,221,447
35052,"London North Centre/London-Centre-Nord"," 135","London",33,17,63,10,85,0,1,209,448
35052,"London North Centre/London-Centre-Nord"," 136","London",38,13,44,4,67,0,4,170,485
35052,"London North Centre/London-Centre-Nord"," 137","London",53,17,50,7,69,1,0,197,467
35052,"London North Centre/London-Centre-Nord"," 138","London",59,30,104,5,39,0,4,241,439
35052,"London North Centre/London-Centre-Nord"," 139","London",44,27,104,6,33,0,0,214,416
35052,"London North Centre/London-Centre-Nord"," 140","London",44,38,80,6,24,1,0,193,358
35052,"London North Centre/London-Centre-Nord"," 141","London",52,31,105,3,37,0,1,229,412
35052,"London North Centre/London-Centre-Nord"," 142","London",35,13,70,3,62,0,1,184,398
35052,"London North Centre/London-Centre-Nord"," 143","London",21,26,64,4,92,0,0,207,486
35052,"London North Centre/London-Centre-Nord"," 144","London",32,13,47,2,71,1,1,167,452
