Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodore Antony,Hal Berman,Helena Jaczek,Jeremy Lin,Roy Long,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 1","Whitchurch-Stouffville",53,5,54,2,11,42,1,168,378
35054,"Markham--Stouffville/Markham--Stouffville"," 2","Whitchurch-Stouffville",104,11,54,4,7,47,0,227,477
35054,"Markham--Stouffville/Markham--Stouffville"," 3","Whitchurch-Stouffville",72,18,49,2,6,38,1,186,354
35054,"Markham--Stouffville/Markham--Stouffville"," 4","Whitchurch-Stouffville",86,12,56,3,11,62,0,230,496
35054,"Markham--Stouffville/Markham--Stouffville"," 5","Whitchurch-Stouffville",97,16,74,5,12,68,2,274,580
35054,"Markham--Stouffville/Markham--Stouffville"," 6","Whitchurch-Stouffville",72,12,42,0,11,57,2,196,435
35054,"Markham--Stouffville/Markham--Stouffville"," 7","Whitchurch-Stouffville",59,11,59,1,1,48,4,183,495
35054,"Markham--Stouffville/Markham--Stouffville"," 8","Whitchurch-Stouffville",46,1,59,0,3,57,0,166,355
35054,"Markham--Stouffville/Markham--Stouffville"," 9","Whitchurch-Stouffville",74,5,85,0,4,57,0,225,455
35054,"Markham--Stouffville/Markham--Stouffville"," 10","Whitchurch-Stouffville",72,2,80,0,5,90,0,249,466
35054,"Markham--Stouffville/Markham--Stouffville"," 11","Whitchurch-Stouffville",47,1,68,0,1,73,0,190,373
35054,"Markham--Stouffville/Markham--Stouffville"," 12","Whitchurch-Stouffville",102,16,63,4,15,59,1,260,503
35054,"Markham--Stouffville/Markham--Stouffville"," 13","Whitchurch-Stouffville",66,15,48,2,15,32,2,180,374
35054,"Markham--Stouffville/Markham--Stouffville"," 14","Whitchurch-Stouffville",83,11,39,1,3,36,0,173,398
