Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,David Micalef,Milad Mikael,Hugo Reinoso,Greg Vezina,Sarah Walji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 1","Mississauga",128,0,96,7,1,17,0,249,472
35058,"Mississauga Centre/Mississauga-Centre"," 2","Mississauga",109,3,67,2,4,27,4,216,401
35058,"Mississauga Centre/Mississauga-Centre"," 3","Mississauga",137,5,80,6,0,17,0,245,436
35058,"Mississauga Centre/Mississauga-Centre"," 4","Mississauga",136,2,69,8,0,19,2,236,443
35058,"Mississauga Centre/Mississauga-Centre"," 5","Mississauga",110,4,64,4,0,28,2,212,405
35058,"Mississauga Centre/Mississauga-Centre"," 6","Mississauga",134,4,75,7,3,18,2,243,550
35058,"Mississauga Centre/Mississauga-Centre"," 7","Mississauga",58,2,36,10,2,9,0,117,381
35058,"Mississauga Centre/Mississauga-Centre"," 8","Mississauga",103,3,51,14,0,26,0,197,452
35058,"Mississauga Centre/Mississauga-Centre"," 9A","Mississauga",120,1,59,10,0,34,1,225,498
35058,"Mississauga Centre/Mississauga-Centre"," 9B","Mississauga",89,5,49,4,1,21,0,169,445
35058,"Mississauga Centre/Mississauga-Centre"," 9C","Mississauga",93,4,62,8,2,22,3,194,445
35058,"Mississauga Centre/Mississauga-Centre"," 9D","Mississauga",85,6,54,8,4,23,2,182,458
35058,"Mississauga Centre/Mississauga-Centre"," 10","Mississauga",159,6,53,7,1,17,2,245,514
35058,"Mississauga Centre/Mississauga-Centre"," 11","Mississauga",153,3,55,4,3,35,1,254,492
35058,"Mississauga Centre/Mississauga-Centre"," 12","Mississauga",109,1,62,9,3,19,0,203,432
35058,"Mississauga Centre/Mississauga-Centre"," 13","Mississauga",175,5,87,15,2,33,5,322,528
35058,"Mississauga Centre/Mississauga-Centre"," 14","Mississauga",73,1,44,1,1,16,0,136,373
35058,"Mississauga Centre/Mississauga-Centre"," 15","Mississauga",98,1,37,0,0,6,0,142,326
35058,"Mississauga Centre/Mississauga-Centre"," 16","Mississauga",132,3,71,3,2,19,1,231,473
35058,"Mississauga Centre/Mississauga-Centre"," 17","Mississauga",100,4,45,9,0,23,2,183,456
35058,"Mississauga Centre/Mississauga-Centre"," 18","Mississauga",76,9,35,13,0,30,0,163,368
35058,"Mississauga Centre/Mississauga-Centre"," 19","Mississauga",Merged with No./Fusionné avec le n°21,,,,,,,,60
35058,"Mississauga Centre/Mississauga-Centre"," 20","Mississauga",126,4,93,10,2,19,0,254,545
35058,"Mississauga Centre/Mississauga-Centre"," 21","Mississauga",103,4,71,4,3,18,1,204,325
35058,"Mississauga Centre/Mississauga-Centre"," 22A","Mississauga",109,4,62,13,0,16,3,207,398
35058,"Mississauga Centre/Mississauga-Centre"," 22B","Mississauga",69,3,49,5,0,11,2,139,344
35058,"Mississauga Centre/Mississauga-Centre"," 23","Mississauga",99,2,55,8,2,30,2,198,532
35058,"Mississauga Centre/Mississauga-Centre"," 24","Mississauga",113,4,58,6,2,22,2,207,503
35058,"Mississauga Centre/Mississauga-Centre"," 25","Mississauga",84,4,41,5,1,14,1,150,371
35058,"Mississauga Centre/Mississauga-Centre"," 26","Mississauga",88,2,56,9,0,27,0,182,446
35058,"Mississauga Centre/Mississauga-Centre"," 27","Mississauga",112,3,47,4,1,29,0,196,409
35058,"Mississauga Centre/Mississauga-Centre"," 28","Mississauga",91,0,42,4,0,18,1,156,391
35058,"Mississauga Centre/Mississauga-Centre"," 29","Mississauga",59,0,38,1,0,15,0,113,287
35058,"Mississauga Centre/Mississauga-Centre"," 30","Mississauga",105,5,59,5,0,19,1,194,491
35058,"Mississauga Centre/Mississauga-Centre"," 31","Mississauga",122,3,67,4,0,15,0,211,517
35058,"Mississauga Centre/Mississauga-Centre"," 32","Mississauga",79,1,44,3,0,9,3,139,355
35058,"Mississauga Centre/Mississauga-Centre"," 33","Mississauga",73,2,33,3,2,18,1,132,360
35058,"Mississauga Centre/Mississauga-Centre"," 34","Mississauga",149,2,90,10,1,12,0,264,567
35058,"Mississauga Centre/Mississauga-Centre"," 35","Mississauga",119,2,54,0,1,17,1,194,344
35058,"Mississauga Centre/Mississauga-Centre"," 36","Mississauga",113,9,64,7,0,12,1,206,368
35058,"Mississauga Centre/Mississauga-Centre"," 37","Mississauga",146,1,69,6,1,31,0,254,555
35058,"Mississauga Centre/Mississauga-Centre"," 38","Mississauga",84,7,56,4,3,31,2,187,471
35058,"Mississauga Centre/Mississauga-Centre"," 39","Mississauga",138,1,59,9,2,17,0,226,501
35058,"Mississauga Centre/Mississauga-Centre"," 40","Mississauga",155,5,44,2,3,42,3,254,458
35058,"Mississauga Centre/Mississauga-Centre"," 41","Mississauga",73,5,37,3,0,8,7,133,288
35058,"Mississauga Centre/Mississauga-Centre"," 42","Mississauga",68,2,25,6,0,7,0,108,351
35058,"Mississauga Centre/Mississauga-Centre"," 43","Mississauga",101,3,47,6,0,11,1,169,389
35058,"Mississauga Centre/Mississauga-Centre"," 44","Mississauga",65,6,34,9,0,15,1,130,343
35058,"Mississauga Centre/Mississauga-Centre"," 45","Mississauga",64,5,48,10,0,16,1,144,342
35058,"Mississauga Centre/Mississauga-Centre"," 46","Mississauga",126,5,64,4,0,26,3,228,465
35058,"Mississauga Centre/Mississauga-Centre"," 47","Mississauga",101,8,62,5,0,15,3,194,524
35058,"Mississauga Centre/Mississauga-Centre"," 48","Mississauga",129,5,61,8,0,10,4,217,300
35058,"Mississauga Centre/Mississauga-Centre"," 49","Mississauga",105,2,29,1,0,16,0,153,376
35058,"Mississauga Centre/Mississauga-Centre"," 50A","Mississauga",86,1,34,5,0,22,4,152,388
35058,"Mississauga Centre/Mississauga-Centre"," 50B","Mississauga",51,3,30,2,2,14,0,102,336
35058,"Mississauga Centre/Mississauga-Centre"," 51","Mississauga",93,4,81,2,0,15,3,198,468
35058,"Mississauga Centre/Mississauga-Centre"," 52","Mississauga",126,6,57,3,1,14,0,207,570
35058,"Mississauga Centre/Mississauga-Centre"," 53","Mississauga",111,5,56,2,0,27,1,202,483
35058,"Mississauga Centre/Mississauga-Centre"," 54","Mississauga",127,0,49,2,0,13,5,196,421
35058,"Mississauga Centre/Mississauga-Centre"," 55","Mississauga",104,0,72,9,4,15,1,205,541
35058,"Mississauga Centre/Mississauga-Centre"," 56","Mississauga",92,7,43,4,1,16,0,163,332
35058,"Mississauga Centre/Mississauga-Centre"," 57","Mississauga",152,6,76,7,2,44,1,288,586
35058,"Mississauga Centre/Mississauga-Centre"," 58","Mississauga",141,2,56,9,0,27,1,236,447
35058,"Mississauga Centre/Mississauga-Centre"," 59","Mississauga",109,5,54,4,1,20,1,194,387
35058,"Mississauga Centre/Mississauga-Centre"," 60","Mississauga",112,4,83,10,0,14,1,224,484
35058,"Mississauga Centre/Mississauga-Centre"," 61","Mississauga",82,1,43,3,1,13,2,145,397
35058,"Mississauga Centre/Mississauga-Centre"," 62","Mississauga",55,1,48,1,0,11,0,116,438
35058,"Mississauga Centre/Mississauga-Centre"," 63","Mississauga",90,1,36,2,0,13,2,144,495
35058,"Mississauga Centre/Mississauga-Centre"," 64","Mississauga",99,5,46,3,0,24,2,179,546
35058,"Mississauga Centre/Mississauga-Centre"," 65","Mississauga",102,1,63,7,1,25,1,200,579
35058,"Mississauga Centre/Mississauga-Centre"," 66","Mississauga",150,0,84,7,0,21,0,262,543
35058,"Mississauga Centre/Mississauga-Centre"," 67","Mississauga",126,2,59,1,0,19,0,207,510
35058,"Mississauga Centre/Mississauga-Centre"," 68","Mississauga",119,4,58,3,0,13,0,197,424
35058,"Mississauga Centre/Mississauga-Centre"," 69","Mississauga",149,1,92,5,0,39,2,288,582
35058,"Mississauga Centre/Mississauga-Centre"," 70","Mississauga",109,1,61,3,0,14,2,190,379
35058,"Mississauga Centre/Mississauga-Centre"," 71","Mississauga",144,3,90,15,2,28,2,284,603
35058,"Mississauga Centre/Mississauga-Centre"," 72","Mississauga",102,5,76,5,5,17,1,211,434
35058,"Mississauga Centre/Mississauga-Centre"," 73","Mississauga",124,4,95,6,3,30,1,263,521
35058,"Mississauga Centre/Mississauga-Centre"," 74","Mississauga",114,8,57,6,1,12,1,199,410
35058,"Mississauga Centre/Mississauga-Centre"," 75","Mississauga",104,3,62,6,1,18,0,194,546
35058,"Mississauga Centre/Mississauga-Centre"," 76","Mississauga",99,3,19,0,0,9,2,132,352
35058,"Mississauga Centre/Mississauga-Centre"," 77","Mississauga",122,2,90,2,0,27,0,243,596
35058,"Mississauga Centre/Mississauga-Centre"," 78","Mississauga",74,1,69,6,1,10,2,163,361
35058,"Mississauga Centre/Mississauga-Centre"," 79","Mississauga",101,4,89,6,0,25,2,227,512
35058,"Mississauga Centre/Mississauga-Centre"," 80A","Mississauga",89,0,53,3,0,17,2,164,315
35058,"Mississauga Centre/Mississauga-Centre"," 80B","Mississauga",80,2,56,5,1,13,0,157,323
35058,"Mississauga Centre/Mississauga-Centre"," 81","Mississauga",133,5,82,4,3,17,0,244,573
35058,"Mississauga Centre/Mississauga-Centre"," 82","Mississauga",121,1,53,8,2,16,5,206,497
35058,"Mississauga Centre/Mississauga-Centre"," 83","Mississauga",100,4,42,6,1,16,1,170,394
35058,"Mississauga Centre/Mississauga-Centre"," 84","Mississauga",94,5,67,7,3,14,4,194,437
35058,"Mississauga Centre/Mississauga-Centre"," 85","Mississauga",75,4,52,4,1,18,0,154,445
35058,"Mississauga Centre/Mississauga-Centre"," 86","Mississauga",54,1,50,3,0,13,2,123,335
35058,"Mississauga Centre/Mississauga-Centre"," 87","Mississauga",42,0,26,5,0,13,0,86,352
35058,"Mississauga Centre/Mississauga-Centre"," 88","Mississauga",88,1,56,6,1,16,1,169,475
35058,"Mississauga Centre/Mississauga-Centre"," 89","Mississauga",88,6,60,5,4,25,4,192,306
35058,"Mississauga Centre/Mississauga-Centre"," 90","Mississauga",109,4,60,8,0,28,0,209,429
35058,"Mississauga Centre/Mississauga-Centre"," 91","Mississauga",117,5,61,12,0,18,3,216,437
35058,"Mississauga Centre/Mississauga-Centre"," 92","Mississauga",114,2,73,7,1,24,3,224,355
35058,"Mississauga Centre/Mississauga-Centre"," 93","Mississauga",80,3,77,8,3,13,2,186,334
35058,"Mississauga Centre/Mississauga-Centre"," 94","Mississauga",86,2,71,12,3,25,1,200,452
35058,"Mississauga Centre/Mississauga-Centre"," 95","Mississauga",79,0,74,9,0,22,0,184,368
35058,"Mississauga Centre/Mississauga-Centre"," 96","Mississauga",83,6,81,7,1,10,2,190,367
35058,"Mississauga Centre/Mississauga-Centre"," 97","Mississauga",216,2,89,8,4,17,0,336,712
35058,"Mississauga Centre/Mississauga-Centre"," 98","Mississauga",65,3,39,5,1,16,1,130,339
35058,"Mississauga Centre/Mississauga-Centre"," 99","Mississauga",83,5,50,8,3,15,2,166,329
35058,"Mississauga Centre/Mississauga-Centre"," 100","Mississauga",127,2,52,12,1,31,2,227,504
35058,"Mississauga Centre/Mississauga-Centre"," 101","Mississauga",123,4,101,10,2,41,1,282,598
35058,"Mississauga Centre/Mississauga-Centre"," 102","Mississauga",111,5,72,10,0,20,0,218,503
35058,"Mississauga Centre/Mississauga-Centre"," 103","Mississauga",82,3,50,7,0,33,2,177,427
35058,"Mississauga Centre/Mississauga-Centre"," 104","Mississauga",111,4,59,10,2,13,2,201,506
35058,"Mississauga Centre/Mississauga-Centre"," 105","Mississauga",123,5,54,7,2,25,0,216,427
35058,"Mississauga Centre/Mississauga-Centre"," 106","Mississauga",123,1,56,3,1,24,4,212,449
35058,"Mississauga Centre/Mississauga-Centre"," 107","Mississauga",67,9,34,6,1,16,1,134,353
35058,"Mississauga Centre/Mississauga-Centre"," 108","Mississauga",85,1,58,4,2,16,3,169,458
35058,"Mississauga Centre/Mississauga-Centre"," 109","Mississauga",105,1,64,6,0,11,1,188,490
35058,"Mississauga Centre/Mississauga-Centre"," 110","Mississauga",55,1,44,7,0,3,0,110,305
35058,"Mississauga Centre/Mississauga-Centre"," 111","Mississauga",74,3,40,4,2,7,0,130,311
35058,"Mississauga Centre/Mississauga-Centre"," 112","Mississauga",93,0,51,4,0,16,2,166,371
35058,"Mississauga Centre/Mississauga-Centre"," 113","Mississauga",78,1,57,1,0,7,1,145,358
35058,"Mississauga Centre/Mississauga-Centre"," 114","Mississauga",69,3,45,6,1,15,0,139,402
35058,"Mississauga Centre/Mississauga-Centre"," 115","Mississauga",88,4,69,4,2,29,1,197,429
35058,"Mississauga Centre/Mississauga-Centre"," 116","Mississauga",123,5,49,5,1,21,1,205,536
35058,"Mississauga Centre/Mississauga-Centre"," 117","Mississauga",120,0,36,2,0,11,0,169,429
35058,"Mississauga Centre/Mississauga-Centre"," 118","Mississauga",111,6,79,9,0,31,6,242,580
35058,"Mississauga Centre/Mississauga-Centre"," 119","Mississauga",94,4,44,2,0,15,4,163,542
35058,"Mississauga Centre/Mississauga-Centre"," 120","Mississauga",111,1,44,4,2,23,1,186,546
35058,"Mississauga Centre/Mississauga-Centre"," 121","Mississauga",111,6,64,12,2,35,3,233,479
35058,"Mississauga Centre/Mississauga-Centre"," 122","Mississauga",76,6,76,6,1,15,0,180,376
35058,"Mississauga Centre/Mississauga-Centre"," 123","Mississauga",107,4,78,10,4,20,1,224,458
35058,"Mississauga Centre/Mississauga-Centre"," 124","Mississauga",60,1,34,4,0,20,0,119,279
35058,"Mississauga Centre/Mississauga-Centre"," 125","Mississauga",71,3,72,12,2,25,0,185,397
35058,"Mississauga Centre/Mississauga-Centre"," 126","Mississauga",65,5,47,5,2,20,2,146,436
35058,"Mississauga Centre/Mississauga-Centre"," 127","Mississauga",78,4,62,6,2,29,3,184,452
35058,"Mississauga Centre/Mississauga-Centre"," 128","Mississauga",80,3,55,3,1,13,1,156,383
35058,"Mississauga Centre/Mississauga-Centre"," 129","Mississauga",105,5,59,2,2,19,5,197,426
35058,"Mississauga Centre/Mississauga-Centre"," 130","Mississauga",98,2,81,11,0,21,0,213,422
35058,"Mississauga Centre/Mississauga-Centre"," 131","Mississauga",120,8,42,4,2,15,1,192,422
35058,"Mississauga Centre/Mississauga-Centre"," 132","Mississauga",67,1,104,10,1,12,0,195,388
35058,"Mississauga Centre/Mississauga-Centre"," 400","Mississauga",90,2,57,4,2,22,5,182,294
35058,"Mississauga Centre/Mississauga-Centre"," 401","Mississauga",170,4,84,10,0,19,0,287,582
35058,"Mississauga Centre/Mississauga-Centre"," 402","Mississauga",220,4,70,8,3,30,0,335,653
35058,"Mississauga Centre/Mississauga-Centre"," 403","Mississauga",189,7,132,4,1,19,8,360,581
35058,"Mississauga Centre/Mississauga-Centre"," 404","Mississauga",242,4,118,11,1,13,3,392,591
35058,"Mississauga Centre/Mississauga-Centre"," 405","Mississauga",132,4,69,17,0,19,4,245,430
35058,"Mississauga Centre/Mississauga-Centre"," 406","Mississauga",178,5,42,7,1,34,2,269,467
35058,"Mississauga Centre/Mississauga-Centre"," 407","Mississauga",115,5,58,3,1,17,4,203,326
35058,"Mississauga Centre/Mississauga-Centre"," 408","Mississauga",111,3,66,8,1,16,2,207,329
35058,"Mississauga Centre/Mississauga-Centre"," 409","Mississauga",98,1,40,3,0,31,2,175,330
35058,"Mississauga Centre/Mississauga-Centre"," 410","Mississauga",84,5,21,1,0,16,0,127,235
35058,"Mississauga Centre/Mississauga-Centre"," 411","Mississauga",66,2,46,4,0,19,1,138,213
35058,"Mississauga Centre/Mississauga-Centre"," 412","Mississauga",121,4,58,8,3,19,5,218,349
35058,"Mississauga Centre/Mississauga-Centre"," 413","Mississauga",58,2,24,3,0,0,2,89,175
35058,"Mississauga Centre/Mississauga-Centre"," 414","Mississauga",61,3,31,3,0,3,4,105,177
35058,"Mississauga Centre/Mississauga-Centre"," 415","Mississauga",94,1,34,3,0,16,1,149,303
35058,"Mississauga Centre/Mississauga-Centre"," 416","Mississauga",101,1,32,8,1,17,3,163,361
35058,"Mississauga Centre/Mississauga-Centre"," 417","Mississauga",81,0,33,9,1,11,1,136,275
35058,"Mississauga Centre/Mississauga-Centre"," 418","Mississauga",86,6,39,7,0,15,1,154,358
35058,"Mississauga Centre/Mississauga-Centre"," 419","Mississauga",178,3,63,14,3,32,0,293,594
35058,"Mississauga Centre/Mississauga-Centre"," 420","Mississauga",153,5,67,10,1,29,6,271,452
35058,"Mississauga Centre/Mississauga-Centre"," 421","Mississauga",135,1,63,7,1,13,4,224,389
35058,"Mississauga Centre/Mississauga-Centre"," 422","Mississauga",179,5,80,5,1,11,6,287,504
35058,"Mississauga Centre/Mississauga-Centre"," 423","Mississauga",94,4,37,4,0,20,1,160,415
35058,"Mississauga Centre/Mississauga-Centre"," 424","Mississauga",103,1,49,7,1,22,0,183,334
35058,"Mississauga Centre/Mississauga-Centre"," 425","Mississauga",41,3,31,6,1,14,2,98,276
35058,"Mississauga Centre/Mississauga-Centre"," 426","Mississauga",150,9,69,4,1,41,0,274,514
35058,"Mississauga Centre/Mississauga-Centre"," 427","Mississauga",145,5,60,7,4,26,4,251,429
35058,"Mississauga Centre/Mississauga-Centre"," 428","Mississauga",150,3,72,8,3,37,4,277,427
35058,"Mississauga Centre/Mississauga-Centre"," 429","Mississauga",73,4,25,3,0,6,2,113,307
35058,"Mississauga Centre/Mississauga-Centre"," 430","Mississauga",82,3,56,2,1,21,0,165,311
35058,"Mississauga Centre/Mississauga-Centre"," 431","Mississauga",93,0,33,13,0,3,0,142,316
35058,"Mississauga Centre/Mississauga-Centre"," 432","Mississauga",89,4,39,3,1,17,0,153,326
35058,"Mississauga Centre/Mississauga-Centre"," 433","Mississauga",178,7,88,3,4,15,3,298,491
