Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hazar Alsabagh,Remo Boscarino-Gaetano,Iqra Khalid,Salman Tariq,Hani Tawfilis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 1","Mississauga",5,10,103,22,101,0,241,520
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 2A","Mississauga",1,1,79,24,61,2,168,451
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 2B","Mississauga",2,2,62,14,11,3,94,185
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 3","Mississauga",4,12,107,28,94,5,250,516
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 4","Mississauga",1,10,112,16,119,1,259,527
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 5","Mississauga",3,9,103,23,75,2,215,544
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 6","Mississauga",2,9,110,18,57,3,199,463
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 7","Mississauga",5,14,160,13,61,3,256,647
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 8","Mississauga",3,13,108,26,65,0,215,431
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 9","Mississauga",1,9,114,22,81,1,228,601
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 10","Mississauga",1,15,129,35,84,1,265,585
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 11","Mississauga",5,7,66,14,72,1,165,356
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 12","Mississauga",6,10,97,19,85,4,221,481
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 13","Mississauga",3,7,105,22,53,1,191,404
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 14","Mississauga",1,6,88,19,88,0,202,448
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 15","Mississauga",1,11,97,6,97,5,217,491
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 16","Mississauga",5,7,86,12,101,2,213,438
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 17","Mississauga",6,8,77,11,114,0,216,385
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 18","Mississauga",3,13,109,15,109,2,251,468
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 19","Mississauga",2,8,103,20,117,2,252,464
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 20","Mississauga",2,6,98,22,71,1,200,464
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 21","Mississauga",3,3,77,26,55,1,165,351
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 22","Mississauga",4,5,100,17,53,2,181,397
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 23","Mississauga",8,4,68,8,62,0,150,359
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 24","Mississauga",3,5,88,21,98,3,218,416
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 25","Mississauga",1,4,69,29,48,1,152,427
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 26","Mississauga",4,9,134,12,90,1,250,491
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 27","Mississauga",2,9,82,9,61,0,163,419
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 28","Mississauga",2,11,53,12,57,2,137,357
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 29","Mississauga",1,7,112,29,61,0,210,532
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 30","Mississauga",4,7,89,12,51,0,163,495
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 31","Mississauga",1,3,111,21,45,1,182,512
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 32","Mississauga",4,3,75,7,43,2,134,422
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 33","Mississauga",2,3,77,11,60,1,154,467
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 34","Mississauga",2,13,113,26,56,2,212,569
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 35","Mississauga",2,5,88,11,46,1,153,424
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 36","Mississauga",0,8,104,22,41,1,176,418
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 37","Mississauga",1,11,175,29,102,6,324,842
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 38","Mississauga",3,6,97,16,97,0,219,535
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 39","Mississauga",1,8,109,19,83,0,220,524
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 40","Mississauga",4,6,89,17,61,1,178,509
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 41","Mississauga",2,11,97,13,70,1,194,488
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 42","Mississauga",1,7,123,23,46,0,200,614
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 43","Mississauga",2,5,89,22,38,4,160,433
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 44","Mississauga",3,9,90,12,57,2,173,490
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 45","Mississauga",3,7,105,12,59,2,188,392
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 46","Mississauga",2,14,77,16,59,0,168,342
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 47","Mississauga",5,13,124,19,66,3,230,407
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 48","Mississauga",2,8,83,18,66,2,179,403
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 49","Mississauga",6,5,75,15,56,4,161,351
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 50","Mississauga",7,7,149,21,83,1,268,567
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 51","Mississauga",4,18,118,16,80,1,237,526
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 52","Mississauga",1,13,44,5,28,2,93,301
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 53","Mississauga",0,6,90,16,62,1,175,430
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 54","Mississauga",0,4,96,16,44,5,165,424
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 55","Mississauga",0,0,69,10,54,5,138,431
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 56","Mississauga",0,4,66,16,60,4,150,409
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 57","Mississauga",2,8,154,28,53,1,246,654
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 58","Mississauga",1,2,158,13,39,2,215,632
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 59","Mississauga",0,9,99,15,48,2,173,456
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 60","Mississauga",4,8,89,21,69,2,193,483
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 61","Mississauga",2,10,101,22,63,3,201,534
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 62","Mississauga",3,5,110,14,80,1,213,405
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 63","Mississauga",0,4,114,27,64,0,209,505
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 64","Mississauga",2,5,139,21,64,2,233,509
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 65","Mississauga",4,9,136,26,89,2,266,615
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 66","Mississauga",2,4,102,18,85,0,211,498
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 67","Mississauga",3,4,99,18,82,1,207,429
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 68A","Mississauga",3,7,88,18,41,1,158,330
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 68B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,148
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 68C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,82
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 69","Mississauga",5,9,114,26,65,2,221,497
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 70","Mississauga",1,8,123,18,47,1,198,428
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 71","Mississauga",5,5,83,15,52,4,164,303
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 72","Mississauga",0,5,138,26,64,2,235,666
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 73","Mississauga",2,4,129,30,72,1,238,602
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 74","Mississauga",3,16,115,15,58,3,210,570
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 75","Mississauga",1,3,91,7,60,4,166,422
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 76","Mississauga",1,2,124,19,50,4,200,631
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 77","Mississauga",0,4,121,25,40,4,194,530
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 78","Mississauga",0,11,134,29,48,6,228,673
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 79","Mississauga",1,4,132,17,50,2,206,689
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 80","Mississauga",8,7,130,22,63,4,234,590
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 81","Mississauga",1,5,105,16,60,6,193,591
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 82","Mississauga",5,9,88,22,32,3,159,394
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 83","Mississauga",3,6,81,18,63,0,171,415
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 84","Mississauga",4,5,73,5,47,2,136,455
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 85","Mississauga",1,4,51,16,40,0,112,337
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 86A","Mississauga",Merged with No./Fusionné avec le n°88,,,,,,,182
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 86B","Mississauga",1,2,89,13,73,3,181,186
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 87","Mississauga",6,15,102,35,58,0,216,499
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 88","Mississauga",4,22,100,21,84,0,231,332
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 89","Mississauga",0,12,108,11,90,1,222,424
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 90A","Mississauga",2,6,77,30,26,0,141,343
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 90B","Mississauga",4,1,49,8,30,2,94,177
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 91","Mississauga",1,9,71,36,83,1,201,394
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 92","Mississauga",7,15,98,38,82,1,241,446
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 93","Mississauga",2,22,118,23,71,1,237,524
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 94","Mississauga",2,7,76,11,46,3,145,402
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 95","Mississauga",2,4,85,13,45,3,152,470
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 96","Mississauga",4,6,90,12,55,0,167,473
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 97","Mississauga",0,4,60,19,72,1,156,502
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 98","Mississauga",3,6,100,19,48,3,179,498
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 99","Mississauga",0,5,89,10,61,1,166,480
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 100","Mississauga",2,9,87,19,45,0,162,474
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 101","Mississauga",2,11,114,23,56,1,207,544
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 102","Mississauga",1,8,92,21,71,5,198,454
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 103","Mississauga",4,12,129,32,85,1,263,555
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 104","Mississauga",1,5,93,16,46,1,162,387
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 105","Mississauga",3,5,76,29,62,4,179,635
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 106","Mississauga",1,6,75,26,61,3,172,315
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 107","Mississauga",1,9,78,36,30,1,155,399
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 108","Mississauga",1,4,58,6,62,1,132,492
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 109","Mississauga",0,4,80,19,67,4,174,534
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 110","Mississauga",2,2,83,8,42,2,139,503
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 111","Mississauga",0,9,67,19,54,0,149,423
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 112","Mississauga",1,12,62,17,54,4,150,479
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 113","Mississauga",5,7,69,12,55,2,150,456
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 114","Mississauga",0,6,82,23,48,0,159,398
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 115","Mississauga",0,10,113,23,32,3,181,466
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 116","Mississauga",2,8,89,32,95,2,228,485
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 117","Mississauga",4,16,97,29,69,2,217,444
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 118","Mississauga",3,18,114,14,90,0,239,485
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 119","Mississauga",4,6,80,17,54,1,162,403
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 120","Mississauga",5,11,110,27,80,1,234,459
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 121","Mississauga",0,3,103,9,73,5,193,545
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 122","Mississauga",0,2,117,21,73,0,213,514
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 123","Mississauga",0,3,73,11,65,4,156,428
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills"," 124","Mississauga",3,1,112,19,67,1,203,515
