Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Navdeep Bains,Prudence Buchanan,Frank Chilelli,Nikki Clarke,Tahir Gora,Christina Porter,Tom Varughese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 1","Mississauga",139,0,1,30,2,4,35,6,217,419
35062,"Mississauga--Malton/Mississauga--Malton"," 2","Mississauga",201,1,4,58,0,3,42,2,311,558
35062,"Mississauga--Malton/Mississauga--Malton"," 3","Mississauga",162,2,0,41,1,6,43,1,256,513
35062,"Mississauga--Malton/Mississauga--Malton"," 4","Mississauga",159,2,1,25,4,4,48,1,244,578
35062,"Mississauga--Malton/Mississauga--Malton"," 5","Mississauga",112,1,1,21,1,6,39,1,182,397
35062,"Mississauga--Malton/Mississauga--Malton"," 6","Mississauga",181,2,1,53,4,5,31,3,280,559
35062,"Mississauga--Malton/Mississauga--Malton"," 7","Mississauga",99,3,0,29,2,5,28,1,167,359
35062,"Mississauga--Malton/Mississauga--Malton"," 8","Mississauga",82,1,0,31,0,3,37,2,156,332
35062,"Mississauga--Malton/Mississauga--Malton"," 9","Mississauga",114,0,1,22,4,5,16,1,163,383
35062,"Mississauga--Malton/Mississauga--Malton"," 10","Mississauga",148,1,0,25,0,3,30,1,208,428
35062,"Mississauga--Malton/Mississauga--Malton"," 11","Mississauga",108,2,0,32,0,2,31,0,175,348
35062,"Mississauga--Malton/Mississauga--Malton"," 12","Mississauga",86,0,0,21,1,3,40,5,156,321
35062,"Mississauga--Malton/Mississauga--Malton"," 13","Mississauga",75,0,1,30,4,3,15,4,132,550
35062,"Mississauga--Malton/Mississauga--Malton"," 14","Mississauga",105,2,0,21,5,2,27,6,168,423
35062,"Mississauga--Malton/Mississauga--Malton"," 15","Mississauga",102,0,1,30,4,2,26,0,165,367
35062,"Mississauga--Malton/Mississauga--Malton"," 16","Mississauga",104,1,0,20,2,1,16,3,147,332
35062,"Mississauga--Malton/Mississauga--Malton"," 17","Mississauga",100,1,0,23,2,2,19,0,147,358
35062,"Mississauga--Malton/Mississauga--Malton"," 18","Mississauga",133,2,0,37,2,2,42,0,218,378
35062,"Mississauga--Malton/Mississauga--Malton"," 19","Mississauga",77,0,1,27,0,0,33,1,139,353
35062,"Mississauga--Malton/Mississauga--Malton"," 20","Mississauga",134,0,0,48,2,0,28,3,215,415
35062,"Mississauga--Malton/Mississauga--Malton"," 21","Mississauga",91,0,0,30,0,1,23,4,149,342
