Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zaff Ansari,Chandra Arya,Jean-Luc Cooke,Azim Hooda,Brian St. Louis,Dustan Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 1","Nepean",29,72,7,2,40,0,1,151,408
35064,"Nepean/Nepean"," 2","Nepean",27,72,19,2,38,0,0,158,412
35064,"Nepean/Nepean"," 3","Nepean",24,75,14,2,58,0,3,176,433
35064,"Nepean/Nepean"," 4","Nepean",40,99,12,3,28,1,1,184,452
35064,"Nepean/Nepean"," 5","Nepean",26,76,8,0,28,0,0,138,354
35064,"Nepean/Nepean"," 6","Nepean",28,62,6,3,29,0,3,131,370
35064,"Nepean/Nepean"," 7","Nepean",53,89,16,1,80,0,1,240,518
35064,"Nepean/Nepean"," 8","Nepean",42,93,23,3,77,0,0,238,495
35064,"Nepean/Nepean"," 9","Nepean",35,81,17,2,59,0,2,196,352
35064,"Nepean/Nepean"," 10","Nepean",16,137,18,2,111,0,0,284,483
35064,"Nepean/Nepean"," 11","Nepean",26,75,9,0,78,0,1,189,349
35064,"Nepean/Nepean"," 12","Nepean",19,133,24,1,118,0,1,296,505
35064,"Nepean/Nepean"," 13","Nepean",27,83,9,1,53,0,3,176,335
35064,"Nepean/Nepean"," 14","Nepean",50,85,19,0,43,0,3,200,432
35064,"Nepean/Nepean"," 15","Nepean",58,95,16,1,50,1,3,224,507
35064,"Nepean/Nepean"," 16","Nepean",47,77,23,2,50,0,1,200,467
35064,"Nepean/Nepean"," 17","Nepean",24,82,12,2,41,2,2,165,435
35064,"Nepean/Nepean"," 18","Nepean",13,65,17,0,72,2,0,169,439
35064,"Nepean/Nepean"," 19","Nepean",28,119,26,2,57,0,1,233,468
35064,"Nepean/Nepean"," 20","Nepean",22,100,17,3,48,0,0,190,409
35064,"Nepean/Nepean"," 21","Nepean",25,64,7,0,40,0,0,136,311
35064,"Nepean/Nepean"," 22","Nepean",53,61,10,1,81,1,2,209,449
35064,"Nepean/Nepean"," 23","Nepean",45,73,12,0,75,0,0,205,415
35064,"Nepean/Nepean"," 24","Nepean",24,69,9,2,52,0,1,157,308
35064,"Nepean/Nepean"," 25","Nepean",37,87,29,2,52,1,0,208,499
35064,"Nepean/Nepean"," 26","Nepean",17,81,8,0,58,0,0,164,403
35064,"Nepean/Nepean"," 27","Nepean",21,80,7,0,30,0,1,139,259
35064,"Nepean/Nepean"," 28","Nepean",16,70,13,3,53,0,9,164,331
35064,"Nepean/Nepean"," 29","Nepean",44,82,16,3,33,3,0,181,379
35064,"Nepean/Nepean"," 30","Nepean",19,111,21,3,76,1,3,234,402
35064,"Nepean/Nepean"," 31","Nepean",22,135,25,2,74,0,0,258,455
35064,"Nepean/Nepean"," 32","Nepean",49,105,33,2,70,2,2,263,447
35064,"Nepean/Nepean"," 33","Nepean",48,125,24,4,70,0,1,272,520
35064,"Nepean/Nepean"," 34","Nepean",30,148,38,2,95,1,2,316,503
35064,"Nepean/Nepean"," 35","Nepean",33,108,33,4,79,1,2,260,459
35064,"Nepean/Nepean"," 36","Nepean",30,127,24,1,76,0,2,260,431
35064,"Nepean/Nepean"," 37","Nepean",22,117,23,4,91,0,0,257,466
35064,"Nepean/Nepean"," 38","Nepean",17,102,19,1,69,0,1,209,416
35064,"Nepean/Nepean"," 39","Nepean",37,77,15,3,70,3,0,205,376
35064,"Nepean/Nepean"," 40","Nepean",38,99,22,6,99,0,1,265,511
35064,"Nepean/Nepean"," 41","Nepean",37,94,34,3,91,1,1,261,528
35064,"Nepean/Nepean"," 42","Nepean",19,91,33,0,69,0,1,213,472
35064,"Nepean/Nepean"," 43","Nepean",24,112,13,9,114,0,0,272,543
35064,"Nepean/Nepean"," 44","Nepean",41,107,10,2,65,0,1,226,371
35064,"Nepean/Nepean"," 45","Nepean",26,128,16,2,64,2,0,238,473
35064,"Nepean/Nepean"," 46","Nepean",30,136,16,3,96,0,0,281,509
35064,"Nepean/Nepean"," 47","Nepean",37,167,11,1,91,2,0,309,514
35064,"Nepean/Nepean"," 48","Nepean",18,82,12,1,45,0,2,160,388
35064,"Nepean/Nepean"," 49","Nepean",38,79,18,1,56,0,2,194,375
35064,"Nepean/Nepean"," 50","Nepean",21,110,26,2,67,0,3,229,493
35064,"Nepean/Nepean"," 51","Nepean",54,101,20,5,60,3,1,244,441
35064,"Nepean/Nepean"," 52","Nepean",27,72,17,3,62,2,1,184,391
35064,"Nepean/Nepean"," 53","Nepean",42,90,20,2,112,0,2,268,574
35064,"Nepean/Nepean"," 54","Nepean",23,95,7,0,64,0,1,190,396
35064,"Nepean/Nepean"," 55","Nepean",25,93,11,1,78,0,1,209,396
35064,"Nepean/Nepean"," 56","Nepean",38,84,10,1,65,0,3,201,407
35064,"Nepean/Nepean"," 57","Nepean",33,92,14,2,66,0,0,207,402
35064,"Nepean/Nepean"," 58","Nepean",42,86,6,0,79,2,2,217,443
35064,"Nepean/Nepean"," 59","Nepean",31,115,13,3,58,0,1,221,436
35064,"Nepean/Nepean"," 60","Nepean",22,88,13,3,52,1,1,180,415
35064,"Nepean/Nepean"," 61","Nepean",29,30,10,3,70,1,4,147,423
35064,"Nepean/Nepean"," 62","Nepean",22,56,12,1,61,2,1,155,321
35064,"Nepean/Nepean"," 63","Nepean",58,94,25,3,72,2,2,256,480
35064,"Nepean/Nepean"," 64","Nepean",68,66,20,4,68,1,1,228,475
35064,"Nepean/Nepean"," 65","Nepean",55,82,19,2,58,1,1,218,401
35064,"Nepean/Nepean"," 66","Nepean",37,95,13,1,47,2,7,202,399
35064,"Nepean/Nepean"," 67","Nepean",50,99,27,3,83,0,2,264,497
35064,"Nepean/Nepean"," 68","Nepean",55,83,24,1,77,0,1,241,541
35064,"Nepean/Nepean"," 69","Nepean",40,121,19,6,71,0,0,257,430
35064,"Nepean/Nepean"," 70","Nepean",37,61,16,1,54,1,2,172,373
35064,"Nepean/Nepean"," 71","Nepean",65,126,18,5,63,0,0,277,513
35064,"Nepean/Nepean"," 72","Nepean",33,122,15,3,71,1,0,245,455
35064,"Nepean/Nepean"," 73","Nepean",22,102,12,2,63,0,0,201,390
35064,"Nepean/Nepean"," 74","Nepean",43,121,23,3,53,0,2,245,480
35064,"Nepean/Nepean"," 75","Nepean",26,114,10,4,55,0,0,209,414
35064,"Nepean/Nepean"," 76","Nepean",31,83,17,2,54,0,0,187,423
35064,"Nepean/Nepean"," 77A","Nepean",19,129,5,0,27,0,1,181,395
35064,"Nepean/Nepean"," 77B","Nepean",25,114,8,1,49,1,0,198,414
35064,"Nepean/Nepean"," 78","Nepean",33,102,9,3,55,1,0,203,406
35064,"Nepean/Nepean"," 79","Gloucester",46,122,21,3,85,0,1,278,539
35064,"Nepean/Nepean"," 80","Nepean",33,133,16,3,83,0,1,269,590
35064,"Nepean/Nepean"," 81","Nepean",48,95,14,2,81,0,6,246,525
35064,"Nepean/Nepean"," 82","Nepean",32,95,9,1,60,0,2,199,431
35064,"Nepean/Nepean"," 83","Nepean",11,57,4,1,88,0,1,162,311
35064,"Nepean/Nepean"," 84","Nepean",3,39,12,2,92,0,1,149,310
35064,"Nepean/Nepean"," 85","Nepean",22,92,20,0,55,1,0,190,382
35064,"Nepean/Nepean"," 86","Nepean",20,91,13,4,70,0,2,200,355
35064,"Nepean/Nepean"," 87A","Nepean",25,107,8,4,41,0,1,186,330
35064,"Nepean/Nepean"," 87B","Nepean",21,82,6,2,47,0,1,159,303
35064,"Nepean/Nepean"," 88","Nepean",41,112,30,0,89,0,3,275,502
35064,"Nepean/Nepean"," 89","Nepean",37,138,7,1,61,0,3,247,540
35064,"Nepean/Nepean"," 90","Nepean",47,132,17,2,81,1,0,280,528
35064,"Nepean/Nepean"," 91","Nepean",17,120,15,3,93,1,2,251,488
35064,"Nepean/Nepean"," 92","Nepean",32,100,10,2,80,0,0,224,433
35064,"Nepean/Nepean"," 93","Nepean",40,92,8,3,53,0,0,196,391
35064,"Nepean/Nepean"," 94","Nepean",47,73,7,8,72,1,0,208,461
35064,"Nepean/Nepean"," 95","Nepean",31,62,10,5,65,0,0,173,356
35064,"Nepean/Nepean"," 96","Nepean",38,96,22,0,70,0,0,226,427
