Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Nicolas Dion,Michael Houghton,Gilbert Joseph Jubinville,Sean Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 1","Oakville",89,21,4,5,79,1,199,498
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 2","Oakville",56,8,4,0,67,2,137,339
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 3","Oakville",40,8,1,4,33,0,86,246
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 4","Oakville",111,16,2,5,110,0,244,576
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 5","Oakville",93,14,5,0,72,0,184,398
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 6","Oakville",132,24,3,7,87,3,256,646
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 7","Oakville",127,17,10,3,81,4,242,514
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 8","Oakville",190,34,11,4,140,1,380,673
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 9","Oakville",128,34,10,6,88,2,268,506
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 10","Oakville",118,21,9,2,55,1,206,532
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 11","Oakville",61,6,7,0,64,0,138,324
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 12","Oakville",117,10,10,2,78,0,217,482
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 13","Oakville",100,6,4,3,77,0,190,417
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 14","Oakville",107,26,11,3,59,0,206,417
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 15","Oakville",147,24,7,6,127,0,311,621
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 16","Oakville",107,24,15,2,84,1,233,466
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 17","Oakville",127,20,6,0,109,3,265,706
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 18","Oakville",111,20,5,2,113,0,251,555
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 19","Oakville",156,13,3,4,124,3,303,734
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 20","Oakville",116,22,4,0,106,2,250,703
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 21","Oakville",87,17,9,3,95,0,211,483
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 22A","Oakville",72,17,4,3,64,2,162,526
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 22B","Oakville",93,23,4,2,59,1,182,434
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 23","Oakville",34,11,3,1,28,1,78,196
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 24","Oakville",105,25,10,3,81,1,225,516
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 25","Oakville",96,18,13,0,110,1,238,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 26","Oakville",132,34,15,12,83,3,279,689
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 27","Oakville",115,18,17,4,84,1,239,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 28","Oakville",138,29,11,1,112,1,292,667
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 29","Oakville",84,16,9,4,76,0,189,398
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 30","Oakville",109,32,14,5,73,1,234,508
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 31","Oakville",92,17,16,3,65,0,193,466
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 32","Oakville",94,21,7,4,60,1,187,454
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 33","Oakville",75,16,8,7,41,0,147,375
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 34","Oakville",119,21,9,0,77,0,226,497
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 35","Oakville",123,32,8,1,101,0,265,531
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 36","Oakville",29,8,3,0,21,0,61,165
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 37","Oakville",112,21,22,4,58,0,217,519
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 38","Oakville",98,20,20,1,75,2,216,511
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 39","Oakville",147,29,6,10,101,1,294,638
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 40","Oakville",151,8,2,1,114,0,276,803
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 41","Oakville",148,29,7,3,117,3,307,760
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 42","Oakville",74,14,2,0,83,0,173,448
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 43","Oakville",109,24,19,4,68,0,224,540
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 44","Oakville",105,18,12,5,94,1,235,535
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 45","Oakville",90,16,7,4,63,1,181,419
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 46","Oakville",128,27,10,1,88,4,258,550
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 47","Oakville",120,19,12,2,100,0,253,532
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 48","Oakville",92,26,16,3,79,0,216,453
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 49","Oakville",96,5,8,2,114,0,225,472
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 50","Oakville",132,24,5,3,74,1,239,495
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 51","Oakville",81,18,9,1,81,1,191,390
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 52","Oakville",115,27,8,6,81,2,239,515
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 53","Oakville",93,19,11,2,94,2,221,446
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 54","Oakville",116,13,12,1,67,0,209,431
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 55","Oakville",102,10,12,3,108,2,237,528
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 56","Oakville",121,20,13,1,66,0,221,529
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 57","Oakville",63,12,11,1,126,0,213,479
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 58","Oakville",125,9,10,1,102,2,249,483
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 59","Oakville",148,17,14,3,114,2,298,548
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 60","Oakville",114,33,10,6,78,1,242,478
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 61","Oakville",98,13,14,1,87,3,216,393
