Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,Afroza Hossain,Eric Mackenzie,Shailene Panylo,Jovannah Ramsden,Jeff Tomlinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Oshawa/Oshawa"," 1","Oshawa",83,62,0,9,4,0,8,166,197
35074,"Oshawa/Oshawa"," 2","Oshawa",96,38,3,23,10,0,3,173,225
35074,"Oshawa/Oshawa"," 3","Oshawa",84,80,3,61,8,1,4,241,417
35074,"Oshawa/Oshawa"," 4","Oshawa",93,86,2,76,17,1,1,276,527
35074,"Oshawa/Oshawa"," 5","Oshawa",101,106,5,88,9,0,3,312,538
35074,"Oshawa/Oshawa"," 6","Oshawa",86,99,7,102,6,1,0,301,510
35074,"Oshawa/Oshawa"," 7","Oshawa",108,103,4,84,5,0,1,305,497
35074,"Oshawa/Oshawa"," 8","Oshawa",135,74,3,61,6,0,2,281,472
35074,"Oshawa/Oshawa"," 9","Oshawa",138,92,2,72,15,0,1,320,548
35074,"Oshawa/Oshawa"," 10","Oshawa",120,87,2,56,10,0,0,275,524
35074,"Oshawa/Oshawa"," 11","Oshawa",90,121,5,79,15,2,0,312,563
35074,"Oshawa/Oshawa"," 12","Oshawa",129,90,5,72,5,0,0,301,519
35074,"Oshawa/Oshawa"," 13","Oshawa",72,55,4,78,10,2,1,222,465
35074,"Oshawa/Oshawa"," 14","Oshawa",83,49,5,51,4,0,0,192,444
35074,"Oshawa/Oshawa"," 15","Oshawa",74,51,0,69,6,0,1,201,442
35074,"Oshawa/Oshawa"," 16","Oshawa",92,42,4,52,10,0,1,201,434
35074,"Oshawa/Oshawa"," 17","Oshawa",52,65,6,71,9,1,1,205,602
35074,"Oshawa/Oshawa"," 18","Oshawa",38,38,3,37,10,1,1,128,354
35074,"Oshawa/Oshawa"," 19","Oshawa",90,57,5,81,9,1,1,244,692
35074,"Oshawa/Oshawa"," 20","Oshawa",46,50,4,49,6,1,0,156,448
35074,"Oshawa/Oshawa"," 21","Oshawa",50,36,4,55,14,1,3,163,470
35074,"Oshawa/Oshawa"," 22","Oshawa",105,45,2,82,6,1,3,244,555
35074,"Oshawa/Oshawa"," 23","Oshawa",81,52,0,100,7,0,0,240,429
35074,"Oshawa/Oshawa"," 24","Oshawa",93,82,3,64,4,1,0,247,474
35074,"Oshawa/Oshawa"," 25","Oshawa",82,57,3,71,7,1,0,221,489
35074,"Oshawa/Oshawa"," 26","Oshawa",84,51,3,77,14,0,2,231,477
35074,"Oshawa/Oshawa"," 27","Oshawa",84,56,7,77,7,1,0,232,467
35074,"Oshawa/Oshawa"," 28","Oshawa",101,50,5,50,10,0,0,216,404
35074,"Oshawa/Oshawa"," 29","Oshawa",91,67,2,41,2,0,1,204,467
35074,"Oshawa/Oshawa"," 30","Oshawa",82,68,3,63,5,0,0,221,460
35074,"Oshawa/Oshawa"," 31","Oshawa",82,60,0,94,6,0,0,242,478
35074,"Oshawa/Oshawa"," 32","Oshawa",84,94,3,72,4,0,0,257,510
35074,"Oshawa/Oshawa"," 33","Oshawa",109,75,7,75,5,0,2,273,519
35074,"Oshawa/Oshawa"," 34","Oshawa",95,77,11,83,10,0,1,277,510
35074,"Oshawa/Oshawa"," 35","Oshawa",100,53,3,55,25,0,1,237,479
35074,"Oshawa/Oshawa"," 36","Oshawa",78,71,3,70,8,1,1,232,521
35074,"Oshawa/Oshawa"," 37","Oshawa",73,49,1,50,3,0,0,176,426
35074,"Oshawa/Oshawa"," 38","Oshawa",62,36,4,73,12,0,0,187,488
35074,"Oshawa/Oshawa"," 39","Oshawa",85,67,6,56,10,0,1,225,439
35074,"Oshawa/Oshawa"," 40","Oshawa",53,52,8,53,9,0,0,175,423
35074,"Oshawa/Oshawa"," 41","Oshawa",112,76,4,64,19,0,1,276,449
35074,"Oshawa/Oshawa"," 42","Oshawa",96,57,1,73,11,0,2,240,471
35074,"Oshawa/Oshawa"," 43","Oshawa",101,47,5,79,16,0,1,249,481
35074,"Oshawa/Oshawa"," 44","Oshawa",88,57,6,64,17,0,0,232,406
35074,"Oshawa/Oshawa"," 45","Oshawa",82,75,2,54,11,0,0,224,479
35074,"Oshawa/Oshawa"," 46","Oshawa",92,62,5,51,8,1,1,220,493
35074,"Oshawa/Oshawa"," 47","Oshawa",87,73,2,62,11,0,3,238,461
35074,"Oshawa/Oshawa"," 48","Oshawa",87,82,5,58,6,0,0,238,478
35074,"Oshawa/Oshawa"," 49","Oshawa",79,55,2,69,16,2,1,224,436
35074,"Oshawa/Oshawa"," 50","Oshawa",78,50,2,62,7,0,0,199,461
35074,"Oshawa/Oshawa"," 51","Oshawa",89,39,2,44,4,0,1,179,402
35074,"Oshawa/Oshawa"," 52","Oshawa",62,49,6,61,9,0,0,187,484
35074,"Oshawa/Oshawa"," 53","Oshawa",110,55,6,43,10,1,3,228,447
35074,"Oshawa/Oshawa"," 54","Oshawa",91,77,1,43,14,0,3,229,440
35074,"Oshawa/Oshawa"," 55","Oshawa",91,47,6,66,9,0,0,219,470
35074,"Oshawa/Oshawa"," 56","Oshawa",108,63,2,56,12,1,0,242,439
35074,"Oshawa/Oshawa"," 57","Oshawa",95,46,10,55,19,0,0,225,441
35074,"Oshawa/Oshawa"," 58","Oshawa",59,54,2,28,7,0,1,151,405
35074,"Oshawa/Oshawa"," 59","Oshawa",67,40,3,27,3,0,0,140,407
35074,"Oshawa/Oshawa"," 60","Oshawa",75,70,4,53,19,0,3,224,492
35074,"Oshawa/Oshawa"," 61","Oshawa",54,53,1,25,4,0,2,139,420
35074,"Oshawa/Oshawa"," 62","Oshawa",94,72,10,77,15,0,2,270,561
35074,"Oshawa/Oshawa"," 63","Oshawa",92,52,3,81,17,0,0,245,504
35074,"Oshawa/Oshawa"," 64","Oshawa",102,74,7,106,13,0,0,302,511
35074,"Oshawa/Oshawa"," 65","Oshawa",124,38,7,123,18,0,0,310,532
35074,"Oshawa/Oshawa"," 66","Oshawa",103,52,2,112,11,0,3,283,526
35074,"Oshawa/Oshawa"," 67","Oshawa",125,61,5,87,13,0,1,292,509
35074,"Oshawa/Oshawa"," 68","Oshawa",73,93,2,52,16,0,1,237,520
35074,"Oshawa/Oshawa"," 69","Oshawa",110,98,1,52,11,0,0,272,544
35074,"Oshawa/Oshawa"," 70","Oshawa",108,89,5,44,14,0,3,263,515
35074,"Oshawa/Oshawa"," 71","Oshawa",102,86,4,42,14,0,3,251,487
35074,"Oshawa/Oshawa"," 72","Oshawa",80,53,4,70,8,0,0,215,494
35074,"Oshawa/Oshawa"," 73","Oshawa",77,58,2,55,8,0,0,200,441
35074,"Oshawa/Oshawa"," 74","Oshawa",81,52,5,84,5,1,0,228,465
35074,"Oshawa/Oshawa"," 75","Oshawa",92,71,5,51,15,0,2,236,444
35074,"Oshawa/Oshawa"," 76","Oshawa",90,31,3,55,8,0,3,190,419
35074,"Oshawa/Oshawa"," 77","Oshawa",72,53,1,69,13,0,1,209,468
35074,"Oshawa/Oshawa"," 78","Oshawa",107,89,4,54,17,0,2,273,465
35074,"Oshawa/Oshawa"," 79","Oshawa",89,102,5,44,11,0,1,252,445
35074,"Oshawa/Oshawa"," 80","Oshawa",122,74,2,60,17,1,0,276,458
35074,"Oshawa/Oshawa"," 81","Oshawa",92,74,3,32,11,1,0,213,415
35074,"Oshawa/Oshawa"," 82","Oshawa",106,59,3,64,19,0,0,251,479
35074,"Oshawa/Oshawa"," 83","Oshawa",84,78,5,68,27,0,2,264,485
35074,"Oshawa/Oshawa"," 84","Oshawa",73,50,4,57,10,0,0,194,469
35074,"Oshawa/Oshawa"," 85","Oshawa",93,55,5,68,9,0,0,230,449
35074,"Oshawa/Oshawa"," 86","Oshawa",72,41,6,96,14,0,0,229,479
35074,"Oshawa/Oshawa"," 87","Oshawa",62,53,6,55,13,1,1,191,454
35074,"Oshawa/Oshawa"," 88","Oshawa",89,56,6,111,8,0,2,272,508
35074,"Oshawa/Oshawa"," 89","Oshawa",83,64,7,65,15,0,0,234,447
35074,"Oshawa/Oshawa"," 90","Oshawa",88,71,8,67,16,0,1,251,433
35074,"Oshawa/Oshawa"," 91","Oshawa",86,58,6,83,15,0,2,250,429
35074,"Oshawa/Oshawa"," 92","Oshawa",81,53,6,85,15,0,2,242,461
35074,"Oshawa/Oshawa"," 93","Oshawa",78,52,6,89,18,0,1,244,450
35074,"Oshawa/Oshawa"," 94","Oshawa",81,45,5,91,12,0,0,234,460
35074,"Oshawa/Oshawa"," 95","Oshawa",113,54,2,80,7,0,2,258,489
35074,"Oshawa/Oshawa"," 96","Oshawa",134,72,6,64,11,0,0,287,480
35074,"Oshawa/Oshawa"," 97","Oshawa",142,55,2,68,8,0,4,279,494
35074,"Oshawa/Oshawa"," 98","Oshawa",83,41,0,66,8,0,0,198,449
35074,"Oshawa/Oshawa"," 99","Oshawa",78,32,1,70,20,0,1,202,444
35074,"Oshawa/Oshawa"," 100","Oshawa",80,46,4,73,16,1,1,221,428
35074,"Oshawa/Oshawa"," 101","Oshawa",92,41,6,79,13,0,1,232,449
35074,"Oshawa/Oshawa"," 102","Oshawa",69,53,3,69,12,0,0,206,429
35074,"Oshawa/Oshawa"," 103","Oshawa",102,43,3,55,17,0,3,223,442
35074,"Oshawa/Oshawa"," 104","Oshawa",74,46,4,74,13,0,3,214,444
35074,"Oshawa/Oshawa"," 105","Oshawa",59,48,3,50,9,0,0,169,319
35074,"Oshawa/Oshawa"," 106","Oshawa",117,92,0,65,12,0,3,289,533
35074,"Oshawa/Oshawa"," 107","Oshawa",80,69,3,55,11,0,2,220,467
35074,"Oshawa/Oshawa"," 108","Oshawa",116,106,2,37,14,1,1,277,577
35074,"Oshawa/Oshawa"," 109","Oshawa",74,63,9,71,8,1,0,226,597
