Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Coreen Corcoran,Chris G Jones,Angela Keller-Herzog,Marie-Chantal Leriche,Catherine McKenna,Stuart Ryan,Merylee Sevilla,Emilie Taman,Giang Ha Thu Vo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 1","Ottawa",Merged with No./Fusionné avec le n°2,,,,,,,,,,,,,473
35075,"Ottawa Centre/Ottawa-Centre"," 2","Ottawa",2,50,3,0,25,0,265,0,7,119,0,0,471,533
35075,"Ottawa Centre/Ottawa-Centre"," 3","Ottawa",0,36,1,1,8,0,169,0,3,76,0,2,296,637
35075,"Ottawa Centre/Ottawa-Centre"," 4","Ottawa",1,26,1,0,23,0,111,1,4,80,0,1,248,546
35075,"Ottawa Centre/Ottawa-Centre"," 5","Ottawa",1,18,2,0,24,1,89,0,2,52,0,0,189,452
35075,"Ottawa Centre/Ottawa-Centre"," 6","Ottawa",1,30,0,1,21,1,123,1,2,99,0,1,280,563
35075,"Ottawa Centre/Ottawa-Centre"," 7","Ottawa",0,16,0,0,9,1,84,0,3,76,0,2,191,369
35075,"Ottawa Centre/Ottawa-Centre"," 8","Ottawa",0,34,0,4,21,0,136,0,5,96,0,1,297,570
35075,"Ottawa Centre/Ottawa-Centre"," 9","Ottawa",1,23,3,0,10,0,127,0,2,65,0,0,231,475
35075,"Ottawa Centre/Ottawa-Centre"," 10","Ottawa",1,23,0,0,17,0,125,0,2,61,0,2,231,445
35075,"Ottawa Centre/Ottawa-Centre"," 11","Ottawa",0,20,0,1,23,1,136,0,0,112,0,1,294,576
35075,"Ottawa Centre/Ottawa-Centre"," 12","Ottawa",1,25,2,3,14,0,105,0,7,58,0,1,216,496
35075,"Ottawa Centre/Ottawa-Centre"," 13","Ottawa",0,13,0,0,17,0,72,0,2,59,0,0,163,403
35075,"Ottawa Centre/Ottawa-Centre"," 14","Ottawa",0,34,1,0,13,1,134,0,2,62,0,1,248,501
35075,"Ottawa Centre/Ottawa-Centre"," 15","Ottawa",0,25,0,0,14,0,100,0,0,81,0,0,220,404
35075,"Ottawa Centre/Ottawa-Centre"," 16","Ottawa",0,32,0,0,16,0,92,0,3,23,0,1,167,419
35075,"Ottawa Centre/Ottawa-Centre"," 17","Ottawa",1,25,1,0,19,2,114,0,3,51,0,0,216,471
35075,"Ottawa Centre/Ottawa-Centre"," 18","Ottawa",Merged with No./Fusionné avec le n°20,,,,,,,,,,,,,168
35075,"Ottawa Centre/Ottawa-Centre"," 19","Ottawa",0,19,0,1,27,0,84,0,1,60,0,0,192,443
35075,"Ottawa Centre/Ottawa-Centre"," 20","Ottawa",0,25,1,0,14,0,85,0,0,27,0,0,152,172
35075,"Ottawa Centre/Ottawa-Centre"," 21","Ottawa",0,20,4,1,20,2,111,2,4,88,2,2,256,457
35075,"Ottawa Centre/Ottawa-Centre"," 22","Ottawa",2,36,0,0,16,1,137,0,1,129,0,5,327,673
35075,"Ottawa Centre/Ottawa-Centre"," 23A","Ottawa",1,39,3,0,15,1,106,0,4,88,0,0,257,535
