Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel Altman,Joel E. Bernard,Paul Durst,Mona Fortier,Christian Legeais,Daniel James McHugh,Stéphanie Mercier,Derek Miller,Oriana Ngabirano,Michelle Paquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 1","Ottawa",1,40,7,87,0,0,47,0,21,0,2,205,389
35078,"Ottawa--Vanier/Ottawa--Vanier"," 2","Ottawa",1,40,6,91,0,0,39,0,9,0,0,186,369
35078,"Ottawa--Vanier/Ottawa--Vanier"," 3","Ottawa",1,56,2,132,0,0,24,0,21,0,3,239,441
35078,"Ottawa--Vanier/Ottawa--Vanier"," 4","Ottawa",1,43,2,121,0,0,26,1,15,0,2,211,394
35078,"Ottawa--Vanier/Ottawa--Vanier"," 5","Ottawa",1,93,4,100,0,3,33,2,16,0,1,253,455
35078,"Ottawa--Vanier/Ottawa--Vanier"," 6","Ottawa",0,35,0,75,0,0,42,0,13,0,0,165,321
35078,"Ottawa--Vanier/Ottawa--Vanier"," 7","Ottawa",0,43,6,100,0,1,43,0,6,0,1,200,389
35078,"Ottawa--Vanier/Ottawa--Vanier"," 8","Ottawa",2,43,3,127,1,0,44,0,16,0,3,239,404
35078,"Ottawa--Vanier/Ottawa--Vanier"," 9","Ottawa",0,56,15,115,0,0,36,0,17,0,0,239,456
35078,"Ottawa--Vanier/Ottawa--Vanier"," 10","Ottawa",0,38,5,96,0,1,35,1,10,1,1,188,409
35078,"Ottawa--Vanier/Ottawa--Vanier"," 11","Ottawa",0,33,1,86,0,1,38,2,7,0,0,168,382
35078,"Ottawa--Vanier/Ottawa--Vanier"," 12","Ottawa",1,47,3,120,0,0,38,3,18,1,1,232,476
35078,"Ottawa--Vanier/Ottawa--Vanier"," 13","Ottawa",2,52,3,71,0,0,27,3,22,0,1,181,361
35078,"Ottawa--Vanier/Ottawa--Vanier"," 14","Ottawa",0,45,7,91,0,0,36,0,11,1,3,194,399
35078,"Ottawa--Vanier/Ottawa--Vanier"," 15","Ottawa",2,61,3,94,1,1,37,0,15,0,0,214,363
35078,"Ottawa--Vanier/Ottawa--Vanier"," 16","Ottawa",2,52,5,142,0,0,41,0,13,0,1,256,560
35078,"Ottawa--Vanier/Ottawa--Vanier"," 17","Ottawa",0,69,2,109,0,0,18,1,6,0,2,207,421
35078,"Ottawa--Vanier/Ottawa--Vanier"," 18","Ottawa",0,25,6,117,1,1,43,1,4,0,0,198,507
35078,"Ottawa--Vanier/Ottawa--Vanier"," 19","Ottawa",1,48,2,113,0,0,31,1,9,0,1,206,428
35078,"Ottawa--Vanier/Ottawa--Vanier"," 20","Ottawa",3,56,4,171,1,1,63,1,26,1,0,327,619
35078,"Ottawa--Vanier/Ottawa--Vanier"," 21","Ottawa",0,38,1,111,1,0,47,0,8,2,2,210,537
35078,"Ottawa--Vanier/Ottawa--Vanier"," 22","Ottawa",0,12,3,34,0,0,18,0,9,0,1,77,138
35078,"Ottawa--Vanier/Ottawa--Vanier"," 23","Ottawa",1,50,0,98,1,2,54,0,14,3,9,232,532
35078,"Ottawa--Vanier/Ottawa--Vanier"," 24","Ottawa",2,36,7,78,0,0,30,0,4,2,3,162,296
35078,"Ottawa--Vanier/Ottawa--Vanier"," 25","Ottawa",0,48,1,98,0,0,36,0,9,0,0,192,361
35078,"Ottawa--Vanier/Ottawa--Vanier"," 26","Ottawa",0,46,6,122,1,0,46,2,14,0,2,239,569
35078,"Ottawa--Vanier/Ottawa--Vanier"," 27","Ottawa",3,33,2,77,1,0,43,0,9,0,5,173,413
35078,"Ottawa--Vanier/Ottawa--Vanier"," 28","Ottawa",1,50,3,104,0,1,47,2,7,0,1,216,439
35078,"Ottawa--Vanier/Ottawa--Vanier"," 29","Ottawa",2,51,3,104,0,2,39,0,14,2,1,218,493
35078,"Ottawa--Vanier/Ottawa--Vanier"," 30","Ottawa",1,41,4,116,0,0,52,1,30,0,1,246,488
35078,"Ottawa--Vanier/Ottawa--Vanier"," 31","Ottawa",0,26,3,123,0,0,46,0,46,0,3,247,438
35078,"Ottawa--Vanier/Ottawa--Vanier"," 32","Ottawa",1,30,6,90,0,2,65,0,13,2,0,209,407
35078,"Ottawa--Vanier/Ottawa--Vanier"," 33","Ottawa",0,52,4,92,0,0,14,0,12,0,1,175,386
35078,"Ottawa--Vanier/Ottawa--Vanier"," 34","Ottawa",0,43,3,127,0,0,31,1,20,0,2,227,424
35078,"Ottawa--Vanier/Ottawa--Vanier"," 35","Ottawa",3,21,4,104,1,2,57,0,14,2,3,211,460
35078,"Ottawa--Vanier/Ottawa--Vanier"," 36","Ottawa",1,43,7,109,0,0,56,1,18,0,0,235,594
35078,"Ottawa--Vanier/Ottawa--Vanier"," 37","Ottawa",0,56,3,128,0,0,53,1,37,0,0,278,456
35078,"Ottawa--Vanier/Ottawa--Vanier"," 38","Ottawa",0,43,6,85,0,0,40,1,7,0,3,185,276
35078,"Ottawa--Vanier/Ottawa--Vanier"," 39","Ottawa",0,45,6,88,1,0,37,1,12,1,3,194,445
35078,"Ottawa--Vanier/Ottawa--Vanier"," 40","Ottawa",1,43,7,135,0,0,54,2,10,1,0,253,482
35078,"Ottawa--Vanier/Ottawa--Vanier"," 41","Ottawa",0,56,5,93,0,0,42,0,9,0,0,205,375
35078,"Ottawa--Vanier/Ottawa--Vanier"," 42","Ottawa",1,42,3,108,0,0,43,0,14,1,0,212,450
35078,"Ottawa--Vanier/Ottawa--Vanier"," 43","Ottawa",2,55,6,86,0,0,40,2,11,0,5,207,388
35078,"Ottawa--Vanier/Ottawa--Vanier"," 44","Ottawa",0,65,3,207,0,0,42,1,17,0,4,339,516
35078,"Ottawa--Vanier/Ottawa--Vanier"," 45","Ottawa",1,37,5,107,0,0,51,0,11,0,4,216,441
35078,"Ottawa--Vanier/Ottawa--Vanier"," 46","Ottawa",1,49,2,109,0,0,53,0,3,1,5,223,482
35078,"Ottawa--Vanier/Ottawa--Vanier"," 47","Ottawa",1,43,7,217,1,0,47,1,12,1,0,330,697
35078,"Ottawa--Vanier/Ottawa--Vanier"," 48","Ottawa",1,52,3,161,0,1,25,2,21,2,1,269,564
35078,"Ottawa--Vanier/Ottawa--Vanier"," 49","Ottawa",0,50,6,97,0,0,32,1,20,0,0,206,461
35078,"Ottawa--Vanier/Ottawa--Vanier"," 50","Ottawa",0,69,2,70,0,0,21,0,22,1,0,185,451
35078,"Ottawa--Vanier/Ottawa--Vanier"," 51","Ottawa",0,15,2,95,0,0,50,2,28,1,0,193,434
35078,"Ottawa--Vanier/Ottawa--Vanier"," 52","Ottawa",4,40,3,112,0,0,26,1,29,0,1,216,452
35078,"Ottawa--Vanier/Ottawa--Vanier"," 53","Ottawa",3,48,4,92,1,0,43,0,15,0,0,206,482
35078,"Ottawa--Vanier/Ottawa--Vanier"," 54","Ottawa",0,39,4,99,0,0,52,1,10,0,4,209,487
35078,"Ottawa--Vanier/Ottawa--Vanier"," 55","Ottawa",0,34,0,128,0,0,40,0,7,0,2,211,492
35078,"Ottawa--Vanier/Ottawa--Vanier"," 56","Ottawa",1,31,7,77,0,0,37,0,7,0,2,162,366
35078,"Ottawa--Vanier/Ottawa--Vanier"," 57","Ottawa",0,26,4,68,0,1,48,2,6,0,0,155,358
35078,"Ottawa--Vanier/Ottawa--Vanier"," 58","Ottawa",1,25,2,67,0,0,32,0,13,1,2,143,351
35078,"Ottawa--Vanier/Ottawa--Vanier"," 59","Ottawa",1,34,4,94,0,0,58,0,28,0,0,219,458
35078,"Ottawa--Vanier/Ottawa--Vanier"," 60","Ottawa",0,32,8,76,0,0,42,0,13,1,1,173,399
35078,"Ottawa--Vanier/Ottawa--Vanier"," 61","Ottawa",0,21,3,65,0,2,62,2,18,2,5,180,501
35078,"Ottawa--Vanier/Ottawa--Vanier"," 62","Ottawa",1,44,4,111,0,0,81,0,17,1,1,260,548
35078,"Ottawa--Vanier/Ottawa--Vanier"," 63","Ottawa",0,20,3,71,0,0,55,1,12,0,1,163,383
35078,"Ottawa--Vanier/Ottawa--Vanier"," 64","Ottawa",0,17,3,75,0,1,60,1,16,0,3,176,442
35078,"Ottawa--Vanier/Ottawa--Vanier"," 65","Ottawa",0,26,6,74,0,0,32,1,13,1,3,156,364
35078,"Ottawa--Vanier/Ottawa--Vanier"," 66","Ottawa",0,56,3,141,0,0,42,1,23,0,1,267,497
35078,"Ottawa--Vanier/Ottawa--Vanier"," 67","Ottawa",0,69,5,160,1,0,70,1,20,0,2,328,565
35078,"Ottawa--Vanier/Ottawa--Vanier"," 68","Ottawa",0,66,0,116,1,1,41,0,13,0,2,240,443
35078,"Ottawa--Vanier/Ottawa--Vanier"," 69","Ottawa",0,38,0,101,0,1,28,1,3,0,0,172,363
35078,"Ottawa--Vanier/Ottawa--Vanier"," 70","Ottawa",1,46,1,96,0,0,42,2,13,0,3,204,391
35078,"Ottawa--Vanier/Ottawa--Vanier"," 71","Ottawa",0,36,5,113,1,0,29,1,16,0,0,201,399
35078,"Ottawa--Vanier/Ottawa--Vanier"," 72","Ottawa",0,42,5,85,1,0,28,1,18,0,1,181,404
35078,"Ottawa--Vanier/Ottawa--Vanier"," 73","Ottawa",2,35,1,99,0,0,31,1,21,0,1,191,394
35078,"Ottawa--Vanier/Ottawa--Vanier"," 74","Ottawa",0,30,1,131,0,0,53,2,20,1,0,238,499
35078,"Ottawa--Vanier/Ottawa--Vanier"," 75","Ottawa",0,23,3,95,0,0,32,1,21,0,0,175,362
35078,"Ottawa--Vanier/Ottawa--Vanier"," 76","Ottawa",0,15,6,97,0,0,60,1,11,0,0,190,379
35078,"Ottawa--Vanier/Ottawa--Vanier"," 77","Ottawa",2,33,3,138,0,0,63,1,17,0,1,258,493
35078,"Ottawa--Vanier/Ottawa--Vanier"," 78","Ottawa",0,21,2,97,1,0,48,0,28,0,0,197,372
35078,"Ottawa--Vanier/Ottawa--Vanier"," 79","Ottawa",1,20,1,84,1,0,50,1,17,1,1,177,344
35078,"Ottawa--Vanier/Ottawa--Vanier"," 80","Ottawa",0,31,7,78,0,1,37,1,10,0,0,165,453
35078,"Ottawa--Vanier/Ottawa--Vanier"," 81","Ottawa",1,22,1,65,0,0,49,1,6,0,4,149,395
35078,"Ottawa--Vanier/Ottawa--Vanier"," 82","Ottawa",0,40,3,94,0,1,43,1,8,0,3,193,375
