Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 1","Glen Alda",1,18,58,1,0,27,74,0,179,331
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 2","North Kawartha",0,13,45,2,1,29,87,2,179,349
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 3","Chandos",2,9,49,1,0,21,84,0,166,369
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 4","Oak Lake",1,9,60,5,0,9,72,1,157,386
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 5","North Kawartha",0,12,57,2,0,22,54,0,147,351
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 6","Cavendish",3,19,84,8,1,20,79,1,215,382
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 7","Galway",2,12,87,8,1,36,137,1,284,522
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 8","North Kawartha",1,8,92,2,0,20,128,1,252,478
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 9","North Kawartha",1,14,43,2,1,25,59,1,146,234
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 10","Burleigh Falls",0,9,28,5,0,14,37,0,93,234
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 11","Cordova Mines",1,9,64,0,1,29,119,1,224,379
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 12","Trent Lakes",0,10,57,3,0,17,62,0,149,364
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 13","Galway-Cavendish and Harvey",0,6,40,2,0,25,78,0,151,349
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 14","Harvey",0,11,48,2,2,31,72,0,166,416
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 15","Galway-Cavendish and Harvey",0,6,71,0,2,18,93,1,191,362
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 16","Buckhorn",0,11,62,5,1,20,106,0,205,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 17","Trent Lakes",0,15,66,1,0,17,63,3,165,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 18","Trent Lakes",2,15,38,7,1,17,86,0,166,395
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 19","Trent Lakes",1,12,31,2,0,19,51,1,117,270
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 20","North Dummer",0,17,60,0,1,14,73,1,166,338
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 21","Hall's Glen",2,24,43,0,0,25,102,1,197,362
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 22","Hall's Glen",0,25,58,6,0,18,62,4,173,375
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 23","Oak Lake",0,11,33,1,2,16,77,0,140,305
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 24","Round Lake",1,15,34,3,1,17,83,2,156,364
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 25","Havelock-Belmont-Methuen",0,12,23,3,1,23,86,1,149,281
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 26","Havelock-Belmont-Methuen",0,6,38,10,0,29,63,1,147,355
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 27","Havelock",1,12,33,5,0,33,54,1,139,363
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 28","Havelock",2,14,26,3,0,36,56,1,138,337
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 29","Centre Dummer",0,11,71,5,1,38,74,1,201,468
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 30","Havelock-Belmont-Methuen",0,11,43,1,0,23,99,1,178,367
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 31","Havelock-Belmont-Methuen",1,20,54,3,0,13,79,1,171,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 32","Blairton",0,13,46,4,0,32,94,0,189,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 33","Havelock-Belmont-Methuen",0,9,46,2,1,21,58,5,142,243
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 34","Youngs Point",0,9,58,0,0,21,84,0,172,365
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 35","Youngs Point",0,11,50,6,1,12,80,2,162,339
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 36","Selwyn",0,13,64,4,0,21,80,1,183,365
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 37","Selwyn",0,11,64,2,0,32,100,0,209,424
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 38","Selwyn",1,17,77,5,0,28,102,0,230,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 39","Selwyn",0,12,75,0,0,23,113,1,224,446
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 40","Lakehurst",1,23,69,5,0,35,141,0,274,494
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 41","Lakehurst",2,14,88,7,0,27,83,1,222,460
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 42","Centre Dummer",0,8,49,0,0,16,63,0,136,279
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 43","Warsaw",1,5,47,0,0,31,61,0,145,285
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 44","Warsaw",0,17,53,3,0,26,78,1,178,323
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 45","Cottesloe",1,14,62,1,0,29,81,1,189,301
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 46","Curve Lake First Nation",2,3,51,0,0,52,44,0,152,349
