Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Peter Forint,Eileen Higdon,Cyma Musarat,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 1","Uxbridge",1,13,14,71,46,2,147,285
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 2","Uxbridge",4,13,13,66,44,0,140,224
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 3","Uxbridge",4,26,32,106,85,2,255,394
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 4","Uxbridge",3,20,25,90,76,0,214,414
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 5","Uxbridge",3,8,16,73,44,0,144,251
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 6","Uxbridge",12,15,28,134,73,0,262,405
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 7","Uxbridge",2,13,10,68,32,3,128,244
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 8","Uxbridge",1,17,25,90,48,1,182,309
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 9","Uxbridge",3,16,12,79,68,0,178,332
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 10","Uxbridge",0,20,23,85,78,0,206,318
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 11","Uxbridge",4,23,20,98,112,1,258,438
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 12","Uxbridge",1,13,17,54,63,0,148,276
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 13","Uxbridge",4,13,18,88,78,1,202,410
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 14","Uxbridge",2,42,28,68,70,1,211,415
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 15","Uxbridge",4,32,16,77,98,0,227,443
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 16","Uxbridge",5,16,28,73,79,0,201,371
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 17","Uxbridge",2,22,33,64,85,0,206,406
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 18","Uxbridge",10,24,31,75,111,5,256,481
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 19","Uxbridge",7,26,21,62,66,1,183,392
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 20","Uxbridge",7,19,25,78,100,0,229,419
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 21","Uxbridge",6,29,24,83,87,0,229,456
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 22","Uxbridge",5,19,27,90,102,1,244,445
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 23","Uxbridge",1,6,10,71,54,2,144,285
