Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Hua,Gordon Kubanek,Alain Musende,Pierre Poilievre,Chris Rodgers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Carleton/Carleton"," 1","Gloucester",17,9,7,56,68,1,158,380
35088,"Carleton/Carleton"," 2","Gloucester",13,2,1,35,138,0,189,409
35088,"Carleton/Carleton"," 3","Gloucester",37,8,2,45,166,3,261,575
35088,"Carleton/Carleton"," 4","Gloucester",Merged with No./Fusionné avec le n°6,,,,,,,51
35088,"Carleton/Carleton"," 5","Gloucester",31,9,1,48,179,1,269,554
35088,"Carleton/Carleton"," 6","Gloucester",6,4,0,25,57,0,92,184
35088,"Carleton/Carleton"," 7","Gloucester",13,5,0,54,69,0,141,328
35088,"Carleton/Carleton"," 8","Gloucester",10,10,4,65,38,0,127,382
35088,"Carleton/Carleton"," 9","Gloucester",20,15,0,61,141,0,237,560
35088,"Carleton/Carleton"," 10","Gloucester",20,7,1,52,164,3,247,594
35088,"Carleton/Carleton"," 11","Gloucester",34,9,6,73,117,7,246,592
35088,"Carleton/Carleton"," 12","Gloucester",27,6,3,56,141,0,233,628
35088,"Carleton/Carleton"," 13","Gloucester",15,8,0,44,100,1,168,417
35088,"Carleton/Carleton"," 14","Gloucester",37,16,2,66,145,0,266,647
35088,"Carleton/Carleton"," 15","Gloucester",21,5,3,55,137,1,222,563
35088,"Carleton/Carleton"," 16","Gloucester",27,6,1,60,115,1,210,499
35088,"Carleton/Carleton"," 17","Gloucester",31,14,3,64,165,5,282,549
35088,"Carleton/Carleton"," 18","Osgoode",15,6,3,79,42,1,146,356
35088,"Carleton/Carleton"," 19","Osgoode",18,7,2,63,44,0,134,299
35088,"Carleton/Carleton"," 20","Osgoode",11,5,2,93,42,1,154,325
35088,"Carleton/Carleton"," 21","Osgoode",25,11,3,137,74,1,251,373
35088,"Carleton/Carleton"," 22","Osgoode",9,18,8,114,51,0,200,328
35088,"Carleton/Carleton"," 23","Gloucester",14,1,2,48,80,0,145,339
35088,"Carleton/Carleton"," 24","Gloucester",24,3,1,102,65,2,197,456
35088,"Carleton/Carleton"," 25","Osgoode",12,5,3,78,59,1,158,367
35088,"Carleton/Carleton"," 26","Osgoode",11,6,2,77,40,3,139,338
35088,"Carleton/Carleton"," 27","Gloucester",25,8,2,111,93,1,240,469
35088,"Carleton/Carleton"," 28","Gloucester",21,14,1,96,119,3,254,565
35088,"Carleton/Carleton"," 29","Gloucester",30,11,1,91,100,1,234,518
35088,"Carleton/Carleton"," 30","Gloucester",19,3,0,85,77,2,186,377
35088,"Carleton/Carleton"," 31","Gloucester",26,6,3,62,108,0,205,395
35088,"Carleton/Carleton"," 32","Gloucester",32,7,1,90,155,3,288,649
35088,"Carleton/Carleton"," 33","Gloucester",18,11,1,92,117,2,241,541
35088,"Carleton/Carleton"," 34","Gloucester",28,10,0,83,108,0,229,483
35088,"Carleton/Carleton"," 35","Gloucester",26,5,3,81,106,3,224,516
35088,"Carleton/Carleton"," 36A","Gloucester",Merged with No./Fusionné avec le n°39A,,,,,,,29
35088,"Carleton/Carleton"," 36B","Gloucester",Merged with No./Fusionné avec le n°39B,,,,,,,24
35088,"Carleton/Carleton"," 36C","Gloucester",Merged with No./Fusionné avec le n°39C,,,,,,,45
35088,"Carleton/Carleton"," 37","Gloucester",31,9,1,73,87,0,201,447
35088,"Carleton/Carleton"," 38","Gloucester",27,7,9,67,99,2,211,478
35088,"Carleton/Carleton"," 39A","Gloucester",20,6,3,54,113,1,197,375
35088,"Carleton/Carleton"," 39B","Gloucester",21,7,3,58,106,3,198,450
35088,"Carleton/Carleton"," 39C","Gloucester",32,8,4,54,104,5,207,421
35088,"Carleton/Carleton"," 40","Osgoode",22,13,3,122,61,0,221,477
35088,"Carleton/Carleton"," 41","Osgoode",21,5,2,117,79,2,226,520
35088,"Carleton/Carleton"," 42","Osgoode",12,11,2,108,63,1,197,440
35088,"Carleton/Carleton"," 43","Osgoode",14,6,1,90,49,1,161,360
35088,"Carleton/Carleton"," 44","Osgoode",19,13,3,150,89,2,276,511
35088,"Carleton/Carleton"," 45","Gloucester",23,6,3,114,123,1,270,563
35088,"Carleton/Carleton"," 46","Gloucester",27,9,0,84,93,1,214,498
35088,"Carleton/Carleton"," 47","Gloucester",37,12,0,81,90,0,220,454
35088,"Carleton/Carleton"," 48","Gloucester",12,11,1,64,77,0,165,487
35088,"Carleton/Carleton"," 49","Gloucester",8,6,0,49,61,0,124,423
35088,"Carleton/Carleton"," 50","Gloucester",13,11,0,80,102,0,206,406
35088,"Carleton/Carleton"," 51","Osgoode",29,7,6,141,65,0,248,466
35088,"Carleton/Carleton"," 52","Osgoode",17,4,2,99,71,0,193,401
35088,"Carleton/Carleton"," 53","Osgoode",24,6,1,132,47,0,210,463
35088,"Carleton/Carleton"," 54","Osgoode",24,9,0,129,65,0,227,460
35088,"Carleton/Carleton"," 55","Osgoode",11,8,3,97,101,2,222,446
35088,"Carleton/Carleton"," 56","Osgoode",14,11,2,92,74,0,193,389
35088,"Carleton/Carleton"," 57","Osgoode",20,7,1,88,64,1,181,343
35088,"Carleton/Carleton"," 58","Osgoode",23,11,4,104,85,0,227,436
35088,"Carleton/Carleton"," 59","Osgoode",17,3,0,110,53,4,187,342
35088,"Carleton/Carleton"," 60","Osgoode",28,9,2,144,64,2,249,514
35088,"Carleton/Carleton"," 61","Gloucester",47,10,4,81,124,2,268,528
35088,"Carleton/Carleton"," 62A","Gloucester",13,6,1,38,104,0,162,334
35088,"Carleton/Carleton"," 62B","Gloucester",9,9,4,51,98,0,171,323
35088,"Carleton/Carleton"," 63","Gloucester",25,9,3,77,137,0,251,470
35088,"Carleton/Carleton"," 64","Gloucester",24,9,4,62,114,1,214,464
35088,"Carleton/Carleton"," 65","Gloucester",25,14,3,134,104,1,281,549
35088,"Carleton/Carleton"," 66","Osgoode",15,8,3,77,93,0,196,458
35088,"Carleton/Carleton"," 67","Osgoode",15,7,1,69,43,1,136,356
35088,"Carleton/Carleton"," 68","Osgoode",10,11,2,112,84,1,220,441
35088,"Carleton/Carleton"," 69","Osgoode",16,7,1,90,74,2,190,393
35088,"Carleton/Carleton"," 70","Osgoode",17,15,2,76,76,0,186,401
35088,"Carleton/Carleton"," 71","Osgoode",6,6,2,59,51,1,125,243
35088,"Carleton/Carleton"," 72","Osgoode",25,12,2,121,86,0,246,476
35088,"Carleton/Carleton"," 73","Gloucester",11,2,4,60,54,0,131,292
