Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Allan DeRoo,Travis Mason,Dennis Van Meer,Krystina Waler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 1","St. Catharines",106,2,24,45,91,0,268,451
35089,"St. Catharines/St. Catharines"," 2","St. Catharines",82,2,19,60,87,0,250,489
35089,"St. Catharines/St. Catharines"," 3","St. Catharines",86,6,17,44,103,1,257,459
35089,"St. Catharines/St. Catharines"," 4","St. Catharines",112,3,9,66,80,1,271,467
35089,"St. Catharines/St. Catharines"," 5","St. Catharines",100,2,7,30,62,0,201,405
35089,"St. Catharines/St. Catharines"," 6","St. Catharines",103,6,16,33,87,2,247,461
35089,"St. Catharines/St. Catharines"," 7","St. Catharines",130,1,17,49,99,0,296,584
35089,"St. Catharines/St. Catharines"," 8","St. Catharines",90,7,17,47,97,0,258,529
35089,"St. Catharines/St. Catharines"," 9","St. Catharines",108,1,17,59,79,2,266,447
35089,"St. Catharines/St. Catharines"," 10","St. Catharines",99,4,10,52,79,2,246,498
35089,"St. Catharines/St. Catharines"," 11","St. Catharines",65,2,16,41,64,2,190,359
35089,"St. Catharines/St. Catharines"," 12","St. Catharines",85,9,14,88,54,3,253,579
35089,"St. Catharines/St. Catharines"," 13","St. Catharines",76,0,23,51,74,3,227,409
35089,"St. Catharines/St. Catharines"," 14","St. Catharines",79,3,17,55,92,1,247,447
35089,"St. Catharines/St. Catharines"," 15","St. Catharines",101,3,13,61,85,0,263,458
35089,"St. Catharines/St. Catharines"," 16","St. Catharines",94,1,12,32,79,4,222,420
35089,"St. Catharines/St. Catharines"," 17","St. Catharines",83,3,9,17,75,0,187,372
35089,"St. Catharines/St. Catharines"," 18","St. Catharines",117,2,12,26,87,0,244,430
35089,"St. Catharines/St. Catharines"," 19","St. Catharines",74,3,7,37,67,0,188,381
35089,"St. Catharines/St. Catharines"," 20","St. Catharines",100,3,10,28,47,1,189,366
35089,"St. Catharines/St. Catharines"," 21","St. Catharines",100,4,12,43,81,0,240,464
35089,"St. Catharines/St. Catharines"," 22","St. Catharines",109,0,14,27,72,0,222,409
35089,"St. Catharines/St. Catharines"," 23","St. Catharines",92,2,10,28,76,0,208,404
35089,"St. Catharines/St. Catharines"," 24","St. Catharines",74,8,9,31,73,0,195,387
35089,"St. Catharines/St. Catharines"," 25","St. Catharines",112,1,13,26,104,0,256,422
35089,"St. Catharines/St. Catharines"," 26","St. Catharines",127,2,9,36,61,1,236,460
35089,"St. Catharines/St. Catharines"," 27","St. Catharines",108,2,11,21,65,0,207,405
35089,"St. Catharines/St. Catharines"," 28","St. Catharines",82,0,3,26,52,1,164,347
35089,"St. Catharines/St. Catharines"," 29","St. Catharines",116,1,19,38,71,0,245,417
35089,"St. Catharines/St. Catharines"," 30","St. Catharines",63,1,8,22,80,3,177,373
35089,"St. Catharines/St. Catharines"," 31","St. Catharines",109,1,12,25,69,1,217,424
35089,"St. Catharines/St. Catharines"," 32","St. Catharines",60,4,13,30,52,3,162,339
35089,"St. Catharines/St. Catharines"," 33","St. Catharines",94,0,12,37,64,0,207,399
35089,"St. Catharines/St. Catharines"," 34","St. Catharines",120,5,15,35,70,2,247,459
35089,"St. Catharines/St. Catharines"," 35","St. Catharines",67,3,10,54,59,2,195,491
35089,"St. Catharines/St. Catharines"," 36","St. Catharines",84,1,15,38,69,0,207,445
35089,"St. Catharines/St. Catharines"," 37","St. Catharines",118,1,5,45,84,2,255,467
35089,"St. Catharines/St. Catharines"," 38","St. Catharines",83,2,19,54,65,2,225,400
35089,"St. Catharines/St. Catharines"," 39","St. Catharines",88,2,17,73,79,1,260,447
35089,"St. Catharines/St. Catharines"," 40","St. Catharines",97,2,25,63,82,4,273,453
35089,"St. Catharines/St. Catharines"," 41","St. Catharines",98,2,11,48,79,2,240,468
35089,"St. Catharines/St. Catharines"," 42","St. Catharines",101,4,26,37,84,2,254,439
35089,"St. Catharines/St. Catharines"," 43","St. Catharines",79,4,10,56,67,0,216,402
35089,"St. Catharines/St. Catharines"," 44","St. Catharines",110,4,10,45,81,0,250,470
35089,"St. Catharines/St. Catharines"," 45","St. Catharines",121,4,19,39,109,1,293,491
35089,"St. Catharines/St. Catharines"," 46","St. Catharines",102,3,13,49,73,3,243,450
35089,"St. Catharines/St. Catharines"," 47","St. Catharines",99,4,11,57,101,4,276,443
35089,"St. Catharines/St. Catharines"," 48","St. Catharines",83,6,7,34,90,3,223,378
35089,"St. Catharines/St. Catharines"," 49","St. Catharines",97,1,12,51,64,3,228,534
35089,"St. Catharines/St. Catharines"," 50","St. Catharines",72,2,12,43,61,2,192,398
35089,"St. Catharines/St. Catharines"," 51","St. Catharines",78,0,15,47,80,0,220,404
35089,"St. Catharines/St. Catharines"," 52","St. Catharines",96,1,10,50,79,0,236,413
35089,"St. Catharines/St. Catharines"," 53","St. Catharines",76,1,12,36,48,6,179,340
35089,"St. Catharines/St. Catharines"," 54","St. Catharines",89,7,19,78,59,3,255,450
35089,"St. Catharines/St. Catharines"," 55","St. Catharines",75,0,6,64,69,3,217,435
35089,"St. Catharines/St. Catharines"," 56","St. Catharines",84,5,12,26,91,0,218,417
35089,"St. Catharines/St. Catharines"," 57","St. Catharines",121,8,25,46,83,4,287,493
35089,"St. Catharines/St. Catharines"," 58","St. Catharines",89,7,11,64,78,4,253,526
35089,"St. Catharines/St. Catharines"," 59","St. Catharines",107,2,14,71,89,1,284,553
35089,"St. Catharines/St. Catharines"," 60","St. Catharines",133,2,11,62,81,3,292,577
35089,"St. Catharines/St. Catharines"," 61","St. Catharines",87,1,22,48,86,0,244,469
35089,"St. Catharines/St. Catharines"," 62","St. Catharines",79,1,14,67,68,1,230,518
35089,"St. Catharines/St. Catharines"," 63","St. Catharines",87,1,14,36,66,2,206,441
35089,"St. Catharines/St. Catharines"," 64","St. Catharines",97,1,13,38,78,2,229,463
35089,"St. Catharines/St. Catharines"," 65","St. Catharines",51,2,10,50,51,2,166,379
35089,"St. Catharines/St. Catharines"," 66","St. Catharines",77,2,5,72,37,3,196,500
35089,"St. Catharines/St. Catharines"," 67","St. Catharines",90,3,9,44,74,3,223,456
35089,"St. Catharines/St. Catharines"," 68","St. Catharines",83,1,8,42,95,1,230,452
35089,"St. Catharines/St. Catharines"," 69","St. Catharines",109,6,9,63,81,0,268,463
35089,"St. Catharines/St. Catharines"," 70","St. Catharines",95,2,15,48,100,3,263,459
35089,"St. Catharines/St. Catharines"," 71","St. Catharines",69,0,12,42,46,1,170,405
35089,"St. Catharines/St. Catharines"," 72","St. Catharines",90,2,16,63,105,1,277,476
35089,"St. Catharines/St. Catharines"," 73","St. Catharines",93,3,10,78,61,1,246,511
35089,"St. Catharines/St. Catharines"," 74","St. Catharines",105,4,18,86,58,0,271,549
35089,"St. Catharines/St. Catharines"," 75","St. Catharines",92,4,12,54,53,2,217,469
35089,"St. Catharines/St. Catharines"," 76","St. Catharines",117,1,16,51,82,2,269,535
35089,"St. Catharines/St. Catharines"," 77","St. Catharines",149,0,21,38,93,0,301,547
35089,"St. Catharines/St. Catharines"," 78","St. Catharines",124,1,18,53,84,3,283,528
35089,"St. Catharines/St. Catharines"," 79","St. Catharines",106,6,12,51,81,6,262,512
35089,"St. Catharines/St. Catharines"," 80","St. Catharines",89,3,20,51,99,4,266,473
35089,"St. Catharines/St. Catharines"," 81","St. Catharines",81,5,12,48,78,1,225,459
35089,"St. Catharines/St. Catharines"," 82","St. Catharines",83,5,23,42,58,2,213,473
35089,"St. Catharines/St. Catharines"," 83","St. Catharines",120,4,20,46,61,5,256,476
35089,"St. Catharines/St. Catharines"," 84","St. Catharines",82,12,9,51,50,0,204,428
35089,"St. Catharines/St. Catharines"," 85","St. Catharines",58,1,15,47,62,2,185,372
35089,"St. Catharines/St. Catharines"," 86","St. Catharines",127,2,8,73,108,2,320,572
35089,"St. Catharines/St. Catharines"," 87","St. Catharines",87,1,8,44,57,1,198,388
35089,"St. Catharines/St. Catharines"," 88","St. Catharines",106,5,11,63,96,3,284,569
35089,"St. Catharines/St. Catharines"," 89","St. Catharines",55,3,3,56,49,0,166,413
35089,"St. Catharines/St. Catharines"," 90","St. Catharines",87,3,14,57,62,0,223,554
35089,"St. Catharines/St. Catharines"," 91","St. Catharines",58,5,5,57,53,2,180,455
35089,"St. Catharines/St. Catharines"," 92","St. Catharines",109,12,17,74,86,5,303,597
35089,"St. Catharines/St. Catharines"," 93","St. Catharines",66,1,13,59,52,2,193,467
35089,"St. Catharines/St. Catharines"," 94","St. Catharines",76,3,14,59,69,4,225,478
35089,"St. Catharines/St. Catharines"," 95","St. Catharines",72,5,13,57,52,3,202,527
35089,"St. Catharines/St. Catharines"," 96","St. Catharines",49,0,12,39,48,1,149,394
35089,"St. Catharines/St. Catharines"," 97","St. Catharines",65,8,17,45,63,1,199,517
35089,"St. Catharines/St. Catharines"," 98","St. Catharines",68,7,13,76,66,2,232,534
35089,"St. Catharines/St. Catharines"," 99","St. Catharines",124,1,13,24,120,4,286,511
35089,"St. Catharines/St. Catharines"," 100","St. Catharines",150,7,27,65,122,1,372,617
35089,"St. Catharines/St. Catharines"," 101","St. Catharines",99,7,14,61,101,1,283,494
35089,"St. Catharines/St. Catharines"," 102","St. Catharines",121,3,5,27,55,1,212,406
35089,"St. Catharines/St. Catharines"," 103","St. Catharines",99,0,2,22,88,1,212,425
35089,"St. Catharines/St. Catharines"," 104","St. Catharines",62,0,5,16,76,0,159,338
35089,"St. Catharines/St. Catharines"," 105","St. Catharines",83,4,11,56,54,0,208,548
35089,"St. Catharines/St. Catharines"," 106","St. Catharines",80,5,16,30,70,0,201,569
35089,"St. Catharines/St. Catharines"," 107","St. Catharines",70,6,11,67,58,3,215,458
35089,"St. Catharines/St. Catharines"," 108","St. Catharines",80,2,14,46,48,1,191,450
35089,"St. Catharines/St. Catharines"," 109","St. Catharines",67,6,17,71,73,1,235,479
35089,"St. Catharines/St. Catharines"," 110","St. Catharines",91,5,20,56,56,3,231,496
35089,"St. Catharines/St. Catharines"," 111","St. Catharines",129,3,12,78,61,1,284,547
35089,"St. Catharines/St. Catharines"," 112","St. Catharines",95,5,23,63,70,0,256,563
35089,"St. Catharines/St. Catharines"," 113","St. Catharines",55,3,18,60,53,1,190,469
35089,"St. Catharines/St. Catharines"," 114","St. Catharines",85,1,10,71,48,0,215,512
35089,"St. Catharines/St. Catharines"," 115","St. Catharines",84,10,25,80,69,2,270,616
35089,"St. Catharines/St. Catharines"," 116","St. Catharines",103,1,17,51,78,1,251,430
35089,"St. Catharines/St. Catharines"," 117","St. Catharines",102,2,4,55,56,4,223,497
35089,"St. Catharines/St. Catharines"," 118","St. Catharines",100,2,14,70,83,7,276,581
35089,"St. Catharines/St. Catharines"," 119","St. Catharines",101,8,20,87,86,5,307,650
35089,"St. Catharines/St. Catharines"," 120","St. Catharines",78,3,12,73,49,0,215,490
35089,"St. Catharines/St. Catharines"," 121","St. Catharines",50,1,16,37,66,1,171,368
35089,"St. Catharines/St. Catharines"," 122","St. Catharines",81,6,5,66,51,0,209,445
35089,"St. Catharines/St. Catharines"," 123","St. Catharines",80,5,28,86,42,0,241,558
35089,"St. Catharines/St. Catharines"," 124","St. Catharines",94,4,17,77,76,2,270,553
35089,"St. Catharines/St. Catharines"," 125","St. Catharines",86,2,13,70,52,0,223,480
35089,"St. Catharines/St. Catharines"," 126","St. Catharines",77,5,32,78,76,4,272,556
35089,"St. Catharines/St. Catharines"," 127","St. Catharines",106,3,19,81,58,1,268,574
35089,"St. Catharines/St. Catharines"," 128","St. Catharines",106,4,28,115,56,1,310,608
35089,"St. Catharines/St. Catharines"," 129","St. Catharines",130,4,26,91,75,1,327,567
35089,"St. Catharines/St. Catharines"," 130","St. Catharines",76,5,15,66,60,4,226,476
35089,"St. Catharines/St. Catharines"," 131","St. Catharines",97,2,8,44,55,0,206,412
35089,"St. Catharines/St. Catharines"," 132","St. Catharines",102,5,15,59,61,0,242,488
35089,"St. Catharines/St. Catharines"," 133","St. Catharines",67,4,15,57,51,1,195,414
35089,"St. Catharines/St. Catharines"," 134","St. Catharines",77,7,12,63,56,0,215,463
35089,"St. Catharines/St. Catharines"," 135","St. Catharines",80,2,15,76,63,1,237,483
35089,"St. Catharines/St. Catharines"," 136","St. Catharines",83,6,13,69,68,0,239,617
35089,"St. Catharines/St. Catharines"," 137","St. Catharines",65,5,19,62,33,2,186,583
35089,"St. Catharines/St. Catharines"," 138","St. Catharines",91,4,16,38,60,1,210,506
