Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Everaert,Marilyn Gladu,Adam Kilner,Thomas Laird,Carmen Lemieux,Peter Robert Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 1","Plympton-Wyoming",7,198,63,2,80,24,0,374,609
35091,"Sarnia--Lambton/Sarnia--Lambton"," 2","Plympton-Wyoming",11,182,33,9,61,17,0,313,525
35091,"Sarnia--Lambton/Sarnia--Lambton"," 3","Plympton-Wyoming",10,161,35,3,52,13,0,274,484
35091,"Sarnia--Lambton/Sarnia--Lambton"," 4","Sarnia",3,119,28,0,45,5,2,202,420
35091,"Sarnia--Lambton/Sarnia--Lambton"," 5","Sarnia",8,100,41,0,48,12,4,213,361
35091,"Sarnia--Lambton/Sarnia--Lambton"," 6","Sarnia",5,112,40,3,47,7,0,214,453
35091,"Sarnia--Lambton/Sarnia--Lambton"," 7","Sarnia",3,93,32,1,26,5,2,162,335
35091,"Sarnia--Lambton/Sarnia--Lambton"," 8","Sarnia",6,140,33,2,60,6,0,247,459
35091,"Sarnia--Lambton/Sarnia--Lambton"," 9","Sarnia",3,83,42,1,39,7,0,175,322
35091,"Sarnia--Lambton/Sarnia--Lambton"," 10","Sarnia",4,123,67,2,48,14,3,261,447
35091,"Sarnia--Lambton/Sarnia--Lambton"," 11","Sarnia",8,101,68,0,50,10,1,238,447
35091,"Sarnia--Lambton/Sarnia--Lambton"," 12","Sarnia",6,133,35,1,79,10,3,267,477
35091,"Sarnia--Lambton/Sarnia--Lambton"," 13","Plympton-Wyoming",8,125,69,1,68,15,1,287,480
35091,"Sarnia--Lambton/Sarnia--Lambton"," 14","Plympton-Wyoming",7,139,66,1,70,12,1,296,524
35091,"Sarnia--Lambton/Sarnia--Lambton"," 15","Plympton-Wyoming",5,163,64,4,75,15,1,327,574
35091,"Sarnia--Lambton/Sarnia--Lambton"," 16","Plympton-Wyoming",12,139,53,4,50,1,4,263,447
35091,"Sarnia--Lambton/Sarnia--Lambton"," 17","Sarnia",5,130,47,1,68,14,2,267,495
35091,"Sarnia--Lambton/Sarnia--Lambton"," 18","Sarnia",4,100,37,2,51,7,0,201,387
35091,"Sarnia--Lambton/Sarnia--Lambton"," 19","Sarnia",4,115,68,2,71,13,1,274,500
35091,"Sarnia--Lambton/Sarnia--Lambton"," 20","Sarnia",3,151,56,2,50,6,4,272,466
35091,"Sarnia--Lambton/Sarnia--Lambton"," 21","Sarnia",1,91,23,1,66,11,1,194,303
35091,"Sarnia--Lambton/Sarnia--Lambton"," 22","Sarnia",10,75,51,2,65,15,3,221,393
35091,"Sarnia--Lambton/Sarnia--Lambton"," 23","Sarnia",3,98,65,1,70,18,1,256,423
35091,"Sarnia--Lambton/Sarnia--Lambton"," 24","Sarnia",3,73,43,0,67,12,1,199,350
35091,"Sarnia--Lambton/Sarnia--Lambton"," 25","Sarnia",1,95,63,0,59,7,3,228,419
35091,"Sarnia--Lambton/Sarnia--Lambton"," 26","Sarnia",3,90,41,2,66,11,0,213,444
35091,"Sarnia--Lambton/Sarnia--Lambton"," 27","Sarnia",3,91,54,0,78,19,1,246,440
35091,"Sarnia--Lambton/Sarnia--Lambton"," 28","Sarnia",7,91,76,0,59,9,1,243,463
35091,"Sarnia--Lambton/Sarnia--Lambton"," 29","Sarnia",8,119,53,1,59,9,1,250,459
35091,"Sarnia--Lambton/Sarnia--Lambton"," 30","Sarnia",4,108,32,0,68,15,1,228,437
35091,"Sarnia--Lambton/Sarnia--Lambton"," 31","Sarnia",2,109,40,1,74,8,0,234,408
35091,"Sarnia--Lambton/Sarnia--Lambton"," 32","Sarnia",6,81,80,6,47,14,0,234,430
35091,"Sarnia--Lambton/Sarnia--Lambton"," 33","Sarnia",1,105,70,0,60,13,1,250,401
35091,"Sarnia--Lambton/Sarnia--Lambton"," 34","Sarnia",4,96,51,0,53,11,0,215,371
35091,"Sarnia--Lambton/Sarnia--Lambton"," 35","Sarnia",1,84,56,0,40,5,4,190,344
35091,"Sarnia--Lambton/Sarnia--Lambton"," 36","Sarnia",2,87,83,4,50,9,2,237,409
35091,"Sarnia--Lambton/Sarnia--Lambton"," 37","Sarnia",4,161,43,2,72,7,0,289,495
35091,"Sarnia--Lambton/Sarnia--Lambton"," 38","Sarnia",10,132,35,4,53,10,0,244,416
35091,"Sarnia--Lambton/Sarnia--Lambton"," 39","Sarnia",5,97,36,1,50,6,0,195,397
35091,"Sarnia--Lambton/Sarnia--Lambton"," 40","Sarnia",5,100,65,0,65,3,0,238,462
35091,"Sarnia--Lambton/Sarnia--Lambton"," 41","Sarnia",8,92,42,0,53,4,1,200,361
35091,"Sarnia--Lambton/Sarnia--Lambton"," 42","Sarnia",10,84,52,1,43,12,1,203,341
35091,"Sarnia--Lambton/Sarnia--Lambton"," 43","Sarnia",2,116,65,5,67,6,0,261,428
35091,"Sarnia--Lambton/Sarnia--Lambton"," 44","Sarnia",3,92,61,4,63,16,1,240,449
35091,"Sarnia--Lambton/Sarnia--Lambton"," 45","Sarnia",2,78,53,1,39,8,1,182,367
35091,"Sarnia--Lambton/Sarnia--Lambton"," 46","Sarnia",4,133,38,1,85,15,3,279,428
35091,"Sarnia--Lambton/Sarnia--Lambton"," 47A","Sarnia",0,147,49,0,54,6,0,256,458
35091,"Sarnia--Lambton/Sarnia--Lambton"," 47B","Sarnia",4,102,41,0,60,2,2,211,383
35091,"Sarnia--Lambton/Sarnia--Lambton"," 48A","Sarnia",3,135,76,0,71,7,1,293,498
35091,"Sarnia--Lambton/Sarnia--Lambton"," 48B","Sarnia",6,102,38,1,55,5,0,207,404
35091,"Sarnia--Lambton/Sarnia--Lambton"," 49","Sarnia",7,73,39,1,23,8,2,153,286
35091,"Sarnia--Lambton/Sarnia--Lambton"," 50","Sarnia",5,95,91,3,57,10,3,264,465
35091,"Sarnia--Lambton/Sarnia--Lambton"," 51","Sarnia",11,89,46,1,58,6,1,212,398
35091,"Sarnia--Lambton/Sarnia--Lambton"," 52","Sarnia",4,121,85,3,81,12,0,306,563
35091,"Sarnia--Lambton/Sarnia--Lambton"," 53","Sarnia",2,115,65,2,49,10,3,246,429
35091,"Sarnia--Lambton/Sarnia--Lambton"," 54","Sarnia",3,97,53,1,54,7,7,222,406
35091,"Sarnia--Lambton/Sarnia--Lambton"," 55","Point Edward",2,92,39,0,65,7,3,208,342
35091,"Sarnia--Lambton/Sarnia--Lambton"," 56","Point Edward",3,92,52,1,44,5,0,197,375
35091,"Sarnia--Lambton/Sarnia--Lambton"," 57","Point Edward",7,94,80,6,50,8,0,245,446
35091,"Sarnia--Lambton/Sarnia--Lambton"," 58","Point Edward",4,59,33,0,40,6,1,143,263
35091,"Sarnia--Lambton/Sarnia--Lambton"," 59","Sarnia",4,108,93,1,58,9,5,278,478
35091,"Sarnia--Lambton/Sarnia--Lambton"," 60","Sarnia",8,88,55,2,40,8,2,203,459
35091,"Sarnia--Lambton/Sarnia--Lambton"," 61","Sarnia",4,82,99,3,50,13,1,252,447
35091,"Sarnia--Lambton/Sarnia--Lambton"," 62","Sarnia",0,38,21,1,10,2,1,73,171
35091,"Sarnia--Lambton/Sarnia--Lambton"," 63","Plympton-Wyoming",8,176,27,6,38,8,0,263,447
35091,"Sarnia--Lambton/Sarnia--Lambton"," 64","Plympton-Wyoming",7,157,38,12,39,9,1,263,432
35091,"Sarnia--Lambton/Sarnia--Lambton"," 65","Plympton-Wyoming",6,184,41,19,35,14,0,299,523
35091,"Sarnia--Lambton/Sarnia--Lambton"," 66","Plympton-Wyoming",22,139,45,10,22,8,2,248,425
35091,"Sarnia--Lambton/Sarnia--Lambton"," 67","Plympton-Wyoming",3,148,38,15,38,16,2,260,440
35091,"Sarnia--Lambton/Sarnia--Lambton"," 68","Plympton-Wyoming",4,154,48,17,29,9,3,264,486
35091,"Sarnia--Lambton/Sarnia--Lambton"," 69","Sarnia",5,84,67,0,34,7,0,197,389
35091,"Sarnia--Lambton/Sarnia--Lambton"," 70","Sarnia",5,104,74,2,45,12,3,245,430
35091,"Sarnia--Lambton/Sarnia--Lambton"," 71","Sarnia",7,120,101,4,45,10,0,287,493
35091,"Sarnia--Lambton/Sarnia--Lambton"," 72","Sarnia",7,82,57,7,51,10,3,217,495
35091,"Sarnia--Lambton/Sarnia--Lambton"," 73","Sarnia",8,77,56,2,45,10,2,200,414
35091,"Sarnia--Lambton/Sarnia--Lambton"," 74","Sarnia",5,124,41,14,44,16,1,245,446
35091,"Sarnia--Lambton/Sarnia--Lambton"," 75","Sarnia",5,80,59,6,37,3,1,191,411
35091,"Sarnia--Lambton/Sarnia--Lambton"," 76","Sarnia",2,83,46,1,46,14,5,197,296
