Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Yan Chen,Jude Guerrier,David Kong,Janet Robinson,Avery Velez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 1","Scarborough",139,35,1,44,0,0,1,220,499
35096,"Scarborough North/Scarborough-Nord"," 2","Scarborough",129,33,3,25,0,1,3,194,477
35096,"Scarborough North/Scarborough-Nord"," 3","Scarborough",135,33,3,36,0,5,2,214,493
35096,"Scarborough North/Scarborough-Nord"," 4","Scarborough",131,23,2,28,0,2,0,186,450
35096,"Scarborough North/Scarborough-Nord"," 5","Scarborough",94,20,1,31,0,0,0,146,410
35096,"Scarborough North/Scarborough-Nord"," 6","Scarborough",163,28,5,52,0,4,2,254,570
35096,"Scarborough North/Scarborough-Nord"," 7","Scarborough",157,27,3,64,3,2,0,256,574
35096,"Scarborough North/Scarborough-Nord"," 8","Scarborough",214,18,2,62,1,5,3,305,590
35096,"Scarborough North/Scarborough-Nord"," 9","Scarborough",183,50,2,39,0,3,6,283,589
35096,"Scarborough North/Scarborough-Nord"," 10","Scarborough",74,29,0,52,1,3,0,159,393
35096,"Scarborough North/Scarborough-Nord"," 11","Scarborough",84,27,0,60,0,6,3,180,473
35096,"Scarborough North/Scarborough-Nord"," 12","Scarborough",104,23,2,54,0,4,5,192,371
35096,"Scarborough North/Scarborough-Nord"," 13","Scarborough",120,18,0,46,0,3,2,189,522
35096,"Scarborough North/Scarborough-Nord"," 14","Scarborough",123,44,1,66,0,4,2,240,443
35096,"Scarborough North/Scarborough-Nord"," 15","Scarborough",87,22,0,38,0,5,2,154,327
35096,"Scarborough North/Scarborough-Nord"," 16","Scarborough",66,13,1,70,1,1,1,153,436
35096,"Scarborough North/Scarborough-Nord"," 17","Scarborough",95,24,0,39,0,4,1,163,373
35096,"Scarborough North/Scarborough-Nord"," 18","Scarborough",86,21,0,46,1,1,1,156,373
35096,"Scarborough North/Scarborough-Nord"," 19","Scarborough",108,22,2,110,0,2,0,244,523
35096,"Scarborough North/Scarborough-Nord"," 20","Scarborough",39,20,0,43,0,5,1,108,302
35096,"Scarborough North/Scarborough-Nord"," 21","Scarborough",76,19,1,91,0,4,1,192,500
35096,"Scarborough North/Scarborough-Nord"," 22","Scarborough",63,20,1,60,1,6,3,154,382
