Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anandasangaree,Jessica Hamilton,Kingsley Kwok,Dilano Sally,Bobby Singh,Mark Theodoru,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 1","Scarborough",108,8,14,0,39,0,0,169,405
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 2","Scarborough",144,4,23,0,34,3,1,209,379
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 3","Scarborough",151,6,19,0,21,0,0,197,470
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 4","Scarborough",129,2,19,0,24,0,2,176,383
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 5","Scarborough",103,5,24,5,25,3,2,167,352
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 6","Scarborough",121,1,20,2,21,0,1,166,411
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 7","Scarborough",167,6,23,2,31,1,1,231,482
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 8","Scarborough",100,0,23,0,28,1,0,152,303
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 9","Scarborough",161,5,20,3,24,1,0,214,533
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 10","Scarborough",122,4,23,0,13,2,0,164,482
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 11","Scarborough",105,6,17,1,25,0,1,155,396
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 12","Scarborough",112,2,22,1,20,1,1,159,402
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 13","Scarborough",91,5,11,1,22,0,1,131,363
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 14","Scarborough",103,5,12,0,57,1,2,180,424
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 15","Scarborough",114,1,14,0,43,0,4,176,403
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 16","Scarborough",134,2,14,1,37,1,1,190,416
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 17","Scarborough",133,6,38,2,43,0,3,225,464
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 18","Scarborough",128,9,25,0,33,2,2,199,432
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 19","Scarborough",98,4,26,0,35,3,3,169,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 20","Scarborough",126,8,26,1,37,4,2,204,475
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 21","Scarborough",135,2,15,0,11,2,0,165,449
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 22","Scarborough",153,3,16,2,34,0,2,210,491
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 23","Scarborough",155,9,14,0,27,2,1,208,456
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 24","Scarborough",171,3,28,0,18,0,2,222,510
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 25","Scarborough",174,8,19,1,28,1,1,232,441
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 26","Scarborough",142,4,22,1,25,0,3,197,475
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 27","Scarborough",146,4,19,0,13,1,1,184,424
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 28","Scarborough",163,2,18,0,31,0,4,218,470
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 29","Scarborough",131,5,18,1,25,1,0,181,391
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 30","Scarborough",117,7,41,3,36,0,1,205,497
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 31","Scarborough",141,5,18,0,16,3,1,184,468
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 32","Scarborough",107,4,26,1,28,1,3,170,406
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 33","Scarborough",109,1,29,7,26,1,4,177,473
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 34","Scarborough",159,2,20,1,18,0,2,202,533
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 35","Scarborough",162,5,21,0,25,0,3,216,535
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 36","Scarborough",127,4,26,0,17,2,0,176,444
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 37","Scarborough",86,4,18,0,29,3,1,141,388
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 38","Scarborough",105,4,21,1,21,1,0,153,400
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 39","Scarborough",118,3,17,0,15,0,0,153,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 40","Scarborough",151,3,21,1,17,0,2,195,445
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 41","Scarborough",115,4,21,0,21,2,0,163,390
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 42","Scarborough",132,3,14,1,36,3,0,189,438
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 43","Scarborough",133,3,17,0,43,5,1,202,446
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 44","Scarborough",155,6,18,3,31,2,0,215,451
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 45","Scarborough",159,1,24,1,21,1,1,208,520
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 46","Scarborough",163,8,43,2,26,4,2,248,454
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 47","Scarborough",163,6,34,4,35,7,4,253,542
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 48","Scarborough",116,3,16,0,15,5,0,155,368
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 49","Scarborough",108,3,22,2,30,3,0,168,414
