Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angelique Belcourt,Chris Brown,Gerry Hawes,Stephen Makk,Valerie Powell,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 1","Severn",10,0,29,2,7,49,1,98,216
35100,"Simcoe North/Simcoe-Nord"," 2","Tiny",12,0,36,1,11,48,1,109,291
35100,"Simcoe North/Simcoe-Nord"," 3","Tiny",17,1,43,5,13,67,0,146,334
35100,"Simcoe North/Simcoe-Nord"," 4","Tiny",31,0,50,0,24,66,0,171,389
35100,"Simcoe North/Simcoe-Nord"," 5","Penetanguishene",19,0,51,2,21,57,0,150,336
35100,"Simcoe North/Simcoe-Nord"," 6","Penetanguishene",19,0,43,1,10,49,0,122,303
35100,"Simcoe North/Simcoe-Nord"," 7","Penetanguishene",26,2,59,3,16,42,1,149,356
35100,"Simcoe North/Simcoe-Nord"," 8A","Penetanguishene",30,1,51,5,30,30,0,147,329
35100,"Simcoe North/Simcoe-Nord"," 8B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,14
35100,"Simcoe North/Simcoe-Nord"," 9","Penetanguishene",24,1,67,3,22,65,3,185,457
35100,"Simcoe North/Simcoe-Nord"," 10","Penetanguishene",33,0,46,6,19,37,0,141,349
35100,"Simcoe North/Simcoe-Nord"," 11","Severn",29,1,55,10,30,131,0,256,436
35100,"Simcoe North/Simcoe-Nord"," 12","Severn",24,1,64,4,20,144,2,259,511
35100,"Simcoe North/Simcoe-Nord"," 13","Severn",29,0,53,7,16,123,0,228,446
35100,"Simcoe North/Simcoe-Nord"," 14","Severn",17,2,46,2,16,96,0,179,367
35100,"Simcoe North/Simcoe-Nord"," 15","Severn",13,0,30,7,10,83,0,143,318
35100,"Simcoe North/Simcoe-Nord"," 16","Severn",21,1,50,5,10,72,1,160,320
35100,"Simcoe North/Simcoe-Nord"," 17","Severn",30,2,26,5,16,84,0,163,362
35100,"Simcoe North/Simcoe-Nord"," 18","Severn",28,2,82,7,29,144,4,296,656
35100,"Simcoe North/Simcoe-Nord"," 19","Severn",28,3,48,4,18,89,1,191,389
35100,"Simcoe North/Simcoe-Nord"," 20","Ramara",21,1,57,9,24,181,1,294,529
35100,"Simcoe North/Simcoe-Nord"," 21","Ramara",32,0,64,1,31,87,1,216,361
35100,"Simcoe North/Simcoe-Nord"," 22","Ramara",20,0,61,2,27,62,1,173,309
35100,"Simcoe North/Simcoe-Nord"," 23","Tiny",19,0,69,12,28,51,0,179,385
35100,"Simcoe North/Simcoe-Nord"," 24","Tiny",20,3,63,1,15,58,2,162,384
35100,"Simcoe North/Simcoe-Nord"," 25","Penetanguishene",20,0,46,1,10,38,0,115,279
35100,"Simcoe North/Simcoe-Nord"," 26","Penetanguishene",20,0,84,3,16,67,0,190,429
35100,"Simcoe North/Simcoe-Nord"," 27","Penetanguishene",32,0,55,3,15,48,3,156,434
35100,"Simcoe North/Simcoe-Nord"," 28","Penetanguishene",23,1,79,4,14,61,1,183,433
35100,"Simcoe North/Simcoe-Nord"," 29","Penetanguishene",35,0,55,0,23,53,1,167,481
35100,"Simcoe North/Simcoe-Nord"," 30","Penetanguishene",33,0,45,1,18,36,0,133,420
35100,"Simcoe North/Simcoe-Nord"," 31","Penetanguishene",35,2,56,2,18,60,1,174,391
35100,"Simcoe North/Simcoe-Nord"," 32","Penetanguishene",28,1,83,0,22,97,1,232,523
35100,"Simcoe North/Simcoe-Nord"," 33","Penetanguishene",28,0,41,4,18,35,3,129,347
35100,"Simcoe North/Simcoe-Nord"," 34","Tay",29,1,52,4,24,72,0,182,347
35100,"Simcoe North/Simcoe-Nord"," 35","Tay",22,0,41,4,12,48,0,127,287
35100,"Simcoe North/Simcoe-Nord"," 36","Tay",43,1,60,3,21,96,2,226,509
35100,"Simcoe North/Simcoe-Nord"," 37","Tay",33,0,35,3,11,103,1,186,380
35100,"Simcoe North/Simcoe-Nord"," 38","Tay",44,0,41,2,22,64,2,175,369
35100,"Simcoe North/Simcoe-Nord"," 39","Tay",19,1,61,1,19,87,0,188,401
35100,"Simcoe North/Simcoe-Nord"," 40","Tay",32,0,76,5,29,116,0,258,542
35100,"Simcoe North/Simcoe-Nord"," 41","Penetanguishene",40,1,69,1,17,66,2,196,439
35100,"Simcoe North/Simcoe-Nord"," 42","Penetanguishene",32,2,83,1,16,63,1,198,400
35100,"Simcoe North/Simcoe-Nord"," 43A","Penetanguishene",25,1,80,3,7,65,2,183,380
35100,"Simcoe North/Simcoe-Nord"," 43B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,59
35100,"Simcoe North/Simcoe-Nord"," 44","Penetanguishene",29,0,54,4,19,77,1,184,408
35100,"Simcoe North/Simcoe-Nord"," 45","Christian Island 30",130,0,79,4,12,21,2,248,476
35100,"Simcoe North/Simcoe-Nord"," 46","Tay",19,0,52,2,14,75,0,162,399
35100,"Simcoe North/Simcoe-Nord"," 47","Tay",38,1,39,6,24,79,1,188,409
35100,"Simcoe North/Simcoe-Nord"," 48A","Tay",20,1,39,2,16,72,4,154,397
35100,"Simcoe North/Simcoe-Nord"," 48B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104B,,,,,,,,25
35100,"Simcoe North/Simcoe-Nord"," 49","Tay",47,5,75,4,26,153,1,311,643
35100,"Simcoe North/Simcoe-Nord"," 50","Tay",34,1,46,4,22,82,0,189,379
35100,"Simcoe North/Simcoe-Nord"," 51","Tay",32,0,34,3,9,72,1,151,314
35100,"Simcoe North/Simcoe-Nord"," 52","Tay",31,0,43,5,19,66,0,164,353
35100,"Simcoe North/Simcoe-Nord"," 53","Tay",18,0,52,3,10,73,0,156,316
35100,"Simcoe North/Simcoe-Nord"," 54","Tay",53,1,54,5,19,96,0,228,439
35100,"Simcoe North/Simcoe-Nord"," 55","Tay",36,0,47,9,14,53,1,160,356
35100,"Simcoe North/Simcoe-Nord"," 56","Tay",29,1,41,5,15,52,0,143,324
35100,"Simcoe North/Simcoe-Nord"," 57","Tay",34,0,48,8,12,75,0,177,399
35100,"Simcoe North/Simcoe-Nord"," 58","Ramara",141,1,76,10,18,67,1,314,577
35100,"Simcoe North/Simcoe-Nord"," 59","Midland",30,1,66,3,11,72,3,186,516
35100,"Simcoe North/Simcoe-Nord"," 60","Midland",32,1,41,1,23,47,0,145,462
35100,"Simcoe North/Simcoe-Nord"," 61","Ramara",16,0,27,3,3,75,1,125,291
35100,"Simcoe North/Simcoe-Nord"," 62","Ramara",16,3,42,4,14,124,2,205,445
35100,"Simcoe North/Simcoe-Nord"," 63","Midland",35,2,64,2,19,87,0,209,443
35100,"Simcoe North/Simcoe-Nord"," 64","Midland",19,0,60,1,28,69,0,177,424
35100,"Simcoe North/Simcoe-Nord"," 65","Midland",36,2,55,5,25,37,0,160,355
35100,"Simcoe North/Simcoe-Nord"," 66","Midland",24,0,41,3,10,36,0,114,268
35100,"Simcoe North/Simcoe-Nord"," 67","Midland",38,0,65,3,18,50,1,175,471
35100,"Simcoe North/Simcoe-Nord"," 68","Midland",25,0,59,4,21,46,0,155,385
35100,"Simcoe North/Simcoe-Nord"," 69","Midland",25,1,66,2,31,64,0,189,476
35100,"Simcoe North/Simcoe-Nord"," 70","Midland",18,1,45,5,8,44,0,121,370
35100,"Simcoe North/Simcoe-Nord"," 71","Midland",25,1,47,5,8,68,0,154,539
35100,"Simcoe North/Simcoe-Nord"," 72","Midland",22,1,91,6,27,103,0,250,544
35100,"Simcoe North/Simcoe-Nord"," 73","Midland",32,2,84,8,32,80,2,240,612
35100,"Simcoe North/Simcoe-Nord"," 74A","Midland",27,2,37,0,11,41,0,118,356
35100,"Simcoe North/Simcoe-Nord"," 74B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,149
35100,"Simcoe North/Simcoe-Nord"," 75","Midland",26,0,36,3,11,38,0,114,450
35100,"Simcoe North/Simcoe-Nord"," 76","Midland",32,3,31,6,22,39,2,135,462
35100,"Simcoe North/Simcoe-Nord"," 77","Severn",38,4,49,3,20,116,0,230,375
35100,"Simcoe North/Simcoe-Nord"," 78","Severn",35,0,58,6,25,92,0,216,380
35100,"Simcoe North/Simcoe-Nord"," 79","Severn",33,2,70,5,22,123,3,258,559
35100,"Simcoe North/Simcoe-Nord"," 80","Severn",27,4,64,8,11,121,0,235,462
35100,"Simcoe North/Simcoe-Nord"," 81","Severn",15,1,64,2,20,103,0,205,486
35100,"Simcoe North/Simcoe-Nord"," 82","Severn",19,2,36,5,10,64,1,137,459
35100,"Simcoe North/Simcoe-Nord"," 83","Ramara",36,2,65,10,34,110,2,259,485
35100,"Simcoe North/Simcoe-Nord"," 84","Ramara",27,0,50,1,29,86,0,193,425
35100,"Simcoe North/Simcoe-Nord"," 85","Tiny",21,0,64,6,18,63,0,172,335
35100,"Simcoe North/Simcoe-Nord"," 86","Tiny",28,3,46,2,25,53,0,157,385
35100,"Simcoe North/Simcoe-Nord"," 87","Tiny",46,0,67,10,14,43,3,183,310
35100,"Simcoe North/Simcoe-Nord"," 88","Tiny",34,1,73,3,20,68,0,199,364
35100,"Simcoe North/Simcoe-Nord"," 89","Tiny",44,3,63,9,29,64,0,212,372
35100,"Simcoe North/Simcoe-Nord"," 90","Tiny",38,1,53,3,13,70,0,178,356
35100,"Simcoe North/Simcoe-Nord"," 91","Tiny",31,0,66,5,16,64,0,182,318
35100,"Simcoe North/Simcoe-Nord"," 92","Severn",24,0,29,3,19,81,0,156,363
35100,"Simcoe North/Simcoe-Nord"," 93","Severn",23,1,45,2,16,93,0,180,413
35100,"Simcoe North/Simcoe-Nord"," 94","Severn",20,0,41,4,16,87,1,169,347
35100,"Simcoe North/Simcoe-Nord"," 95","Severn",17,0,57,4,12,134,0,224,396
35100,"Simcoe North/Simcoe-Nord"," 96","Severn",15,1,54,2,15,102,0,189,326
35100,"Simcoe North/Simcoe-Nord"," 97","Severn",24,2,58,9,24,140,0,257,440
35100,"Simcoe North/Simcoe-Nord"," 98","Severn",12,1,58,4,6,73,0,154,278
35100,"Simcoe North/Simcoe-Nord"," 99","Midland",17,4,65,2,16,62,1,167,448
35100,"Simcoe North/Simcoe-Nord"," 100","Midland",24,1,62,3,16,44,1,151,403
35100,"Simcoe North/Simcoe-Nord"," 101","Midland",26,4,48,4,16,44,2,144,373
35100,"Simcoe North/Simcoe-Nord"," 102","Midland",46,0,42,1,20,47,0,156,388
35100,"Simcoe North/Simcoe-Nord"," 103","Midland",29,1,43,4,10,57,0,144,382
35100,"Simcoe North/Simcoe-Nord"," 104A","Midland",13,0,35,2,18,28,0,96,264
35100,"Simcoe North/Simcoe-Nord"," 104B","Mobile poll/Bureau itinérant",6,2,33,0,4,38,7,90,94
35100,"Simcoe North/Simcoe-Nord"," 105","Midland",47,0,51,5,32,66,4,205,501
35100,"Simcoe North/Simcoe-Nord"," 106","Midland",41,1,40,2,13,63,0,160,417
35100,"Simcoe North/Simcoe-Nord"," 107","Midland",29,0,62,2,16,63,1,173,395
35100,"Simcoe North/Simcoe-Nord"," 108","Midland",47,0,53,3,23,67,0,193,511
35100,"Simcoe North/Simcoe-Nord"," 109","Midland",35,0,43,8,22,72,0,180,558
35100,"Simcoe North/Simcoe-Nord"," 110","Midland",36,2,71,3,14,87,3,216,554
35100,"Simcoe North/Simcoe-Nord"," 111","Midland",39,2,29,0,8,45,2,125,408
35100,"Simcoe North/Simcoe-Nord"," 112","Midland",43,1,69,3,16,71,0,203,531
35100,"Simcoe North/Simcoe-Nord"," 113","Midland",26,2,59,9,8,60,0,164,411
