Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Hartnell,Amanda Moddejonge,Marcus Powlowski,Linda Rydholm,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1","Upsala",2,3,15,53,10,0,83,166
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",1,0,7,36,12,0,56,146
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Morson",0,1,8,2,41,0,52,15
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Morson",0,0,3,0,62,1,66,111
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Bergland",0,1,13,50,15,0,79,130
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Couchiching 16A",Merged with No./Fusionné avec le n°7,,,,,,,199
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","Fort Frances",4,11,52,47,152,4,270,489
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Finland",5,4,22,70,15,1,117,231
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Rocky Inlet",1,14,45,89,39,0,188,336
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Dance",2,4,6,3,61,1,77,114
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Thunder Bay, Unorganized",0,0,10,2,2,0,14,19
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Dawson",8,7,27,59,26,0,127,306
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","River",6,3,21,57,21,1,109,252
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Rainy River",8,6,28,63,30,1,136,461
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Atikokan",8,5,55,41,34,3,146,325
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Atikokan",3,6,38,30,34,1,112,258
