Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Michelle Boileau,Kraymr Grenke,Max Kennedy,Renaud Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 1","Peawanuck",58,18,1,0,1,0,78,134
35107,"Timmins--James Bay/Timmins--Baie James"," 2","Attawapiskat",215,16,2,3,3,2,241,793
35107,"Timmins--James Bay/Timmins--Baie James"," 3","Kashechewan",309,2,1,0,0,5,317,732
35107,"Timmins--James Bay/Timmins--Baie James"," 4","Moosonee",145,19,21,4,4,0,193,447
35107,"Timmins--James Bay/Timmins--Baie James"," 5","Moosonee",129,18,15,2,0,0,164,559
35107,"Timmins--James Bay/Timmins--Baie James"," 6","Fort Albany 67",119,27,2,3,0,3,154,318
35107,"Timmins--James Bay/Timmins--Baie James"," 7","Ogoki Post",25,5,0,1,0,1,32,92
35107,"Timmins--James Bay/Timmins--Baie James"," 8","Moose Factory 68",195,25,0,4,1,0,225,581
35107,"Timmins--James Bay/Timmins--Baie James"," 9","Moose Factory 68",248,20,7,3,0,0,278,610
35107,"Timmins--James Bay/Timmins--Baie James"," 10","Cochrane",104,78,53,12,14,6,267,699
35107,"Timmins--James Bay/Timmins--Baie James"," 11","Cochrane",81,59,47,4,17,1,209,503
35107,"Timmins--James Bay/Timmins--Baie James"," 12","Cochrane",81,44,39,3,4,0,171,451
35107,"Timmins--James Bay/Timmins--Baie James"," 13","Cochrane",87,51,33,7,4,0,182,401
35107,"Timmins--James Bay/Timmins--Baie James"," 14","Cochrane",88,48,20,5,12,1,174,442
35107,"Timmins--James Bay/Timmins--Baie James"," 15","Cochrane",83,31,23,5,6,1,149,453
35107,"Timmins--James Bay/Timmins--Baie James"," 16","Cochrane",75,40,29,9,4,0,157,485
35107,"Timmins--James Bay/Timmins--Baie James"," 17","Cochrane",145,88,88,13,15,1,350,768
35107,"Timmins--James Bay/Timmins--Baie James"," 18","Berylvale",93,48,59,11,8,0,219,511
35107,"Timmins--James Bay/Timmins--Baie James"," 19","Iroquois Falls",59,29,34,12,15,0,149,412
35107,"Timmins--James Bay/Timmins--Baie James"," 20","Iroquois Falls",43,21,47,4,13,0,128,281
35107,"Timmins--James Bay/Timmins--Baie James"," 21","Iroquois Falls",51,18,71,6,17,1,164,366
35107,"Timmins--James Bay/Timmins--Baie James"," 22","Iroquois Falls",65,35,70,9,20,0,199,526
35107,"Timmins--James Bay/Timmins--Baie James"," 23","Iroquois Falls",69,25,65,2,12,2,175,388
35107,"Timmins--James Bay/Timmins--Baie James"," 24","Iroquois Falls",52,31,47,12,8,2,152,446
35107,"Timmins--James Bay/Timmins--Baie James"," 25","Iroquois Falls",89,32,42,7,30,2,202,499
35107,"Timmins--James Bay/Timmins--Baie James"," 26","Iroquois Falls",73,34,75,9,23,1,215,556
35107,"Timmins--James Bay/Timmins--Baie James"," 27","Abitibi 70",43,6,4,2,0,0,55,83
35107,"Timmins--James Bay/Timmins--Baie James"," 28","Iroquois Falls",27,21,49,4,12,5,118,260
35107,"Timmins--James Bay/Timmins--Baie James"," 29","Shillington",54,33,83,11,13,1,195,460
35107,"Timmins--James Bay/Timmins--Baie James"," 30","Matheson",57,21,71,3,8,1,161,380
35107,"Timmins--James Bay/Timmins--Baie James"," 31","Matheson",38,23,84,3,10,0,158,372
35107,"Timmins--James Bay/Timmins--Baie James"," 32","Val Gagné",68,45,59,9,9,0,190,371
35107,"Timmins--James Bay/Timmins--Baie James"," 33","Timmins",36,133,74,9,3,1,256,481
35107,"Timmins--James Bay/Timmins--Baie James"," 34","Timmins",56,89,48,4,2,0,199,410
35107,"Timmins--James Bay/Timmins--Baie James"," 35","Timmins",67,90,71,5,2,0,235,414
35107,"Timmins--James Bay/Timmins--Baie James"," 36","Timmins",80,59,79,4,11,0,233,496
