Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 1","Toronto",0,92,1,18,16,1,0,32,0,0,160,352
35110,"University--Rosedale/University--Rosedale"," 2","Toronto",1,128,0,12,11,5,0,47,0,0,204,433
35110,"University--Rosedale/University--Rosedale"," 3","Toronto",1,169,0,29,11,2,0,64,1,0,277,487
35110,"University--Rosedale/University--Rosedale"," 4","Toronto",0,99,0,14,6,0,0,68,1,0,188,419
35110,"University--Rosedale/University--Rosedale"," 5","Toronto",2,92,0,14,10,1,0,47,0,0,166,406
35110,"University--Rosedale/University--Rosedale"," 6","Toronto",0,107,0,23,16,0,0,46,0,1,193,440
35110,"University--Rosedale/University--Rosedale"," 7","Toronto",0,100,0,16,19,2,0,55,2,1,195,402
35110,"University--Rosedale/University--Rosedale"," 8","Toronto",0,93,0,13,5,1,0,65,1,0,178,410
35110,"University--Rosedale/University--Rosedale"," 9","East York",1,82,0,11,14,2,1,63,0,0,174,427
35110,"University--Rosedale/University--Rosedale"," 10","Toronto",0,98,0,20,36,3,0,52,1,1,211,419
35110,"University--Rosedale/University--Rosedale"," 11","Toronto",1,96,0,17,13,2,0,49,0,0,178,391
35110,"University--Rosedale/University--Rosedale"," 12","Toronto",0,92,1,15,3,2,0,85,1,0,199,490
35110,"University--Rosedale/University--Rosedale"," 13","Toronto",0,69,0,13,12,0,0,55,0,0,149,332
35110,"University--Rosedale/University--Rosedale"," 14","Toronto",0,80,0,6,5,1,0,99,0,1,192,415
35110,"University--Rosedale/University--Rosedale"," 15","Toronto",0,162,0,19,14,0,0,39,2,1,237,449
35110,"University--Rosedale/University--Rosedale"," 16","Toronto",2,320,1,35,45,9,1,123,1,0,537,636
35110,"University--Rosedale/University--Rosedale"," 17","Toronto",0,132,0,13,6,4,0,78,0,1,234,396
35110,"University--Rosedale/University--Rosedale"," 18","Toronto",0,102,1,10,15,0,0,54,1,1,184,400
35110,"University--Rosedale/University--Rosedale"," 19","Toronto",1,89,0,15,12,0,0,75,0,0,192,402
35110,"University--Rosedale/University--Rosedale"," 20","Toronto",0,111,0,14,5,1,0,59,2,0,192,352
35110,"University--Rosedale/University--Rosedale"," 21","Toronto",0,129,0,13,13,2,0,76,0,0,233,492
